item_id,source_file,source_section_code,source_unit,source_question_no,source_page,engine_unit_name,engine_subunit_name,matched_problem_type_id,type_name,variant_id,difficulty,mapping_status,skill_tags,error_tags,review_note
idea_su1_i_1_011,아이디어 수학1 지수함수와 로그함수.pdf,I-(1),지수,011,6,지수와 로그 기초,지수와 거듭제곱근,ALG_EXPLOG_FND_PT_EXPONENT_EQUATION_ROOT,지수식·거듭제곱근 조건을 이용한 값 결정,ALG_EXPLOG_FND_PT_EXPONENT_EQUATION_ROOT_EXPONENT_EQUATION,advanced,review_required,exponent_equation|root_product_sum|condition_check,근의 조건 검산 누락|방정식 해와 실수근 조건 혼동,advanced/composite rows require teacher spot-check
idea_su1_i_1_012,아이디어 수학1 지수함수와 로그함수.pdf,I-(1),지수,012,6,지수와 로그 기초,지수와 거듭제곱근,ALG_EXPLOG_FND_PT_EXPONENT_EQUATION_ROOT,지수식·거듭제곱근 조건을 이용한 값 결정,ALG_EXPLOG_FND_PT_EXPONENT_EQUATION_ROOT_EXPONENT_EQUATION,advanced,review_required,exponent_equation|root_product_sum|condition_check,근의 조건 검산 누락|방정식 해와 실수근 조건 혼동,advanced/composite rows require teacher spot-check
idea_su1_i_2_001,아이디어 수학1 지수함수와 로그함수.pdf,I-(2),로그,001,7,지수와 로그 기초,로그의 뜻과 성질,ALG_EXPLOG_FND_PT_LOG_DEFINITION_PROPERTY,로그의 뜻과 로그식 변환,ALG_EXPLOG_FND_PT_LOG_DEFINITION_PROPERTY_LOG_DEFINITION,core,matched,log_definition|base_argument_condition|log_equation_transform,밑 조건 누락|진수 조건 누락|로그식과 지수식 변환 오류,
idea_su1_i_2_002,아이디어 수학1 지수함수와 로그함수.pdf,I-(2),로그,002,7,지수와 로그 기초,로그의 뜻과 성질,ALG_EXPLOG_FND_PT_LOG_DEFINITION_PROPERTY,로그의 뜻과 로그식 변환,ALG_EXPLOG_FND_PT_LOG_DEFINITION_PROPERTY_LOG_DEFINITION,core,matched,log_definition|base_argument_condition|log_equation_transform,밑 조건 누락|진수 조건 누락|로그식과 지수식 변환 오류,
idea_su1_i_2_003,아이디어 수학1 지수함수와 로그함수.pdf,I-(2),로그,003,8,지수와 로그 기초,로그의 뜻과 성질,ALG_EXPLOG_FND_PT_LOG_DEFINITION_PROPERTY,로그의 뜻과 로그식 변환,ALG_EXPLOG_FND_PT_LOG_DEFINITION_PROPERTY_LOG_DEFINITION,core,matched,log_definition|base_argument_condition|log_equation_transform,밑 조건 누락|진수 조건 누락|로그식과 지수식 변환 오류,
idea_su1_i_2_004,아이디어 수학1 지수함수와 로그함수.pdf,I-(2),로그,004,8,지수와 로그 기초,로그의 뜻과 성질,ALG_EXPLOG_FND_PT_LOG_DEFINITION_PROPERTY,로그의 뜻과 로그식 변환,ALG_EXPLOG_FND_PT_LOG_DEFINITION_PROPERTY_LOG_DEFINITION,core,matched,log_definition|base_argument_condition|log_equation_transform,밑 조건 누락|진수 조건 누락|로그식과 지수식 변환 오류,
idea_su1_i_2_005,아이디어 수학1 지수함수와 로그함수.pdf,I-(2),로그,005,9,지수와 로그 기초,로그의 뜻과 성질,ALG_EXPLOG_FND_PT_LOG_OPERATION_PARAMETER,로그의 성질을 이용한 매개변수 계산,ALG_EXPLOG_FND_PT_LOG_OPERATION_PARAMETER_LOG_LAWS,applied,matched,log_laws|parameter_count|integer_condition,로그 성질 적용 순서 오류|정수 조건 검토 누락,
idea_su1_i_2_006,아이디어 수학1 지수함수와 로그함수.pdf,I-(2),로그,006,9,지수와 로그 기초,로그의 뜻과 성질,ALG_EXPLOG_FND_PT_LOG_OPERATION_PARAMETER,로그의 성질을 이용한 매개변수 계산,ALG_EXPLOG_FND_PT_LOG_OPERATION_PARAMETER_LOG_LAWS,applied,matched,log_laws|parameter_count|integer_condition,로그 성질 적용 순서 오류|정수 조건 검토 누락,
idea_su1_i_2_007,아이디어 수학1 지수함수와 로그함수.pdf,I-(2),로그,007,10,지수와 로그 기초,로그의 뜻과 성질,ALG_EXPLOG_FND_PT_LOG_OPERATION_PARAMETER,로그의 성질을 이용한 매개변수 계산,ALG_EXPLOG_FND_PT_LOG_OPERATION_PARAMETER_LOG_LAWS,applied,matched,log_laws|parameter_count|integer_condition,로그 성질 적용 순서 오류|정수 조건 검토 누락,
idea_su1_i_2_008,아이디어 수학1 지수함수와 로그함수.pdf,I-(2),로그,008,10,지수와 로그 기초,로그의 뜻과 성질,ALG_EXPLOG_FND_PT_LOG_OPERATION_PARAMETER,로그의 성질을 이용한 매개변수 계산,ALG_EXPLOG_FND_PT_LOG_OPERATION_PARAMETER_LOG_LAWS,applied,matched,log_laws|parameter_count|integer_condition,로그 성질 적용 순서 오류|정수 조건 검토 누락,
idea_su1_i_2_009,아이디어 수학1 지수함수와 로그함수.pdf,I-(2),로그,009,11,지수와 로그 기초,로그의 뜻과 성질,ALG_EXPLOG_FND_PT_LOG_CONDITION_OPTIMIZATION,로그 조건과 최댓값·최솟값 판단,ALG_EXPLOG_FND_PT_LOG_CONDITION_OPTIMIZATION_LOG_CONDITION,advanced,review_required,log_condition|domain_check|optimization,진수 양수 조건 누락|조건 범위 해석 오류,advanced/composite rows require teacher spot-check
idea_su1_i_2_010,아이디어 수학1 지수함수와 로그함수.pdf,I-(2),로그,010,11,지수와 로그 기초,로그의 뜻과 성질,ALG_EXPLOG_FND_PT_LOG_CONDITION_OPTIMIZATION,로그 조건과 최댓값·최솟값 판단,ALG_EXPLOG_FND_PT_LOG_CONDITION_OPTIMIZATION_LOG_CONDITION,advanced,review_required,log_condition|domain_check|optimization,진수 양수 조건 누락|조건 범위 해석 오류,advanced/composite rows require teacher spot-check
idea_su1_i_2_011,아이디어 수학1 지수함수와 로그함수.pdf,I-(2),로그,011,12,지수와 로그 기초,로그의 뜻과 성질,ALG_EXPLOG_FND_PT_LOG_CONDITION_OPTIMIZATION,로그 조건과 최댓값·최솟값 판단,ALG_EXPLOG_FND_PT_LOG_CONDITION_OPTIMIZATION_LOG_CONDITION,advanced,review_required,log_condition|domain_check|optimization,진수 양수 조건 누락|조건 범위 해석 오류,advanced/composite rows require teacher spot-check
idea_su1_i_2_012,아이디어 수학1 지수함수와 로그함수.pdf,I-(2),로그,012,12,지수와 로그 기초,로그의 뜻과 성질,ALG_EXPLOG_FND_PT_LOG_CONDITION_OPTIMIZATION,로그 조건과 최댓값·최솟값 판단,ALG_EXPLOG_FND_PT_LOG_CONDITION_OPTIMIZATION_LOG_CONDITION,advanced,review_required,log_condition|domain_check|optimization,진수 양수 조건 누락|조건 범위 해석 오류,advanced/composite rows require teacher spot-check
idea_su1_i_3_001,아이디어 수학1 지수함수와 로그함수.pdf,I-(3),지수함수와 로그함수,001,13,지수함수와 로그함수,지수함수와 로그함수의 그래프,ALG_EXPLOG_FUNC_PT_GRAPH_BASIC,지수함수·로그함수 그래프 기본 성질,ALG_EXPLOG_FUNC_PT_GRAPH_BASIC_GRAPH_INTERSECTION,core,matched,graph_intersection|monotonicity|base_condition,밑의 범위에 따른 증가/감소 혼동|그래프 교점 조건 해석 오류,
idea_su1_i_3_002,아이디어 수학1 지수함수와 로그함수.pdf,I-(3),지수함수와 로그함수,002,13,지수함수와 로그함수,지수함수와 로그함수의 그래프,ALG_EXPLOG_FUNC_PT_GRAPH_BASIC,지수함수·로그함수 그래프 기본 성질,ALG_EXPLOG_FUNC_PT_GRAPH_BASIC_GRAPH_INTERSECTION,core,matched,graph_intersection|monotonicity|base_condition,밑의 범위에 따른 증가/감소 혼동|그래프 교점 조건 해석 오류,
idea_su1_i_3_003,아이디어 수학1 지수함수와 로그함수.pdf,I-(3),지수함수와 로그함수,003,14,지수함수와 로그함수,지수함수와 로그함수의 그래프,ALG_EXPLOG_FUNC_PT_GRAPH_BASIC,지수함수·로그함수 그래프 기본 성질,ALG_EXPLOG_FUNC_PT_GRAPH_BASIC_GRAPH_INTERSECTION,core,matched,graph_intersection|monotonicity|base_condition,밑의 범위에 따른 증가/감소 혼동|그래프 교점 조건 해석 오류,
idea_su1_i_3_004,아이디어 수학1 지수함수와 로그함수.pdf,I-(3),지수함수와 로그함수,004,14,지수함수와 로그함수,지수함수와 로그함수의 그래프,ALG_EXPLOG_FUNC_PT_GRAPH_BASIC,지수함수·로그함수 그래프 기본 성질,ALG_EXPLOG_FUNC_PT_GRAPH_BASIC_GRAPH_INTERSECTION,core,matched,graph_intersection|monotonicity|base_condition,밑의 범위에 따른 증가/감소 혼동|그래프 교점 조건 해석 오류,
idea_su1_i_3_005,아이디어 수학1 지수함수와 로그함수.pdf,I-(3),지수함수와 로그함수,005,15,지수함수와 로그함수,지수함수와 로그함수의 그래프,ALG_EXPLOG_FUNC_PT_GRAPH_TRANSFORM_INTERSECTION,그래프 평행이동·교점 조건 분석,ALG_EXPLOG_FUNC_PT_GRAPH_TRANSFORM_INTERSECTION_GRAPH_TRANSFORMATION,applied,matched,graph_transformation|intersection_condition|parameter_relation,평행이동 방향 혼동|교점 좌표 조건 누락,
idea_su1_i_3_006,아이디어 수학1 지수함수와 로그함수.pdf,I-(3),지수함수와 로그함수,006,15,지수함수와 로그함수,지수함수와 로그함수의 그래프,ALG_EXPLOG_FUNC_PT_GRAPH_TRANSFORM_INTERSECTION,그래프 평행이동·교점 조건 분석,ALG_EXPLOG_FUNC_PT_GRAPH_TRANSFORM_INTERSECTION_GRAPH_TRANSFORMATION,applied,matched,graph_transformation|intersection_condition|parameter_relation,평행이동 방향 혼동|교점 좌표 조건 누락,
idea_su1_i_3_007,아이디어 수학1 지수함수와 로그함수.pdf,I-(3),지수함수와 로그함수,007,16,지수함수와 로그함수,지수함수와 로그함수의 그래프,ALG_EXPLOG_FUNC_PT_GRAPH_TRANSFORM_INTERSECTION,그래프 평행이동·교점 조건 분석,ALG_EXPLOG_FUNC_PT_GRAPH_TRANSFORM_INTERSECTION_GRAPH_TRANSFORMATION,applied,matched,graph_transformation|intersection_condition|parameter_relation,평행이동 방향 혼동|교점 좌표 조건 누락,
idea_su1_i_3_008,아이디어 수학1 지수함수와 로그함수.pdf,I-(3),지수함수와 로그함수,008,16,지수함수와 로그함수,지수함수와 로그함수의 그래프,ALG_EXPLOG_FUNC_PT_GRAPH_TRANSFORM_INTERSECTION,그래프 평행이동·교점 조건 분석,ALG_EXPLOG_FUNC_PT_GRAPH_TRANSFORM_INTERSECTION_GRAPH_TRANSFORMATION,applied,matched,graph_transformation|intersection_condition|parameter_relation,평행이동 방향 혼동|교점 좌표 조건 누락,
idea_su1_i_3_009,아이디어 수학1 지수함수와 로그함수.pdf,I-(3),지수함수와 로그함수,009,17,지수함수와 로그함수,지수함수와 로그함수의 그래프,ALG_EXPLOG_FUNC_PT_GRAPH_TRANSFORM_INTERSECTION,그래프 평행이동·교점 조건 분석,ALG_EXPLOG_FUNC_PT_GRAPH_TRANSFORM_INTERSECTION_GRAPH_TRANSFORMATION,applied,matched,graph_transformation|intersection_condition|parameter_relation,평행이동 방향 혼동|교점 좌표 조건 누락,
idea_su1_i_3_010,아이디어 수학1 지수함수와 로그함수.pdf,I-(3),지수함수와 로그함수,010,17,지수함수와 로그함수,지수함수와 로그함수의 그래프,ALG_EXPLOG_FUNC_PT_GRAPH_TRANSFORM_INTERSECTION,그래프 평행이동·교점 조건 분석,ALG_EXPLOG_FUNC_PT_GRAPH_TRANSFORM_INTERSECTION_GRAPH_TRANSFORMATION,applied,matched,graph_transformation|intersection_condition|parameter_relation,평행이동 방향 혼동|교점 좌표 조건 누락,
idea_su1_i_3_011,아이디어 수학1 지수함수와 로그함수.pdf,I-(3),지수함수와 로그함수,011,18,지수함수와 로그함수,지수함수와 로그함수의 그래프,ALG_EXPLOG_FUNC_PT_GRAPH_AREA_COMPOSITE,지수·로그 그래프와 도형/넓이 복합,ALG_EXPLOG_FUNC_PT_GRAPH_AREA_COMPOSITE_GRAPH_AREA,advanced,review_required,graph_area|composite_condition|line_intersection,그래프와 도형 조건 연결 부족|좌표/넓이 조건식 설정 오류,advanced/composite rows require teacher spot-check
idea_su1_i_3_012,아이디어 수학1 지수함수와 로그함수.pdf,I-(3),지수함수와 로그함수,012,18,지수함수와 로그함수,지수함수와 로그함수의 그래프,ALG_EXPLOG_FUNC_PT_GRAPH_AREA_COMPOSITE,지수·로그 그래프와 도형/넓이 복합,ALG_EXPLOG_FUNC_PT_GRAPH_AREA_COMPOSITE_GRAPH_AREA,advanced,review_required,graph_area|composite_condition|line_intersection,그래프와 도형 조건 연결 부족|좌표/넓이 조건식 설정 오류,advanced/composite rows require teacher spot-check
idea_su1_i_3_013,아이디어 수학1 지수함수와 로그함수.pdf,I-(3),지수함수와 로그함수,013,19,지수함수와 로그함수,지수함수와 로그함수의 그래프,ALG_EXPLOG_FUNC_PT_GRAPH_AREA_COMPOSITE,지수·로그 그래프와 도형/넓이 복합,ALG_EXPLOG_FUNC_PT_GRAPH_AREA_COMPOSITE_GRAPH_AREA,advanced,review_required,graph_area|composite_condition|line_intersection,그래프와 도형 조건 연결 부족|좌표/넓이 조건식 설정 오류,advanced/composite rows require teacher spot-check
idea_su1_i_3_014,아이디어 수학1 지수함수와 로그함수.pdf,I-(3),지수함수와 로그함수,014,19,지수함수와 로그함수,지수함수와 로그함수의 그래프,ALG_EXPLOG_FUNC_PT_GRAPH_AREA_COMPOSITE,지수·로그 그래프와 도형/넓이 복합,ALG_EXPLOG_FUNC_PT_GRAPH_AREA_COMPOSITE_GRAPH_AREA,advanced,review_required,graph_area|composite_condition|line_intersection,그래프와 도형 조건 연결 부족|좌표/넓이 조건식 설정 오류,advanced/composite rows require teacher spot-check
idea_su1_i_3_015,아이디어 수학1 지수함수와 로그함수.pdf,I-(3),지수함수와 로그함수,015,21,지수함수와 로그함수,지수함수와 로그함수의 그래프,ALG_EXPLOG_FUNC_PT_GRAPH_AREA_COMPOSITE,지수·로그 그래프와 도형/넓이 복합,ALG_EXPLOG_FUNC_PT_GRAPH_AREA_COMPOSITE_GRAPH_AREA,advanced,review_required,graph_area|composite_condition|line_intersection,그래프와 도형 조건 연결 부족|좌표/넓이 조건식 설정 오류,advanced/composite rows require teacher spot-check
idea_su1_i_3_016,아이디어 수학1 지수함수와 로그함수.pdf,I-(3),지수함수와 로그함수,016,22,지수함수와 로그함수,지수함수와 로그함수의 그래프,ALG_EXPLOG_FUNC_PT_GRAPH_AREA_COMPOSITE,지수·로그 그래프와 도형/넓이 복합,ALG_EXPLOG_FUNC_PT_GRAPH_AREA_COMPOSITE_GRAPH_AREA,advanced,review_required,graph_area|composite_condition|line_intersection,그래프와 도형 조건 연결 부족|좌표/넓이 조건식 설정 오류,advanced/composite rows require teacher spot-check
idea_su1_i_4_001,아이디어 수학1 지수함수와 로그함수.pdf,I-(4),지수/로그방정식과 부등식,001,23,지수함수와 로그함수,지수·로그방정식과 부등식,ALG_EXPLOG_FUNC_PT_EQUATION_INEQUALITY_BASIC,지수·로그방정식과 부등식 풀이,ALG_EXPLOG_FUNC_PT_EQUATION_INEQUALITY_BASIC_EXP_LOG_EQUATION,applied,matched,exp_log_equation|inequality_solution|domain_condition,로그 진수 조건 검산 누락|밑의 범위에 따른 부등호 방향 혼동,
idea_su1_i_4_002,아이디어 수학1 지수함수와 로그함수.pdf,I-(4),지수/로그방정식과 부등식,002,23,지수함수와 로그함수,지수·로그방정식과 부등식,ALG_EXPLOG_FUNC_PT_EQUATION_INEQUALITY_BASIC,지수·로그방정식과 부등식 풀이,ALG_EXPLOG_FUNC_PT_EQUATION_INEQUALITY_BASIC_EXP_LOG_EQUATION,applied,matched,exp_log_equation|inequality_solution|domain_condition,로그 진수 조건 검산 누락|밑의 범위에 따른 부등호 방향 혼동,
idea_su1_i_4_003,아이디어 수학1 지수함수와 로그함수.pdf,I-(4),지수/로그방정식과 부등식,003,24,지수함수와 로그함수,지수·로그방정식과 부등식,ALG_EXPLOG_FUNC_PT_EQUATION_INEQUALITY_BASIC,지수·로그방정식과 부등식 풀이,ALG_EXPLOG_FUNC_PT_EQUATION_INEQUALITY_BASIC_EXP_LOG_EQUATION,applied,matched,exp_log_equation|inequality_solution|domain_condition,로그 진수 조건 검산 누락|밑의 범위에 따른 부등호 방향 혼동,
idea_su1_i_4_004,아이디어 수학1 지수함수와 로그함수.pdf,I-(4),지수/로그방정식과 부등식,004,24,지수함수와 로그함수,지수·로그방정식과 부등식,ALG_EXPLOG_FUNC_PT_EQUATION_INEQUALITY_BASIC,지수·로그방정식과 부등식 풀이,ALG_EXPLOG_FUNC_PT_EQUATION_INEQUALITY_BASIC_EXP_LOG_EQUATION,applied,matched,exp_log_equation|inequality_solution|domain_condition,로그 진수 조건 검산 누락|밑의 범위에 따른 부등호 방향 혼동,
idea_su1_i_4_005,아이디어 수학1 지수함수와 로그함수.pdf,I-(4),지수/로그방정식과 부등식,005,25,지수함수와 로그함수,지수·로그방정식과 부등식,ALG_EXPLOG_FUNC_PT_ROOT_COUNT_PARAMETER,지수·로그방정식의 실근 개수와 매개변수,ALG_EXPLOG_FUNC_PT_ROOT_COUNT_PARAMETER_ROOT_COUNT,advanced,review_required,root_count|parameter_condition|graph_solution,실근 개수 조건 분류 오류|그래프 해석과 대수 조건 연결 부족,advanced/composite rows require teacher spot-check
idea_su1_i_4_006,아이디어 수학1 지수함수와 로그함수.pdf,I-(4),지수/로그방정식과 부등식,006,25,지수함수와 로그함수,지수·로그방정식과 부등식,ALG_EXPLOG_FUNC_PT_ROOT_COUNT_PARAMETER,지수·로그방정식의 실근 개수와 매개변수,ALG_EXPLOG_FUNC_PT_ROOT_COUNT_PARAMETER_ROOT_COUNT,advanced,review_required,root_count|parameter_condition|graph_solution,실근 개수 조건 분류 오류|그래프 해석과 대수 조건 연결 부족,advanced/composite rows require teacher spot-check
idea_su1_i_4_007,아이디어 수학1 지수함수와 로그함수.pdf,I-(4),지수/로그방정식과 부등식,007,26,지수함수와 로그함수,지수·로그방정식과 부등식,ALG_EXPLOG_FUNC_PT_ROOT_COUNT_PARAMETER,지수·로그방정식의 실근 개수와 매개변수,ALG_EXPLOG_FUNC_PT_ROOT_COUNT_PARAMETER_ROOT_COUNT,advanced,review_required,root_count|parameter_condition|graph_solution,실근 개수 조건 분류 오류|그래프 해석과 대수 조건 연결 부족,advanced/composite rows require teacher spot-check
idea_su1_i_4_008,아이디어 수학1 지수함수와 로그함수.pdf,I-(4),지수/로그방정식과 부등식,008,26,지수함수와 로그함수,지수·로그방정식과 부등식,ALG_EXPLOG_FUNC_PT_ROOT_COUNT_PARAMETER,지수·로그방정식의 실근 개수와 매개변수,ALG_EXPLOG_FUNC_PT_ROOT_COUNT_PARAMETER_ROOT_COUNT,advanced,review_required,root_count|parameter_condition|graph_solution,실근 개수 조건 분류 오류|그래프 해석과 대수 조건 연결 부족,advanced/composite rows require teacher spot-check
idea_su1_i_4_009,아이디어 수학1 지수함수와 로그함수.pdf,I-(4),지수/로그방정식과 부등식,009,27,지수함수와 로그함수,지수·로그방정식과 부등식,ALG_EXPLOG_FUNC_PT_ROOT_COUNT_PARAMETER,지수·로그방정식의 실근 개수와 매개변수,ALG_EXPLOG_FUNC_PT_ROOT_COUNT_PARAMETER_ROOT_COUNT,advanced,review_required,root_count|parameter_condition|graph_solution,실근 개수 조건 분류 오류|그래프 해석과 대수 조건 연결 부족,advanced/composite rows require teacher spot-check
idea_su1_ii_2_001,아이디어 수학1 삼각함수.pdf,II-(2),삼각함수의 정의,001,2,삼각함수,삼각함수의 뜻,ALG_TRIG_PT_DEFINITION_GENERAL_ANGLE,일반각과 삼각함수의 정의,ALG_TRIG_PT_DEFINITION_GENERAL_ANGLE_GENERAL_ANGLE,core,matched,general_angle|radian|unit_circle,일반각 위치 해석 오류|호도법과 도형 조건 연결 부족,
idea_su1_ii_2_002,아이디어 수학1 삼각함수.pdf,II-(2),삼각함수의 정의,002,2,삼각함수,삼각함수의 뜻,ALG_TRIG_PT_DEFINITION_GENERAL_ANGLE,일반각과 삼각함수의 정의,ALG_TRIG_PT_DEFINITION_GENERAL_ANGLE_GENERAL_ANGLE,core,matched,general_angle|radian|unit_circle,일반각 위치 해석 오류|호도법과 도형 조건 연결 부족,
idea_su1_ii_2_003,아이디어 수학1 삼각함수.pdf,II-(2),삼각함수의 정의,003,3,삼각함수,삼각함수의 뜻,ALG_TRIG_PT_DEFINITION_GENERAL_ANGLE,일반각과 삼각함수의 정의,ALG_TRIG_PT_DEFINITION_GENERAL_ANGLE_GENERAL_ANGLE,core,matched,general_angle|radian|unit_circle,일반각 위치 해석 오류|호도법과 도형 조건 연결 부족,
idea_su1_ii_2_004,아이디어 수학1 삼각함수.pdf,II-(2),삼각함수의 정의,004,3,삼각함수,삼각함수의 뜻,ALG_TRIG_PT_TRIG_VALUE_IDENTITY,삼각함수 값과 기본 항등식,ALG_TRIG_PT_TRIG_VALUE_IDENTITY_SIN_COS_TAN_VALUE,applied,matched,sin_cos_tan_value|trig_identity|quadrant_sign,사분면 부호 오류|기본 항등식 적용 오류,
idea_su1_ii_2_005,아이디어 수학1 삼각함수.pdf,II-(2),삼각함수의 정의,005,4,삼각함수,삼각함수의 뜻,ALG_TRIG_PT_TRIG_VALUE_IDENTITY,삼각함수 값과 기본 항등식,ALG_TRIG_PT_TRIG_VALUE_IDENTITY_SIN_COS_TAN_VALUE,applied,matched,sin_cos_tan_value|trig_identity|quadrant_sign,사분면 부호 오류|기본 항등식 적용 오류,
idea_su1_ii_2_006,아이디어 수학1 삼각함수.pdf,II-(2),삼각함수의 정의,006,4,삼각함수,삼각함수의 뜻,ALG_TRIG_PT_TRIG_VALUE_IDENTITY,삼각함수 값과 기본 항등식,ALG_TRIG_PT_TRIG_VALUE_IDENTITY_SIN_COS_TAN_VALUE,applied,matched,sin_cos_tan_value|trig_identity|quadrant_sign,사분면 부호 오류|기본 항등식 적용 오류,
idea_su1_ii_34_001,아이디어 수학1 삼각함수.pdf,II-(3)(4),삼각함수의 그래프와 방정식/부등식,001,6,삼각함수,삼각함수의 그래프와 방정식·부등식,ALG_TRIG_PT_GRAPH_TRANSFORM,삼각함수 그래프의 주기·진폭·평행이동,ALG_TRIG_PT_GRAPH_TRANSFORM_TRIG_GRAPH,core,matched,trig_graph|period_amplitude|phase_shift,주기 계산 오류|평행이동 방향 혼동,
idea_su1_ii_34_002,아이디어 수학1 삼각함수.pdf,II-(3)(4),삼각함수의 그래프와 방정식/부등식,002,6,삼각함수,삼각함수의 그래프와 방정식·부등식,ALG_TRIG_PT_GRAPH_TRANSFORM,삼각함수 그래프의 주기·진폭·평행이동,ALG_TRIG_PT_GRAPH_TRANSFORM_TRIG_GRAPH,core,matched,trig_graph|period_amplitude|phase_shift,주기 계산 오류|평행이동 방향 혼동,
