raw_section_id,source_orders,domain,subdomain,task_group,representative_leaf_examples,source_declared_detail_count,concept_ids
M2_LI_RAW_012,4,일차부등식,일차부등식의 뜻,일차부등식의 판단,일차부등식의 판단 | 일차부등식 조건 | 부등식 차수 판단,5,M2_LI_C011
M2_LI_RAW_013,4,일차부등식,일차부등식의 조건,이차항 포함 여부,이차항을 포함하지 않는 경우 | 이차항을 포함하는 경우 | 계수 조건,3,M2_LI_C012
M2_LI_RAW_014,5,일차부등식,일차부등식의 풀이,기본 일차부등식 풀기,일차부등식 풀기 | 일차부등식을 만족시키는 조건에 맞는 수 | 방정식을 이용한 일차부등식 풀이,20,M2_LI_C013
M2_LI_RAW_015,5,일차부등식,해의 표현,부등식의 해를 수직선 위에 나타내기,부등식의 해를 수직선 위에 나타내기 | 빈 원과 찬 원 구분 | 응용,14,M2_LI_C017
M2_LI_RAW_016,5,일차부등식,괄호 풀이,괄호가 있는 일차부등식의 풀이,괄호가 있는 일차부등식 풀기 | 일차부등식을 만족시키는 조건에 맞는 수 | 분배법칙 적용,17,M2_LI_C014
M2_LI_RAW_017,6,일차부등식,소수·분수 계수,계수가 소수 또는 분수인 일차부등식의 풀이,계수가 소수인 경우 | 계수가 분수인 경우 | 계수에 소수와 분수 모두 포함된 경우,47,"M2_LI_C015,M2_LI_C008"
M2_LI_RAW_018,6,일차부등식,문자 계수,x의 계수가 문자인 일차부등식의 풀이,문자의 범위 또는 조건이 주어진 경우 | 문자를 포함한 부등식이 주어진 경우 | 문자가 2개 이상인 경우,24,M2_LI_C016
M2_LI_RAW_019,7,일차부등식,해 조건 역추론,해가 주어진 경우 미지수 구하기 - 문자가 상수인 경우,부등식의 해가 주어진 경우 | 수직선으로 주어진 경우 | 조건으로 주어진 경우,13,M2_LI_C018
M2_LI_RAW_020,7,일차부등식,해 조건 역추론,해가 주어진 경우 미지수 구하기 - 계수가 문자인 경우,부등식의 해가 주어진 경우 | 수직선으로 주어진 경우 | 문자가 2개 이상인 경우,16,"M2_LI_C018,M2_LI_C016"
M2_LI_RAW_021,7,일차부등식,해 조건 역추론,해가 서로 같은 두 일차부등식,미지수 구하기 | 해가 같은 부등식 고르기,7,M2_LI_C019
M2_LI_RAW_022,8,일차부등식,해 조건 역추론,해 중 최댓값 또는 최솟값이 주어진 일차부등식,미지수의 값 구하기 | 미지수의 값의 범위 구하기 | 문자가 2개 이상인 경우,9,M2_LI_C020
M2_LI_RAW_023,8,일차부등식,자연수 해,자연수인 해가 존재하지 않는 일차부등식,자연수인 해가 존재하지 않는 일차부등식 | 경계 포함 여부 판단,8,M2_LI_C021
M2_LI_RAW_024,8,일차부등식,자연수 해,자연수인 해의 개수가 주어진 일차부등식,미지수의 범위 구하기 | 조건을 만족시키는 미지수 구하기,11,M2_LI_C021
M2_LI_RAW_025,8,일차부등식,기호 풀이,절댓값·기호가 이용된 일차부등식의 풀이,절댓값을 이용한 경우 | 연산을 정의한 경우 | 가우스 기호를 이용한 경우,12,M2_LI_C022
M2_LI_RAW_026,9,일차부등식의 활용,수에 대한 문제,한 수에 대한 문제,계산한 수를 주어진 수와 비교 | 서로 다르게 계산한 두 수 비교 | 주사위를 던져 나온 수,14,M2_LI_C023
M2_LI_RAW_027,9,일차부등식의 활용,수에 대한 문제,연속하는 수에 대한 문제,연속하는 두 수 | 연속하는 세 수,11,M2_LI_C023
M2_LI_RAW_028,9,일차부등식의 활용,평균 문제,평균에 대한 문제,목표 평균을 위한 n번째 기록 구하기 | 이전 평균이 주어진 경우 | 두 집단의 비교,12,M2_LI_C024
M2_LI_RAW_029,10,일차부등식의 활용,개수 문제,추가 비용 발생,부등식 세우기 | 부등식 풀이,7,M2_LI_C025
M2_LI_RAW_030,10,일차부등식의 활용,개수 문제,총 개수가 고정,부등식 세우기 | 부등식 풀이,19,M2_LI_C025
M2_LI_RAW_031,10,일차부등식의 활용,비용 문제,기본 금액이 포함된 비용,기본 금액이 포함된 비용 문제 | 고정비와 변동비,9,"M2_LI_C025,M2_LI_C026"
M2_LI_RAW_032,10,일차부등식의 활용,금액 비교,예금액에 대한 문제,목표 금액에 대한 문제 | 두 금액의 비교,8,M2_LI_C026
M2_LI_RAW_033,"10,11",일차부등식의 활용,선택 비교,유리한 방법 선택 문제,부등식을 이용한 유리한 방법 판단 | 할인율 포함 판단 | 두 상품 비교,26,"M2_LI_C027,M2_LI_C026"
M2_LI_RAW_034,11,일차부등식의 활용,정가와 원가,정가·원가에 대한 문제,부등식을 이용한 정가·원가 | 할인을 하는 경우 | 물건이 일부 파손된 경우,19,M2_LI_C028
M2_LI_RAW_035,11,일차부등식의 활용,도형 문제,도형에 대한 문제,"삼각형의 높이 또는 밑변의 길이 | 직사각형의 가로와 세로, 둘레 | 사다리꼴의 윗변과 아랫변, 넓이 | 입체도형",30,M2_LI_C029
M2_LI_RAW_036,12,일차부등식의 활용,종합 활용,여러 가지 일차부등식의 활용,여러 사람의 나이 비교 | 합과 차가 주어진 두 수의 부등식 | 숫자의 각 자릿수 이용 | 실생활 활용,39,M2_LI_C030
M2_LI_RAW_037,12,일차부등식의 활용,거리 속력 시간,도중에 속력이 바뀌는 경우,부등식 세우기 | 부등식 풀이 | 쉬는 시간이 있는 경우,6,M2_LI_C031
M2_LI_RAW_038,12,일차부등식의 활용,거리 속력 시간,왕복하는 경우,부등식 세우기 | 최대 거리 구하기 | 추가 소요 시간이 있는 경우 | 강을 이동하는 경우,17,M2_LI_C031
M2_LI_RAW_039,13,일차부등식의 활용,거리 속력 시간,반대 방향으로 출발하는 경우,같은 지점에서 출발하는 경우 | 다른 지점에서 마주보는 경우,3,M2_LI_C031
M2_LI_RAW_040,13,일차부등식의 활용,농도 문제,농도에 대한 문제,두 소금물을 섞는 경우 | 소금물에 물을 넣거나 증발시키는 경우 | 소금물에 소금을 추가하는 경우,25,M2_LI_C032
M2_LI_RAW_041,13,일차부등식의 활용,일·물채우기,일에 대한 문제/물채우기 문제,물을 채우는 경우 | 물을 비우는 경우 | 일에 대한 문제,5,M2_LI_C033
