raw_section_id,source_orders,domain,subdomain,task_group,representative_leaf_examples,source_image_range
M2_LF_RAW_015,24;25,도형,좌표축으로 둘러싸인 넓이,좌표축으로 둘러싸인 넓이,절편으로 삼각형 넓이 구하기;좌표축과 직선의 교점 활용;음수 절편의 길이 처리,"024.png, 025.png"
M2_LF_RAW_016,25,기울기 성질,기울기의 성질 활용,기울기의 성질 활용,같은 기울기 비교;기울기와 변화량 비례;기울기 조건으로 미지수 구하기,025.png
M2_LF_RAW_017,26,계수와 그래프,"a,b 부호와 사분면","a,b 부호와 사분면","a,b 부호로 그래프 위치 판단;그래프가 지나는 사분면;y절편 부호와 방향 연결",026.png
M2_LF_RAW_018,26;27,계수와 그래프,그래프와 계수 관계 종합,그래프와 계수 관계 종합,"식의 계수 변화와 그래프 변화;그래프 비교;조건에 맞는 a,b 범위 판단","026.png, 027.png"
M2_LF_RAW_019,27,위치 관계,평행한 직선,평행한 직선,평행 조건 판단;기울기가 같은 직선의 식;서로 다른 y절편 확인,027.png
M2_LF_RAW_020,28,위치 관계,일치하는 직선,일치하는 직선,두 식이 같은 직선이 되는 조건;계수비 비교;일치와 평행 구분,028.png
M2_LF_RAW_021,28;29,식 구하기,기울기와 y절편으로 식 구하기,기울기와 y절편으로 식 구하기,기울기와 y절편이 주어진 직선;그래프에서 y=ax+b 구하기;절편 조건으로 식 완성,"028.png, 029.png"
M2_LF_RAW_022,29,식 구하기,기울기와 한 점으로 식 구하기,기울기와 한 점으로 식 구하기,점-기울기 조건;대입으로 b 구하기;한 점을 지나는 직선의 식,029.png
M2_LF_RAW_023,30,식 구하기,두 점으로 직선의 식 구하기,두 점으로 직선의 식 구하기,두 점으로 기울기 계산;한 점 대입하여 y절편 구하기;좌표 순서 확인,030.png
M2_LF_RAW_024,30;31,식 구하기,x절편과 y절편으로 식 구하기,x절편과 y절편으로 식 구하기,두 절편으로 직선의 식;절편형 사고;절편의 부호와 길이 구분,"030.png, 031.png"
M2_LF_RAW_025,31,종합 조건,여러 조건을 만족하는 식,여러 조건을 만족하는 식,평행/절편/점 조건 결합;미지수 계수 조건;조건 해석 순서,031.png
M2_LF_RAW_026,32,상황 모델링,일차함수 활용,일차함수 활용,거리·시간·요금 관계식;처음값과 변화율 해석;문장 조건을 그래프로 변환,032.png
M2_LF_RAW_027,32;33,도형·거리,도형과 거리 활용,도형과 거리 활용,좌표평면에서 길이·넓이 활용;이동 거리와 시간 그래프;도형 조건을 식으로 변환,"032.png, 033.png"
M2_LF_RAW_028,33,방정식 그래프,일차방정식의 그래프,일차방정식의 그래프,"ax+by+c=0의 그래프;x,y 절편으로 그래프 그리기;방정식과 직선의 대응",033.png
M2_LF_RAW_029,34,그래프 위의 점,방정식 그래프 위의 점,방정식 그래프 위의 점,좌표를 방정식에 대입;그래프 위/밖의 점 판별;미지수 좌표 구하기,034.png
M2_LF_RAW_030,34;35,성질,그래프와 방정식 성질,그래프와 방정식 성질,일차방정식 그래프의 기울기;계수와 절편 관계;표준형과 함수식 변환,"034.png, 035.png"
M2_LF_RAW_031,35;36,특수 직선,좌표축에 평행한 직선,좌표축에 평행한 직선,"x=a, y=b 형태 구분;수직선/수평선 그래프;기울기 없는 경우 판단","035.png, 036.png"
M2_LF_RAW_032,36;37,넓이,직선으로 둘러싸인 넓이,직선으로 둘러싸인 넓이,두 직선과 좌표축의 넓이;교점과 절편 활용;삼각형/사각형 넓이 계산,"036.png, 037.png"
M2_LF_RAW_033,38;39,교점,교점과 해,교점과 해,두 직선의 교점 구하기;연립방정식의 해와 교점 연결;그래프에서 해 읽기,"038.png, 039.png"
M2_LF_RAW_034,40;41;42,해의 개수,해의 개수와 위치관계,해의 개수와 위치관계,한 점에서 만남;평행하여 해 없음;일치하여 해 무수히 많음,"040.png, 041.png, 042.png"
M2_LF_RAW_035,43;44,종합 활용,세 직선과 교점 활용,세 직선과 교점 활용,세 직선의 위치 관계;교점으로 미지수 구하기;교점 활용 모델링,"043.png, 044.png"
