raw_section_id,source_orders,chapter,domain,subdomain,task_group,representative_leaf_examples,concept_ids,source_image_range,preservation_status
H2_EXP_LOG_RAW_011,16,지수함수와 로그함수,지수와 로그,지수의 확장과 지수법칙,지수법칙과 곱셈 공식,두 문자에 대한 지수가 유리수인 다항식의 계산|지수법칙과 곱셈공식 결합|조건식이 주어질 때 식의 값 구하기|이차방정식의 두 근과 지수식 계산|좌표를 이용한 지수식 조건 해석,H2_EL_C012,16.png,source_images_preserved_by_user; curated_summary_from_image_taxonomy; not_full_leaf_ocr
H2_EXP_LOG_RAW_012,17,지수함수와 로그함수,지수와 로그,지수의 확장과 지수법칙,a^x+a^{-x} 꼴의 식의 값,a^x+a^{-x}의 값이 주어진 경우|a^x-a^{-x}의 값 구하기|a^x+a^{-x} 형태의 함수값 조건|분수식으로 표현된 식의 값 구하기,H2_EL_C012,17.png,source_images_preserved_by_user; curated_summary_from_image_taxonomy; not_full_leaf_ocr
H2_EXP_LOG_RAW_013,18,지수함수와 로그함수,지수와 로그,지수의 확장과 지수법칙,a^x=b^y가 주어질 때 식의 값,a^x=b^y 조건이 주어진 경우|a^x=b^y와 다른 관계식이 함께 주어진 경우|a^x=b^y=c^z 꼴의 관계식|실수에 대한 관계식이 주어진 경우 양수인 값 구하기,H2_EL_C013,18.png,source_images_preserved_by_user; curated_summary_from_image_taxonomy; not_full_leaf_ocr
H2_EXP_LOG_RAW_014,18|19|20,지수함수와 로그함수,지수와 로그,지수의 확장과 지수법칙,지수의 실생활 활용,수열과 지수적 증가|미생물 또는 바이러스의 개체수|쿨롱 법칙 또는 빛의 세기|시간과 원유 높이의 관계|연평균 성장률|수도관 물의 속력|종단 속력|GDP와 메달 가치|주파수 계기판,H2_EL_C014,"18.png,19.png,20.png",source_images_preserved_by_user; curated_summary_from_image_taxonomy; not_full_leaf_ocr
H2_EXP_LOG_RAW_015,22,지수함수와 로그함수,지수와 로그,로그,로그의 밑과 진수의 조건,밑 또는 진수가 일차식인 로그|밑과 진수가 모두 일차식인 로그|로그가 정의되도록 하는 조건|두 로그가 모두 정의되도록 하는 미지수 구하기|밑과 진수가 모두 이차식인 로그가 정의되도록 하는 미지수 구하기,H2_EL_C015|H2_EL_C016,22.png,source_images_preserved_by_user; curated_summary_from_image_taxonomy; not_full_leaf_ocr
H2_EXP_LOG_RAW_016,23,지수함수와 로그함수,지수와 로그,로그,로그의 성질,주어진 값을 문자에 대한 식으로 나타내기|로그값 구하기|로그의 성질을 이용한 식의 값|로그식의 값이 주어지는 경우,H2_EL_C017,23.png,source_images_preserved_by_user; curated_summary_from_image_taxonomy; not_full_leaf_ocr
H2_EXP_LOG_RAW_017,23,지수함수와 로그함수,지수와 로그,로그,로그의 밑의 변환,로그값 구하기|밑 변환식 계산|로그의 연산에서 미지수의 값 구하기|로그값 조건 해석,H2_EL_C018,23.png,source_images_preserved_by_user; curated_summary_from_image_taxonomy; not_full_leaf_ocr
H2_EXP_LOG_RAW_018,24|25,지수함수와 로그함수,지수와 로그,로그,로그의 여러 가지 성질,지수에 로그가 있는 수의 연산|미지수의 값이 지수에 로그가 있는 경우|로그의 연산 장치|지수에 로그가 있는 수가 정수가 되도록 하는 경우|로그 연산 성질과 대수적 관계를 이용한 표현식 결정|세 미지수 조건이 주어질 때 식의 값 구하기,H2_EL_C019,"24.png,25.png",source_images_preserved_by_user; curated_summary_from_image_taxonomy; not_full_leaf_ocr
H2_EXP_LOG_RAW_019,25,지수함수와 로그함수,지수와 로그,로그,로그에 대한 증명,로그의 성질 증명|로그의 밑의 변환 성질 증명|로그 계산 성질 증명,H2_EL_C017|H2_EL_C018,25.png,source_images_preserved_by_user; curated_summary_from_image_taxonomy; not_full_leaf_ocr
H2_EXP_LOG_RAW_020,25,지수함수와 로그함수,지수와 로그,로그,로그의 성질의 활용(1): log_a b=c가 주어진 경우,로그값 조건이 주어진 경우|로그 관계식이 주어진 경우|미지수로 정의된 로그식의 값|미지수의 값이 주어질 때 식의 값 구하기|미지수의 관계식이 주어질 때 식의 값 구하기,H2_EL_C020,25.png,source_images_preserved_by_user; curated_summary_from_image_taxonomy; not_full_leaf_ocr
H2_EXP_LOG_RAW_021,26,지수함수와 로그함수,지수와 로그,로그,로그의 성질의 활용(2): a^x=b^y가 주어진 경우,"미지수 x에 대하여 a^x=b^y가 주어진 경우|두 미지수 x,y에 대하여 a^x=b^y=k가 주어진 경우|두 미지수 x,y에 대하여 a^x=b, c^y=d가 주어진 경우|세 미지수 x,y,z에 대한 관계식|두 미지수 또는 세 미지수에 대한 식의 값 구하기",H2_EL_C020,26.png,source_images_preserved_by_user; curated_summary_from_image_taxonomy; not_full_leaf_ocr
H2_EXP_LOG_RAW_022,27,지수함수와 로그함수,지수와 로그,로그,로그와 이차방정식,이차방정식의 두 근이 주어질 때|이차방정식의 두 근을 이용한 지수·로그 계산|이차방정식의 두 근의 미지수를 이용한 지수·로그 계산,H2_EL_C021,27.png,source_images_preserved_by_user; curated_summary_from_image_taxonomy; not_full_leaf_ocr
H2_EXP_LOG_RAW_023,27,지수함수와 로그함수,지수와 로그,로그,로그의 대소 관계,로그의 대소 비교|밑이 다른 로그의 대소 비교|로그식 대소 관계 조건|로그값의 정수 부분과 연결된 대소 관계,H2_EL_C022,27.png,source_images_preserved_by_user; curated_summary_from_image_taxonomy; not_full_leaf_ocr
H2_EXP_LOG_RAW_024,28|29|31,지수함수와 로그함수,지수와 로그,상용로그,상용로그와 상용로그의 값,진수가 10의 거듭제곱인 상용로그|상용로그의 연산|새롭게 정의한 상용로그를 이용하여 주어진 식을 문자로 나타내기|상용로그표를 이용하여 수의 값 구하기|주어진 로그값을 이용하여 새로운 로그값 구하기|주어진 두 로그값을 이용하여 미지수의 값 구하기|잘못 계산한 값이 주어질 때 바르게 계산한 값 구하기,H2_EL_C023,"28.png,29.png,31.png",source_images_preserved_by_user; curated_summary_from_image_taxonomy; not_full_leaf_ocr
H2_EXP_LOG_RAW_025,32|33|34,지수함수와 로그함수,지수와 로그,상용로그,가우스가 포함된 로그와 정수·소수 부분,가우스 기호를 포함한 로그의 값|가우스 기호를 포함한 로그 조건|상용로그의 정수 부분과 소수 부분 구하기|정수 부분과 소수 부분이 이차방정식의 두 근인 경우|로그의 정수 부분이 주어질 때 진수의 개수 구하기|정수 및 소수 부분 관계 분석,H2_EL_C024,"32.png,33.png,34.png",source_images_preserved_by_user; curated_summary_from_image_taxonomy; not_full_leaf_ocr
H2_EXP_LOG_RAW_026,35,지수함수와 로그함수,지수와 로그,상용로그,자릿수 구하기,주어진 수의 거듭제곱의 자릿수 구하기|거듭제곱한 수의 자릿수가 주어지는 경우|소수점 아래에서 처음으로 0이 아닌 숫자가 나타나는 자리 구하기|두 미지수로 이루어진 분수의 자릿수 조건|소수점 아래 첫 0이 아닌 숫자의 자리와 수의 연산,H2_EL_C025,35.png,source_images_preserved_by_user; curated_summary_from_image_taxonomy; not_full_leaf_ocr
H2_EXP_LOG_RAW_027,36,지수함수와 로그함수,지수와 로그,상용로그,최고 자리의 숫자 구하기,주어진 수의 최고 자리 숫자 구하기|주어진 수의 자릿수와 최고 자리 숫자의 연산,H2_EL_C025,36.png,source_images_preserved_by_user; curated_summary_from_image_taxonomy; not_full_leaf_ocr
H2_EXP_LOG_RAW_028,36,지수함수와 로그함수,지수와 로그,상용로그,상용로그의 소수 부분의 활용,미지수로 정의된 두 로그의 소수 부분이 서로 같은 경우|상용로그의 정수 부분과 소수 부분 설명으로 옳은 것 찾기|미지수 범위가 주어지고 상용로그 소수 부분이 같은 경우|두 상용로그의 합 또는 차가 정수인 경우,H2_EL_C026,36.png,source_images_preserved_by_user; curated_summary_from_image_taxonomy; not_full_leaf_ocr
H2_EXP_LOG_RAW_029,37,지수함수와 로그함수,지수와 로그,상용로그,상용로그의 실생활 활용,관계식이 주어진 경우|변수가 2개인 경우|변수가 3개 이상인 경우|일정하게 증가하거나 감소하는 경우|번째 항의 값 구하기|미지수의 값 구하기,H2_EL_C027,37.png,source_images_preserved_by_user; curated_summary_from_image_taxonomy; not_full_leaf_ocr
