raw_section_id,source_orders,domain,subdomain,task_group,representative_leaf_examples,concept_ids,source_image_range
M3_QFUNC_RAW_019,[9],그래프 그리기,표 작성,대응표로 그래프 그리기,"[""대응표 계산 오류"", ""x값 선택 불균형"", ""대응표로 그래프 그리기""]","[""M3_FUNC_C019""]",9.png
M3_QFUNC_RAW_020,[10],절편과 좌표,y절편,이차함수의 y절편,"[""상수항과 x절편 혼동"", ""y절편 좌표 표기 오류"", ""이차함수의 y절편""]","[""M3_FUNC_C020""]",10.png
M3_QFUNC_RAW_021,[10],절편과 좌표,x절편,이차함수의 x절편,"[""y=0 설정 누락"", ""이차방정식 풀이 오류"", ""이차함수의 x절편""]","[""M3_FUNC_C021""]",10.png
M3_QFUNC_RAW_022,"[10, 11]",절편과 좌표,그래프 위의 점,그래프 위의 점과 미지수 좌표,"[""x,y 좌표 순서 오류"", ""좌표 대입식 설정 오류"", ""그래프 위의 점과 미지수 좌표""]","[""M3_FUNC_C022""]","10.png, 11.png"
M3_QFUNC_RAW_023,[11],식 구하기,꼭짓점과 한 점,꼭짓점과 한 점으로 이차함수식 구하기,"[""꼭짓점 좌표를 p,q에 반대로 대입"", ""한 점 대입 후 a 계산 오류"", ""꼭짓점과 한 점으로 이차함수식 구하기""]","[""M3_FUNC_C023""]",11.png
M3_QFUNC_RAW_024,"[11, 12]",식 구하기,축과 한 점,축과 점 조건으로 식 구하기,"[""축 x=p를 꼭짓점 전체로 착각"", ""q 조건 누락"", ""축과 점 조건으로 식 구하기""]","[""M3_FUNC_C024""]","11.png, 12.png"
M3_QFUNC_RAW_025,[12],식 구하기,세 점 조건,세 점으로 이차함수식 구하기,"[""연립식 설정 오류"", ""계수 계산 오류"", ""세 점으로 이차함수식 구하기""]","[""M3_FUNC_C025""]",12.png
M3_QFUNC_RAW_026,"[12, 13]",식 구하기,절편 조건,x절편과 y절편으로 식 구하기,"[""x절편을 인수로 연결하지 못함"", ""y절편 조건 누락"", ""x절편과 y절편으로 식 구하기""]","[""M3_FUNC_C026""]","12.png, 13.png"
M3_QFUNC_RAW_027,[13],최댓값과 최솟값,꼭짓점 해석,꼭짓점과 최댓값·최솟값,"[""a 부호에 따른 최댓값/최솟값 반대"", ""x값과 y값 혼동"", ""꼭짓점과 최댓값·최솟값""]","[""M3_FUNC_C027""]",13.png
M3_QFUNC_RAW_028,"[13, 14]",최댓값과 최솟값,범위 제한,제한된 범위에서 최댓값·최솟값,"[""끝값 비교 누락"", ""꼭짓점이 범위 안에 있는지 확인하지 않음"", ""제한된 범위에서 최댓값·최솟값""]","[""M3_FUNC_C028""]","13.png, 14.png"
M3_QFUNC_RAW_029,[14],증감과 대칭,증감,이차함수의 증가와 감소,"[""축 기준 좌우 증감 반대"", ""a 부호를 고려하지 않음"", ""이차함수의 증가와 감소""]","[""M3_FUNC_C029""]",14.png
M3_QFUNC_RAW_030,"[14, 15]",증감과 대칭,대칭점,축에 대한 대칭점 활용,"[""대칭축 평균 관계 미사용"", ""두 x값의 거리 관계 오류"", ""축에 대한 대칭점 활용""]","[""M3_FUNC_C030""]","14.png, 15.png"
M3_QFUNC_RAW_031,[15],방정식과 그래프,근과 x절편,이차방정식의 근과 x절편 연결,"[""해와 교점 연결 실패"", ""x절편 좌표 표기 오류"", ""이차방정식의 근과 x절편 연결""]","[""M3_FUNC_C031""]",15.png
M3_QFUNC_RAW_032,"[15, 16]",방정식과 그래프,교점,직선과 이차함수의 교점,"[""연립 후 이차방정식 변형 오류"", ""교점 좌표 중 y값 누락"", ""직선과 이차함수의 교점""]","[""M3_FUNC_C032""]","15.png, 16.png"
M3_QFUNC_RAW_033,[16],방정식과 그래프,교점 개수,교점 개수와 위치 관계,"[""접한다/만나지 않는다 구분 오류"", ""중근과 접점 연결 실패"", ""교점 개수와 위치 관계""]","[""M3_FUNC_C033""]",16.png
M3_QFUNC_RAW_034,"[16, 17]",계수 조건,방향과 폭 조건,계수 a 조건 판단,"[""방향 조건과 폭 조건 혼동"", ""a=0 가능성 배제 누락"", ""계수 a 조건 판단""]","[""M3_FUNC_C034""]","16.png, 17.png"
M3_QFUNC_RAW_035,[17],계수 조건,축 조건,축 조건으로 계수 구하기,"[""축 공식 부호 오류"", ""b와 a 관계식 설정 오류"", ""축 조건으로 계수 구하기""]","[""M3_FUNC_C035""]",17.png
M3_QFUNC_RAW_036,"[17, 18]",계수 조건,꼭짓점 조건,꼭짓점 조건으로 계수 구하기,"[""꼭짓점 좌표 조건 일부만 사용"", ""q와 c 혼동"", ""꼭짓점 조건으로 계수 구하기""]","[""M3_FUNC_C036""]","17.png, 18.png"
M3_QFUNC_RAW_037,[18],계수 조건,절편 조건,절편 조건으로 계수 구하기,"[""절편 조건을 좌표로 바꾸지 못함"", ""조건 누락"", ""절편 조건으로 계수 구하기""]","[""M3_FUNC_C037""]",18.png
M3_QFUNC_RAW_038,"[18, 19]",활용,도형 넓이,이차함수와 도형 넓이,"[""좌표를 길이로 바꿀 때 절댓값 누락"", ""넓이 공식 적용 오류"", ""이차함수와 도형 넓이""]","[""M3_FUNC_C038""]","18.png, 19.png"
M3_QFUNC_RAW_039,[19],활용,거리와 대칭,대칭성과 거리 활용,"[""대칭축에서의 거리 관계 오류"", ""좌표 차이와 실제 길이 혼동"", ""대칭성과 거리 활용""]","[""M3_FUNC_C039""]",19.png
M3_QFUNC_RAW_040,"[19, 20]",활용,실생활 모델링,상황을 이차함수로 모델링,"[""변수 설정 오류"", ""조건을 식으로 옮기지 못함"", ""상황을 이차함수로 모델링""]","[""M3_FUNC_C040""]","19.png, 20.png"
M3_QFUNC_RAW_041,[20],활용,매개변수,매개변수 조건 문제,"[""조건별 경우 분리 실패"", ""계수 비교 오류"", ""매개변수 조건 문제""]","[""M3_FUNC_C041""]",20.png
M3_QFUNC_RAW_042,"[20, 21]",종합,그래프 해석 종합,그래프에서 식과 성질 읽기,"[""그래프 정보를 식으로 연결하지 못함"", ""축·절편·꼭짓점 혼동"", ""그래프에서 식과 성질 읽기""]","[""M3_FUNC_C042""]","20.png, 21.png"
M3_QFUNC_RAW_043,[21],종합,식 변형 종합,식 변형과 그래프 성질 종합,"[""형태별 장점 구분 실패"", ""불필요한 전개로 계산 복잡화"", ""식 변형과 그래프 성질 종합""]","[""M3_FUNC_C043""]",21.png
M3_QFUNC_RAW_044,"[21, 22]",종합,고난도 조건 종합,조건 누락 없는 이차함수 종합,"[""조건 일부 누락"", ""구한 식의 검산 미흡"", ""조건 누락 없는 이차함수 종합""]","[""M3_FUNC_C044""]","21.png, 22.png"
M3_QFUNC_RAW_045,"[1, 2, 3]",이차함수의 뜻과 기본 그래프,정의·함숫값·기본형 종합,이차함수 판별과 y=ax² 그래프,"[""이차함수인지 판별"", ""함숫값 계산"", ""y=ax²의 방향과 폭""]","[""M3_FUNC_C001"", ""M3_FUNC_C002"", ""M3_FUNC_C004"", ""M3_FUNC_C005"", ""M3_FUNC_C006""]","1.png, 2.png, 3.png"
M3_QFUNC_RAW_046,"[4, 5, 6]",평행이동,꼭짓점형 그래프 종합,y=a(x-p)²+q 그래프 해석,"[""p,q에 따른 꼭짓점"", ""축 x=p"", ""a에 따른 방향과 폭""]","[""M3_FUNC_C009"", ""M3_FUNC_C010"", ""M3_FUNC_C011"", ""M3_FUNC_C012"", ""M3_FUNC_C013""]","4.png, 5.png, 6.png"
M3_QFUNC_RAW_047,"[7, 8, 9]",일반형 변환,완전제곱식과 축·꼭짓점,일반형에서 그래프 정보 구하기,"[""완전제곱식 변형"", ""축 x=-b/2a"", ""꼭짓점 좌표""]","[""M3_FUNC_C014"", ""M3_FUNC_C015"", ""M3_FUNC_C016"", ""M3_FUNC_C017""]","7.png, 8.png, 9.png"
M3_QFUNC_RAW_048,"[9, 10, 11]",그래프 작도,대응표·절편·대칭점,이차함수 그래프 그리기,"[""대응표 작성"", ""대칭점 찾기"", ""x절편과 y절편 표시""]","[""M3_FUNC_C018"", ""M3_FUNC_C019"", ""M3_FUNC_C020"", ""M3_FUNC_C021"", ""M3_FUNC_C022""]","9.png, 10.png, 11.png"
M3_QFUNC_RAW_049,"[11, 12, 13]",식 구하기,조건별 이차함수식 결정,꼭짓점·점·절편 조건으로 식 구하기,"[""꼭짓점과 한 점"", ""세 점 조건"", ""절편 조건""]","[""M3_FUNC_C023"", ""M3_FUNC_C024"", ""M3_FUNC_C025"", ""M3_FUNC_C026""]","11.png, 12.png, 13.png"
M3_QFUNC_RAW_050,"[13, 14, 15]",최대최소와 증감,값의 범위와 대칭,이차함수의 최댓값·최솟값·증감,"[""꼭짓점 y좌표 해석"", ""제한 범위 끝값 비교"", ""대칭점 활용""]","[""M3_FUNC_C027"", ""M3_FUNC_C028"", ""M3_FUNC_C029"", ""M3_FUNC_C030""]","13.png, 14.png, 15.png"
M3_QFUNC_RAW_051,"[15, 16]",방정식과 그래프,근·절편·교점,이차방정식과 이차함수 그래프 연결,"[""근과 x절편"", ""직선과 교점"", ""교점 개수""]","[""M3_FUNC_C031"", ""M3_FUNC_C032"", ""M3_FUNC_C033"", ""M3_QUAD_C028"", ""M3_QUAD_C030""]","15.png, 16.png"
M3_QFUNC_RAW_052,"[16, 17, 18]",계수 조건,"a,b,c와 그래프 조건",계수 조건으로 그래프 성질 판단,"[""a의 방향과 폭"", ""축 조건"", ""꼭짓점 조건"", ""절편 조건""]","[""M3_FUNC_C034"", ""M3_FUNC_C035"", ""M3_FUNC_C036"", ""M3_FUNC_C037""]","16.png, 17.png, 18.png"
M3_QFUNC_RAW_053,"[18, 19, 20]",활용,도형·거리·실생활,이차함수 활용 문제,"[""도형 넓이"", ""대칭성과 거리"", ""상황 모델링""]","[""M3_FUNC_C038"", ""M3_FUNC_C039"", ""M3_FUNC_C040"", ""M3_FUNC_C041""]","18.png, 19.png, 20.png"
M3_QFUNC_RAW_054,"[20, 21, 22]",종합,그래프·식·조건 종합,이차함수 고난도 종합,"[""그래프에서 식 읽기"", ""식 형태 변환"", ""조건 누락 없이 해결""]","[""M3_FUNC_C042"", ""M3_FUNC_C043"", ""M3_FUNC_C044""]","20.png, 21.png, 22.png"
