task_id,subject,subject_raw,seed_id,rule_id,connection_score,candidate_count,candidate_mode,decision_stage,tied_with_top_count,top_score,second_score,score_gap,signed_score_gap,subject_score_constant,method_score_constant,content_cap_hit_count,content_truncation_count,method_score_reason,major_fallback_active,top_seed_id,top_label,top_core_score,top_subject_score,top_content_score,top_content_raw,top_content_capped,keyword_score,axis_score,concept_score,task_score,direct_bonus,exact_bonus,guide_vocabulary_bonus,top_method_score,top_major_rank,diagnostics_bytes,output_bytes_without_diagnostics
assessment_task_254b338b97,정보,정보,BIO-018,data_analysis_001,82,144,bestForSubjects-literal-exact,seedId_alphabetical,9,78,78,0,0,True,True,0,0,no_task_match,False,BIO-018,AI 진단·로봇 수술·정밀 의료·디지털 헬스케어·재생 의료를 연결하여 환자 맞춤형 미래 의료의 진단-치료-관리-회복 흐름을 분석하는 의예·보건·공학 융합 탐구,78,45,33,33,False,22,0,0,3,4,0,4,0,0,8057,17705
assessment_task_ca804522f6,정보,정보,BIO-089,data_analysis_001,90,144,bestForSubjects-literal-exact,seedId_alphabetical,2,84,84,0,0,True,True,0,0,no_task_match,False,BIO-089,"각막 지형도와 Zernike 파면수차 분석을 활용해 근시·난시·노안의 미세 굴절 이상을 정량화하고, 동공 크기·주야간 시야 조건·개인별 각막 곡률을 반영한 맞춤형 디지털 렌즈 설계 원리를 탐구하는 안과·안경광학·의공학 융합 탐구",84,45,39,39,False,22,0,0,5,0,8,4,0,0,7678,21724
assessment_task_216f9c3919,정보,정보,BIO-003,data_analysis_001,70,144,bestForSubjects-literal-exact,seedId_alphabetical,12,50,50,0,0,True,True,0,0,no_task_match,False,BIO-003,"뇌전증을 세포막 전위·이온 채널·뇌파 주파수 분석·신경조절술 원리로 해석하고, 정밀 의료와 신경외과적 치료 방향까지 연결하는 생명과학·의학·의공학 융합 탐구",50,45,5,5,False,0,0,0,5,0,0,0,0,0,8284,23591
assessment_task_910c025ec8,대수,대수,ENG-048,math_problem_001,82,135,bestForSubjects-literal-exact,coreScore,1,79,78,1,1,True,True,0,0,no_task_match,False,ENG-048,"에어드롭을 BLE 기반 발견, iCloud/RSA 기반 인증, AWDL 기반 피어투피어 Wi-Fi 고속 전송, TLS 보안 채널, 처리량·지연시간 모델로 분해해 모바일 네트워크와 정보보안 설계를 함께 분석하는 컴퓨터공학·정보 탐구",79,45,34,34,False,22,0,0,4,4,0,4,0,0,7636,18944
assessment_task_94c38fe6a4,대수,대수,ENG-138,concept_inquiry_002,70,135,bestForSubjects-literal-exact,coreScore,1,51,50,1,1,True,True,0,0,no_task_match,False,ENG-138,"동물 보행의 탄성·관성·중력 작용을 4족 보행 로봇에 적용하고, 스프링-케이블 구조와 SMD 모델을 통해 에너지 효율·동적 안정성·머신러닝 기반 보행 제어를 분석하는 기계공학·로봇공학 융합 탐구",51,45,6,6,False,0,0,0,6,0,0,0,0,0,7946,18805
assessment_task_6d2d9823bd,확률과 통계,확률과 통계,NAT-029,argumentation_002,90,162,bestForSubjects-literal-exact,coreScore,1,84,83,1,1,True,True,0,0,no_task_match,False,NAT-029,"마르코프 체인을 단순한 확률 개념 소개가 아니라 상태 공간, 전이 확률 행렬, 초기 상태 분포와 반복 행렬 곱셈, 정상 분포 π=πP, 랜덤 워크와 몬테 카를로 시뮬레이션, 기상 예측·페이지랭크·큐잉 이론·네트워크 분석까지 연결하는 확률과 통계·데이터 과학 융합 탐구",84,45,39,39,False,22,0,0,5,0,8,4,0,0,7905,24812
assessment_task_f314540bdd,확률과 통계,확률과 통계,NAT-029,math_problem_001,100,162,bestForSubjects-literal-exact,coreScore,1,92,90,2,2,True,True,0,0,matched,False,NAT-029,"마르코프 체인을 단순한 확률 개념 소개가 아니라 상태 공간, 전이 확률 행렬, 초기 상태 분포와 반복 행렬 곱셈, 정상 분포 π=πP, 랜덤 워크와 몬테 카를로 시뮬레이션, 기상 예측·페이지랭크·큐잉 이론·네트워크 분석까지 연결하는 확률과 통계·데이터 과학 융합 탐구",92,45,42,42,False,22,0,0,4,4,8,4,5,0,7413,28825
assessment_task_3fec8025cd,물리,물리학,ENG-138,data_analysis_001,66,102,bestForSubjects-literal-exact,coreScore,1,90,84,6,6,True,True,1,1,no_task_match,False,ENG-138,"동물 보행의 탄성·관성·중력 작용을 4족 보행 로봇에 적용하고, 스프링-케이블 구조와 SMD 모델을 통해 에너지 효율·동적 안정성·머신러닝 기반 보행 제어를 분석하는 기계공학·로봇공학 융합 탐구",90,45,45,49,True,22,0,0,7,8,8,4,0,0,7500,19446
assessment_task_cd554c7c6b,물리,물리학,ENG-106,argumentation_002,66,102,bestForSubjects-literal-exact,seedId_alphabetical,2,90,90,0,0,True,True,2,2,no_task_match,False,ENG-106,반발력·마찰력·공기저항·마그누스 효과·반사계수(COR)를 활용해 테니스 공의 속도·스핀·궤적과 라켓 스트링 재료/긴장도 최적화를 분석하는 물리·기계공학 융합 탐구,90,45,45,46,True,22,0,0,8,8,0,8,0,0,7245,20949
assessment_task_6d8b43615e,화학,화학,NAT-009,concept_inquiry_002,82,188,bestForSubjects-literal-exact,coreScore,1,84,82,2,2,True,True,0,0,no_task_match,False,NAT-009,"락스(차아염소산나트륨)의 물때 제거를 단순 청소 효과가 아니라 HOCl/OCl- 평형, 산화·환원, 단백질 산화·염소화, 생물막 파괴, 크로모포어 표백, 희석·접촉시간·온도·pH 조건 설계와 혼합 금지 안전교육까지 연결하는 생활화학 기반 화학·생명과학 융합 탐구",84,45,39,39,False,17,0,0,6,8,0,8,0,0,8511,20325
assessment_task_702fc33378,화학,화학,NAT-017,experiment_science_001,82,188,bestForSubjects-literal-exact,coreScore,1,84,81,3,3,True,True,0,0,no_task_match,False,NAT-017,"포만감을 줄인 완전영양 알약을 단순한 미래식품 상상이 아니라, 완전영양식의 영양소 충족 기준, 위 팽창과 장-뇌 축 기반 포만감 호르몬(GLP-1·PYY·CCK·그렐린), 식이섬유와 장내미생물의 SCFA 생성, 거대영양소·미량영양소 배분, 생체이용률과 영양소 상호작용, 식사대용식·우주식의 안전성·기호성 기준까지 연결해 '영양학적으로 완전하지만 인간에게 건강한 식사인가'를 검토하는 식품공학·영양생리 융합 탐구",84,45,39,39,False,22,0,0,5,8,0,4,0,0,8359,26765
assessment_task_41fc2e060e,생명과학,생명과학,BIO-063,data_analysis_001,82,180,bestForSubjects-literal-exact,coreScore,1,83,80,3,3,True,True,0,0,no_task_match,False,BIO-063,"회충약·구충제의 작용 기전을 β-튜불린 결합, 칼슘 채널 교란, 니코틴성 수용체 활성화, 글루탐산-개폐성 클로라이드 채널 작용과 전자 오비탈·결합 친화도(Kd)로 연결하는 생명과학·화학 융합 탐구",83,45,38,38,False,22,0,0,4,8,0,4,0,0,7452,21412
assessment_task_1d52b093eb,생명과학,생명과학,BIO-003,experiment_science_001,80,180,bestForSubjects-literal-exact,coreScore,1,81,77,4,4,True,True,0,0,matched,False,BIO-003,"뇌전증을 세포막 전위·이온 채널·뇌파 주파수 분석·신경조절술 원리로 해석하고, 정밀 의료와 신경외과적 치료 방향까지 연결하는 생명과학·의학·의공학 융합 탐구",81,45,31,31,False,15,0,0,4,8,0,4,5,0,7440,27701
assessment_task_462ab23b70,지구과학,지구과학,ENG-026,data_analysis_001,70,14,bestForSubjects-literal-exact,seedId_alphabetical,2,50,50,0,0,True,True,0,0,no_task_match,False,ENG-026,"적색초거성 WOH G64의 밝기·색 변화 사례를 바탕으로 H-R도, 흑체 복사, 슈테판-볼츠만 법칙, 분광 분석, 쌍성 상호작용과 공통외피 진화를 연결해 별의 진화 단계가 단일 별 모델만으로 설명되지 않는 이유를 탐구하는 지구과학·물리학·천체물리 융합 탐구",50,45,5,5,False,0,0,0,5,0,0,0,0,0,7990,21972
assessment_task_1ec80a2bcd,지구과학,지구과학,BIO-013,data_analysis_001,82,14,bestForSubjects-literal-exact,seedId_alphabetical,4,48,48,0,0,True,True,0,0,no_task_match,False,BIO-013,"하마 울음소리와 동물 의사소통 사례를 출발점으로 생체 음향학, 스펙트로그램, CNN 소리 분류, 음향 지표, 야생동물 비침습 모니터링을 연결해 생태계 보전과 동물 복지를 설계하는 수의학·생명과학·데이터 융합 탐구",48,45,3,3,False,0,0,0,3,0,0,0,0,0,7858,20732
assessment_task_6b5c95ef33,융합과학 탐구,융합과학 탐구,BIO-069,research_design_001,72,278,bestForSubjects-literal-exact,seedId_alphabetical,3,83,83,0,0,True,True,0,0,matched,False,BIO-069,"MRI 조영제를 가돌리늄-DOTA 킬레이트 안정도, T1·T2 완화, Larmor 주파수, relaxivity, 자유 Gd3+ 농도와 GFR 안전성으로 분석해 영상 대비와 독성 저감 원리를 설명하는 의료영상·화학·생명과학 융합 탐구",83,45,33,33,False,22,0,0,3,8,0,0,5,0,7789,23904
assessment_task_78ca92f0e8,융합과학 탐구,융합과학 탐구,BIO-075,data_analysis_001,60,278,bestForSubjects-literal-exact,seedId_alphabetical,3,82,82,0,0,True,True,0,0,matched,False,BIO-075,"qRT-PCR·ELISA로 S100P·CCL20·PLAU 등 간암 관련 바이오마커를 정량화하고, 로지스틱 회귀와 ROC-AUC 검증으로 조기 진단·예후 예측 모델의 임상 적용 가능성을 평가하는 의생명·데이터 융합 탐구",82,45,32,32,False,22,0,0,2,0,8,0,5,0,7255,24428
assessment_task_29baa1f458,융합과학 탐구,융합과학 탐구,BIO-004,argumentation_002,72,278,bestForSubjects-literal-exact,seedId_alphabetical,12,83,83,0,0,True,True,0,0,matched,False,BIO-004,"변이 바이러스에 대응하는 범용 백신을 보존된 항원 결정기·역백신학·mRNA-LNP 전달·교차 방어능 원리로 분석하고, 미래 팬데믹 대비와 보건 안보 문제까지 연결하는 생명과학·의학·약학 융합 탐구",83,45,33,33,False,22,0,0,3,0,8,0,5,0,7183,25874
assessment_task_7f82e97a99,융합과학 탐구,융합과학 탐구,BIO-017,data_analysis_001,80,278,bestForSubjects-literal-exact,seedId_alphabetical,2,85,85,0,0,True,True,0,0,matched,False,BIO-017,"거대언어모델(LLM)과 자연어처리로 관상동맥조영술(CAG) 비정형 진료 기록을 표준 변수로 구조화하고, 의료 빅데이터·정밀의료·AI 성능 검증·혈역학 해석까지 연결하는 의예·정보 융합 탐구",85,45,35,35,False,22,0,0,1,0,8,4,5,0,7457,23732
assessment_task_2cbad0ddb4,융합과학 탐구,융합과학 탐구,BIO-012,data_analysis_001,80,278,bestForSubjects-literal-exact,coreScore,1,88,87,1,1,True,True,0,0,matched,False,BIO-012,"원전 인근 암 사망률 논쟁을 출발점으로 전리·비전리 방사선, SAR, DNA 손상, 역학 연구의 인과성 판단, LNT 모델, ALARA 선량 최적화를 연결해 방사선의 건강 영향과 의공학적 안전 설계를 분석하는 의과학·의공학 융합 탐구",88,45,38,38,False,22,0,0,4,0,8,4,5,0,9357,25636
assessment_task_5b5034ca5a,확률과 통계,확률과 통계,NAT-034,math_problem_001,70,162,bestForSubjects-literal-exact,coreScore,1,51,50,1,1,True,True,0,0,no_task_match,False,NAT-034,"옥상 텃밭이나 도시 재배 토양의 중금속 오염을 단순한 환경 문제로 보지 않고, 납·카드뮴·비소 같은 금속 이온의 토양 내 이동성, pH·유기물·킬레이트가 흡수율에 미치는 영향, 식물 뿌리·줄기·잎의 흡수와 축적, 생물농축계수(BCF) 계산, 먹이사슬을 통한 생물 농축, 식물추출·식물정화 기반 오염 토양 복원, 수질·토양 모니터링과 식품 안전·공중보건 위해성 평가까지 연결하는 화학·생명과학·환경공학·보건 융합 탐구",51,45,6,6,False,0,0,0,6,0,0,0,0,0,7757,25125
assessment_task_849f8a2f1e,확률과 통계,확률과 통계,BIO-075,concept_inquiry_002,82,162,bestForSubjects-literal-exact,seedId_alphabetical,2,80,80,0,0,True,True,0,0,no_task_match,False,BIO-075,"qRT-PCR·ELISA로 S100P·CCL20·PLAU 등 간암 관련 바이오마커를 정량화하고, 로지스틱 회귀와 ROC-AUC 검증으로 조기 진단·예후 예측 모델의 임상 적용 가능성을 평가하는 의생명·데이터 융합 탐구",80,45,35,35,False,22,0,0,5,8,0,0,0,0,7587,19929
assessment_task_d2ae98918e,확률과 통계,확률과 통계,ENG-079,data_analysis_001,70,162,bestForSubjects-literal-exact,coreScore,1,51,50,1,1,True,True,0,0,no_task_match,False,ENG-079,"AI로 군중 밀집과 이동 경로를 실시간 예측해 압사 사고 위험을 사전에 감지하고, 스마트시티·공공안전·교통관제 대책으로 연결하는 인공지능·교통공학 탐구",51,45,6,6,False,0,0,0,6,0,0,0,0,0,7318,19714
assessment_task_20747a8c36,물리,물리학Ⅱ,NAT-001,science_concept_presentation_001,78,102,bestForSubjects-literal-exact,coreScore,1,83,82,1,1,True,True,0,0,no_task_match,False,NAT-001,"즉석조리식품의 다층 레토르트 포장재를 사례로, 고분자 재료의 층상 구조·기체 투과도·열전달·멸균값(F₀)을 연결해 식품 안전성과 품질 보존을 설명하는 화학·물리·식품과학 융합 탐구",83,45,38,38,False,22,0,0,4,0,8,4,0,0,7413,19006
assessment_task_e85d7ad12f,물리,물리학Ⅱ,ENG-127,argumentation_002,78,102,bestForSubjects-literal-exact,coreScore,1,78,64,14,14,True,True,0,0,no_task_match,False,ENG-127,"Na⁺/K⁺-ATPase 이온 펌프, 세포막 선택적 투과성, 전기화학적 구배, Poisson-Nernst-Planck 방정식, 나노포어·그래핀·Si₃N₄ 채널, 이온 주입 도핑 프로파일을 연결해 저온·저전력 반도체 도핑 플랫폼을 설계하는 생명과학·물리·반도체공학 융합 탐구",78,45,33,33,False,22,0,0,7,4,0,0,0,0,7430,23623
assessment_task_84f975491d,물리,물리학Ⅱ,ENG-138,argumentation_002,78,102,bestForSubjects-literal-exact,coreScore,1,79,78,1,1,True,True,0,0,no_task_match,False,ENG-138,"동물 보행의 탄성·관성·중력 작용을 4족 보행 로봇에 적용하고, 스프링-케이블 구조와 SMD 모델을 통해 에너지 효율·동적 안정성·머신러닝 기반 보행 제어를 분석하는 기계공학·로봇공학 융합 탐구",79,45,34,34,False,17,0,0,5,8,0,4,0,0,7547,19219
assessment_task_f95ce54765,화학,화학Ⅱ,BIO-004,math_problem_001,70,188,bestForSubjects-literal-exact,seedId_alphabetical,2,84,84,0,0,True,True,0,0,no_task_match,False,BIO-004,"변이 바이러스에 대응하는 범용 백신을 보존된 항원 결정기·역백신학·mRNA-LNP 전달·교차 방어능 원리로 분석하고, 미래 팬데믹 대비와 보건 안보 문제까지 연결하는 생명과학·의학·약학 융합 탐구",84,45,39,39,False,22,0,0,5,8,0,4,0,0,8354,22711
assessment_task_6e818cd72e,화학,화학Ⅱ,NAT-016,experiment_science_001,82,188,bestForSubjects-literal-exact,coreScore,1,81,80,1,1,True,True,0,0,no_task_match,False,NAT-016,"모발 염색을 단순한 미용 활동이 아니라 멜라닌 색소의 산화, 과산화수소의 산화력, 암모니아·MEA 같은 알칼리제가 큐티클을 팽윤시켜 코르텍스 내부로 염료 전구체를 침투시키는 과정, 산화중합을 통한 색 고정, pH·농도·반응시간에 따른 색 변화와 케라틴 손상까지 연결하는 산화환원·화장품화학 융합 탐구",81,45,36,36,False,22,0,0,6,4,0,4,0,0,7973,24692
assessment_task_470fc6180d,생명과학,생명과학Ⅱ,NAT-030,argumentation_002,82,180,bestForSubjects-literal-exact,coreScore,1,80,79,1,1,True,True,0,0,no_task_match,False,NAT-030,"효소를 단순한 생명과학 개념 소개가 아니라 활성 부위와 기질 특이성, 활성화 에너지 감소, 효소 동역학과 Michaelis-Menten 방정식, 락타아제·유당불내증 사례, 효소 억제제·치환 요법·산업용 효소까지 연결하는 생명과학·화학·의학 융합 탐구",80,45,35,35,False,13,0,0,2,8,0,12,0,0,7577,29051
assessment_task_0c614c69e3,생명과학,생명과학Ⅱ,NAT-030,experiment_science_001,82,180,bestForSubjects-literal-exact,coreScore,1,90,87,3,3,True,True,1,1,no_task_match,False,NAT-030,"효소를 단순한 생명과학 개념 소개가 아니라 활성 부위와 기질 특이성, 활성화 에너지 감소, 효소 동역학과 Michaelis-Menten 방정식, 락타아제·유당불내증 사례, 효소 억제제·치환 요법·산업용 효소까지 연결하는 생명과학·화학·의학 융합 탐구",90,45,45,46,True,22,0,0,4,8,0,12,0,0,8718,25827
assessment_task_e3032a8201,지구과학,지구과학Ⅱ,NAT-004,argumentation_002,70,14,bestForSubjects-literal-exact,seedId_alphabetical,2,62,62,0,0,True,True,0,0,no_task_match,False,NAT-004,"해수면 상승을 단순한 빙하 융해 현상이 아니라 대기-해양 상호작용, 복사강제력, 해수의 열팽창, 빙하-알베도 피드백, 열염순환 약화가 결합된 지구 시스템 문제로 분석하는 지구과학·대기과학·해양학 융합 탐구",62,45,17,17,False,11,0,0,2,0,0,4,0,0,8325,18496
assessment_task_d477f146f3,지구과학,지구과학Ⅱ,NAT-034,experiment_science_001,82,14,bestForSubjects-literal-exact,coreScore,1,55,47,8,8,True,True,0,0,no_task_match,False,NAT-034,"옥상 텃밭이나 도시 재배 토양의 중금속 오염을 단순한 환경 문제로 보지 않고, 납·카드뮴·비소 같은 금속 이온의 토양 내 이동성, pH·유기물·킬레이트가 흡수율에 미치는 영향, 식물 뿌리·줄기·잎의 흡수와 축적, 생물농축계수(BCF) 계산, 먹이사슬을 통한 생물 농축, 식물추출·식물정화 기반 오염 토양 복원, 수질·토양 모니터링과 식품 안전·공중보건 위해성 평가까지 연결하는 화학·생명과학·환경공학·보건 융합 탐구",55,45,10,10,False,0,0,0,2,0,8,0,0,0,8374,25851
assessment_task_706ef52938,정보,정보,ENG-036,,95,144,bestForSubjects-literal-exact,coreScore,1,91,87,4,4,True,True,0,0,matched,False,ENG-036,"그린실즈 모델, 교통량 Q=속도×밀도, 임계 밀도, 유령 체증, IoT·CCTV 데이터, AI 신호 제어를 연결해 도심 교통 혼잡을 수학적 모델링과 지능형 교통 시스템으로 최적화하는 정보·도시공학 융합 탐구",91,45,41,41,False,22,0,0,7,0,8,4,5,0,7450,25516
assessment_task_5f831eadb0,정보,정보,BIO-017,project_002,90,144,bestForSubjects-literal-exact,seedId_alphabetical,6,84,84,0,0,True,True,0,0,no_task_match,False,BIO-017,"거대언어모델(LLM)과 자연어처리로 관상동맥조영술(CAG) 비정형 진료 기록을 표준 변수로 구조화하고, 의료 빅데이터·정밀의료·AI 성능 검증·혈역학 해석까지 연결하는 의예·정보 융합 탐구",84,45,39,39,False,22,0,0,5,0,8,4,0,0,7624,18213
assessment_task_7c48213633,정보,정보,BIO-041,data_analysis_001,70,144,bestForSubjects-literal-exact,seedId_alphabetical,8,50,50,0,0,True,True,0,0,no_task_match,False,BIO-041,안구 팬텀으로 망막 구조층·미세혈관·혈류·자가형광을 재현하고 OCT·형광안저혈관조영술 장비 교정과 AI 망막질환 진단 정확도 향상으로 확장하는 의공학·안과 영상 융합 탐구,50,45,5,5,False,0,0,0,5,0,0,0,0,0,7369,18680
assessment_task_316cc9219a,미적분1,미적분 II,BIO-040,creative_concept_001,66,169,bestForSubjects-literal-exact,seedId_alphabetical,13,49,49,0,0,True,True,0,0,no_task_match,False,BIO-040,Grayscale DLP에서 빛 세기와 광경화 정도를 조절해 PUA 레진의 강도·탄성·충격흡수 특성을 설계하고 치과 보철물·바이오메디컬 맞춤 제작으로 확장하는 화학·물리·기계공학 융합 탐구,49,45,4,4,False,0,0,0,4,0,0,0,0,0,7610,17358
assessment_task_3b7cbca4ce,미적분1,미적분 II,BIO-043,presentation_002,66,169,bestForSubjects-literal-exact,seedId_alphabetical,27,49,49,0,0,True,True,0,0,no_task_match,False,BIO-043,"유리화·나노워밍·등적 동결을 통해 난자·정자·조직·장기 보존의 냉각·가열 속도, 동결보호제 독성, 삼투 스트레스, 빙정 재결정화 문제를 열전달·용액화학·세포막 수송으로 분석하는 생명공학·의공학 융합 탐구",49,45,4,4,False,0,0,0,4,0,0,0,0,0,7328,19507
assessment_task_02976934c0,물리,고급 물리학,BIO-066,creative_concept_001,78,102,bestForSubjects-literal-exact,coreScore,1,79,78,1,1,True,True,0,0,no_task_match,False,BIO-066,"근적외선·확산반사·라만/SERS 스펙트럼으로 조직의 흡광계수·산란계수, 산소포화도, 혈당 변화를 비침습적으로 추정하고 Monte Carlo 광추적과 BOD Index로 진단 지표를 설계하는 물리·생명공학·의공학 융합 탐구",79,45,34,34,False,22,0,0,8,4,0,0,0,0,7833,18220
assessment_task_25802fcc74,물리,고급 물리학,BIO-008,experiment_science_001,66,102,bestForSubjects-literal-exact,seedId_alphabetical,4,53,53,0,0,True,True,0,0,no_task_match,False,BIO-008,"유연 압전 센서가 혈관 벽의 미세한 팽창과 수축을 전압 신호로 바꾸는 원리를 분석하고, 하겐-푸아죄유 법칙과 맥파 전달 속도(PWV)를 활용해 심혈관 질환의 전조를 실시간으로 포착하는 의공학·물리학·생명과학 융합 탐구",53,45,8,8,False,0,0,0,8,0,0,0,0,0,7499,18466
assessment_task_58a5f97636,물리,고급 물리학,BIO-008,experiment_science_001,88,102,bestForSubjects-literal-exact,coreScore,1,90,88,2,2,True,True,0,0,matched,False,BIO-008,"유연 압전 센서가 혈관 벽의 미세한 팽창과 수축을 전압 신호로 바꾸는 원리를 분석하고, 하겐-푸아죄유 법칙과 맥파 전달 속도(PWV)를 활용해 심혈관 질환의 전조를 실시간으로 포착하는 의공학·물리학·생명과학 융합 탐구",90,45,40,40,False,22,0,0,10,0,8,0,5,0,7400,24922
