task_id,subject,subject_raw,level,source,evidence_class,evidence_scope,fallback_derived,fallback_sources,guide,matched_terms,subject_concepts,concept_name,concept_display_name,correct,reviewer_note
assessment_task_811ac03930,과학과제 연구,과학과제 연구,I_or_other,textbook_concept_dictionary,clean,both,True,과학탐구실험1,"나만의 과학 연구 프로젝트 설계 연구의 동기와 목적을 설정하고 선행 연구를 조사하여 연구 주제를 구체화한다. / 연구 내용과 연구 방법을 포함한 연구 설계를 작성한다. / 예상 결과와 기대 효과, 연구 추진 일정 및 시설·장비 활용 계획을 제시하고 참고문헌을 정리한다.",참고 문헌,참고 문헌 | 탐구 보고서 작성,탐구 보고서 작성,탐구 보고서 작성,,
assessment_task_e80589263f,과학과제 연구,과학과제 연구,I_or_other,textbook_concept_dictionary,clean,both,True,과학탐구실험1,"논문 작성법 탐구 과학과제 연구 수행평가 영역: 논문 작성법 탐구. GE 296@@ - 296 - 나. 논문 작성법 탐구 성취 기준 [12과연01-05] 국내외 논문 검색 등을 이용하여 연구에 필요한 자료를 찾을 수 있다. [12과연01-12] 연구 결과를 보고서로 작성하며, 보고서 작성 시 참고 문헌을 명확히 표기할 수 있다. 평가 시기 3월 3주 반영비율 10% 영역만점 100점 평가 방법 ☑ 서술･논술 ☑ 구술･발표 ☑ 토의･토론 ☑ 프로젝트 ☑ 실험･실습 평가 요소 및 채점 기준 1. 방식 (개별 활동 + 팀별 활동) 가. 개별 활동 - 연구 계획 수립 과정에서 참고한 논문을 분석하여 논문",참고 문헌,참고 문헌 | 탐구 보고서 작성,탐구 보고서 작성,탐구 보고서 작성,,
assessment_task_f25f742be0,과학과제 연구,과학과제 연구,I_or_other,textbook_concept_dictionary,clean,both,True,과학탐구실험1,"발표 및 성찰 보고서 과학과제 연구 수행평가 영역: 발표 및 성찰 보고서. ▪수업 시간 동안 진행하며 종료령과 함께 결과물을 수합한다. ▪2단계로 구분해 실시하며 개별로 평가한다. ▪다양한 자료를 수집하기 위해 AI 등 디지털 도구를 활용할 수 있으나, AI를 활용하여 보고서의 내용을 직접 작성하게 하거나, 연구 결과 및 결론을 대신 도출하게 하는 행위는 금지되며 적발 시 부정행위로 간주한다. ▪AI 활용 시에는 사용 기록(사용한 AI 종류, 질문 내용, 출처 표기 등)을 표기해야 한다. ▪AI 생성물을 사용 기록 없이 그대로 제출하거나, 결과물의 내용을 묻는 교사의 질…",가설 | 결론,가설 | 결론,,가설,,
assessment_task_fcab8e2d32,과학과제 연구,과학과제 연구,I_or_other,textbook_concept_dictionary,clean,both,True,과학탐구실험1,연구 보고서 과학과제 연구 수행평가 영역: 연구 보고서. GE 297@@ - 297 - 다. 연구 보고서 나. 논문 작성법 발표 (팀별 공통 점수) 1) 발표 자료 제작 능력(PPT 등) 상(50점) ① 내용의 충실도 ② 제작 능력(시각적) ③ 정확성이 모두 탁월한 경우 중(40점) ① 내용의 충실도 ② 제작 능력(시각적) ③ 정확성 중 1~2가지가 부족한 경우 하(30점) ① 내용의 충실도 ② 제작 능력(시각적) ③ 정확성이 중 3~4가지가 부족한 경우 최하(20 점) 발표 자료를 제작하지 않은 경우 2) 발표 능력 상(50점) ① 발표 준비와 태도 ② 청중과의 상호작용 ③ 정확성 ④,정확성 | 해석,해석 | 자료 수집·분석·결론 도출,자료 수집·분석·결론 도출,자료 수집·분석·결론 도출,,
assessment_task_0b7ceaf202,과학탐구실험1,과학탐구실험1,I_or_other,textbook_concept_dictionary,clean,both,False,,멘델레예프의 주기율표 만들기 • 멘델레예프의 주기율표를 만들 수 있다. • 주기율표가 만들어지는 과정에서 발견되는 과학의 본성을 설명할 수 있다.,멘델레예프의 주기율표 만들기 | 과학의 본성 | 멘델레예프 | 원소 배열 | 주기율표 | 규칙성 | 원소,원소 배열 | 규칙성 | 멘델레예프의 주기율표 만들기,멘델레예프의 주기율표 만들기,멘델레예프의 주기율표 만들기,,
assessment_task_663b125772,과학탐구실험1,과학탐구실험1,I_or_other,textbook_concept_dictionary,clean,both,False,,"갈릴레이 경사면 실험을 통한 낙하 운동의 시간-거리 관계 탐구 과학탐구실험 수행평가 과제: 갈릴레이 경사면 실험을 통한 낙하 운동의 시간-거리 관계 탐구. 평가요소: 탐구의 목적과 과정을 정확하, 과정 이해, 탐구에 능동적으로 참여함, 실험기구 조작 능력이 우수함",경사면 실험 | 갈릴레이 | 낙하 운동 | 탐구 목적 | 경사면,갈릴레이의 경사면 실험과 낙하 운동,갈릴레이의 경사면 실험과 낙하 운동,갈릴레이의 경사면 실험과 낙하 운동,,
assessment_task_6825ed8168,과학탐구실험1,과학탐구실험1,I_or_other,textbook_concept_dictionary,clean,both,False,,협력으로 일구어 낸 놀라운 성과 과학탐구실험 수행평가 과제: 협력으로 일구어 낸 놀라운 성과. 평가내용: 협력으로 일구어 낸 놀라운 성과,협력,협력,,협력,,
assessment_task_69cbf96868,과학탐구실험1,과학탐구실험1,I_or_other,textbook_concept_dictionary,clean,both,False,,낙하운동의 속도 측정 및 활용 계획 수립  활동 수행  결과 분석 ,낙하 운동,갈릴레이의 경사면 실험과 낙하 운동,갈릴레이의 경사면 실험과 낙하 운동,갈릴레이의 경사면 실험과 낙하 운동,,
assessment_task_70f7276a1e,과학탐구실험1,과학탐구실험1,I_or_other,textbook_concept_dictionary,clean,both,False,,탐구실험활동 과학탐구실험 수행평가 과제: 탐구실험활동. 평가내용: - 빅데이터 활용한 탐구 결과의 분석 수준 - 과학적 탐구 과정과 절차의 이해 및 탐구 수행력 서술·논술 구술·발표 토의·토론 조사·관찰보고서 실험·실습,빅데이터 | 절차,절차 | 가설 설정과 탐구 설계,가설 설정과 탐구 설계,가설 설정과 탐구 설계,,
assessment_task_bf286a5e3b,과학탐구실험1,과학탐구실험1,I_or_other,textbook_concept_dictionary,clean,both,False,,과학의 본성 - 주기율표의 발전 과정을 따라 주기율표 만들어 보기 과학탐구실험 수행평가 과제: 과학의 본성 - 주기율표의 발전 과정을 따라 주기율표 만들어 보기. 평가내용: 주기율표를 직접 만들어 보는 과정을 통해 과학의 본성을 추론할 수 있는가?,과학의 본성 | 주기율표 | 발전,과학의 본성 | 우리 선조들의 과학 기술 발전 사례 찾기,우리 선조들의 과학 기술 발전 사례 찾기,우리 선조들의 과학 기술 발전 사례 찾기,,
assessment_task_c7270627ea,과학탐구실험1,과학탐구실험1,I_or_other,textbook_concept_dictionary,clean,both,False,,"자격루 원리 실험 우리 조상의 과학기술 사례를 조사하여 그 속에 담긴 과학적 원리(예: 유체의 흐름, 압력, 천문 관측 원리 등)를 현대 과학 개념과 연결해 해석 하는 능력을 평가함. 단순한 정보 정리를 넘어 자료 분석과 논리적 설명을 통해 전통 과학기술의 의의와 한계를 탐구하는 과정을 중심으로 평 가함.",전통 과학 기술 | 전통 과학 | 자격루 | 관측 | 해석,전통 과학 기술 | 자격루 | 우리 선조들의 과학 기술 발전 사례 찾기,우리 선조들의 과학 기술 발전 사례 찾기,우리 선조들의 과학 기술 발전 사례 찾기,,
assessment_task_e627c5db9f,과학탐구실험1,과학탐구실험1,I_or_other,textbook_concept_dictionary,clean,both,False,,빛의 본질 탐구 활동 / 뉴턴의 결정적 실험 구현 계획 수립  활동 수행  결과 분석 ,뉴턴,뉴턴,,뉴턴,,
assessment_task_f3daf27dc0,과학탐구실험1,과학탐구실험1,I_or_other,textbook_concept_dictionary,clean,both,False,,과학의 본성 탐구하기 ∘ 갈릴레이가 수행했던 실험을 통해 알 수 있는 과학의 본성 추론하기 ∘ 과학사의 다양한 사례를 통해 과학의 본성 추론하고 설명자료 작성하기,과학의 본성 | 갈릴레이 | 과학사,과학의 본성 | 우리 선조들의 과학 기술 발전 사례 찾기,우리 선조들의 과학 기술 발전 사례 찾기,우리 선조들의 과학 기술 발전 사례 찾기,,
assessment_task_9438c6ec8e,과학탐구실험2,과학탐구실험2,I_or_other,legacy_dictionary,clean,both,False,,"알아보기 호모폴라 전동기를 조립하여 작동시키고 에너지 전환을 설명한다. 알아보기 호모폴라 전동기를 조립하여 작동시키고 에너지 전환을 설명한다. (기타유형, 논술형)",에너지 전환,에너지 전환,,,,
assessment_task_0f25876849,대수,대수,I_or_other,textbook_plus_legacy,clean,both,False,,"지수ㆍ로그ㆍ삼각함수 문제해결 스토리보드 작성 문제 해결 과정 서술 : 제시된 문제들 중 선정한 문제에 대해 해결 과정을 논리적으로 서술하기 / 성취기준 관련 개념 작성 및 문제 해결 과정 요약 : 관련 개념을 작성하고, 문제 해결을 위해 가장 먼저 파악해야 하는 요소를 제시하기, 문제 해결 과정을 요약하기 / 지수ㆍ로그ㆍ삼각함수 개념 확장 : 문제 해결 과정에서 쓰인 지수ㆍ로그ㆍ삼각함수 개념과 관련된 실생활 또는 심화 탐구 주제를 선정하고, 탐구 내용을 간략히 서술하기, 새롭게 알게 된 점과 향상된 역량 또는 능력을 서술하기 AI활용 1, 2단계 :",로그 | 지수 | 함수,함수 | 로그의 뜻과 성질,로그의 뜻과 성질,로그의 뜻과 성질,,
assessment_task_20d36507da,대수,대수,I_or_other,textbook_plus_legacy,clean,both,False,,"팀별 발표(프로젝트) 대수 수행평가 영역: 팀별 발표(프로젝트). 대수 수업 진도 범위(지수, 로그, 지수 로그 함수, 삼각함수, 수열)와 관련된 여러 가지 간학문적 수학 주제 중에서 하나의 탐구 주제를 수업 시간 중에 선정하여 구체화할 수 있다. 2. 선정한 탐구 주제와 관련된 선행 연구 및 내용을 수업 시간 중에 조사하고 적절한 탐구 방법을 찾아 탐구 계획을 수립할 수 있다. 3. 탐구 계획에 따라 수업 시간 중에 개인별로 탐구를 체계적으로 수행한 후 탐구 결과를 정리하여 논리적으로 발표할 수 있다.",로그 | 수열 | 지수 | 함수,함수 | 수열,등차수열과 등비수열,등차수열과 등비수열,,
assessment_task_a3ff342a97,대수,대수,I_or_other,textbook_plus_legacy,clean,both,False,,함수수열 문제해결과정 작성 활동 · 문제 해결 과정 평가  수학적 추론과정 평가  수학적 표현력 역량 강화 ,수열 | 함수,함수 | 수열,등차수열과 등비수열,등차수열과 등비수열,,
assessment_task_f774a4c1f7,대수,대수,I_or_other,textbook_plus_legacy,clean,both,False,,"문제해결과정 서술하기 1 가. 문제해결과정 서술하기 1 (20점/20%) (1) 지수함수와 로그함수 성취기준 성취기준별 성취수준 A 거듭제곱과 거듭제곱근의 뜻과 성질을 설명하고, 그 성질을 이용하여 계산할 수 있다. B 거듭제곱과 거듭제곱근의 뜻과 성질을 이해하고, 그 성질을 이용하여 계산할 수 있다. [12대수01-01] 거듭제곱과 거듭 C 거듭제곱과 거듭제곱근의 뜻과 성질을 알고, 그 성질을 이용하여 계산할 수 있다. 제곱근의 뜻을 알고, 그 성질을 이 용하여 계산할 수 있다. 거듭제곱과 거듭제곱근의 뜻을 알고, 거듭제곱과 거듭제곱근에 관한 간단한 계산을 할 D 수 있다. E 안내된 절차에 따라 거듭제곱과 거듭제곱근을 계산할 수 있다. A 지수가 유리수, 실수까지 확장될 수 있음을 이해하여 설명할 수 있다. [12대수01-02] 지수가 유리수, B 실수까지 확장될 수 있음을 이해 C 하고, 이를 설명할 수 있다. 지수가 유리수, 실수까지 확장될 수 있음을 이해한다. D E 지수가 유리수, 실수까지 확장될 수 있음을 안다. A 지수법칙을 설명하고, 이를 이용하여 다양한 식을 간단하게 나타낼 수 있다. [12대수01-03] 지수법칙을 이해 B 지수법칙을 이해하고, 이를 이용하여 식을 간단하게 나타낼 수 있다. 하고, 이를 이용하여 식을 간단히 C 지수법칙을 알고, 이를 이용하여 식을 간단하게 나타낼 수 있다. 나타낼 수 있다. D 지수법칙을 알고, 이를 이용하여 안내된 절차에 따라 식을 간단하게 나타낼 수 있다. E 지수법칙을 안다. A 로그의 뜻과 성질을 설명하고, 그 성질을 이용하여 계산할 수 있다. [12대수01-04] 로그의 뜻을 알 B 로그의 뜻과 성질을 이해하고, 그 성질을 이용하여 계산할 수 있다. 고, 그 성질을 이용하여 계산할 수 C 로그의 뜻과 성질을 알고, 그 성질을 이용하여 계산할 수 있다. 있다. D 로그의 뜻을 알고, 로그에 관한 간단한 계산을 할 수 있다. E 안내된 절차에 따라 로그에 관한 간단한 계산을 할 수 있다. A 상용로그를 설명하고, 이를 실생활과 연결하여 다양한 문제를 해결할 수 있다. [12대수01-05] 상용로그를 이해 B 상용로그를 설명하고, 이를 실생활과 연결하여 문제를 해결할 수 있다. 하고, 이를 실생활과 연결하여 문 C 상용로그를 이해하고, 이를 실생활과 연결하여 간단한 문제를 해결할 수 있다. 제를 해결할 수 있다. D 상용로그를 알고, 상용로그에 관한 간단한 문제를 해결할 수 있다. 성취기준 성취기준별 성취수준 E 안내된 절차에 따라 상용로그에 관한 간단한 문제를 해결할 수 있다. A 지수함수와 로그함수의 뜻을 이해하여 설명할 수 있다. [12대수01-06] 지수함수와 로그 B 함수의 뜻을 알고, 이를 설명할 수 C 있다. 지수함수와 로그함수의 뜻을 이해한다. D E 지수함수와 로그함수의 뜻을 안다. A 다양한 지수함수와 로그함수의 그래프를 그릴 수 있고, 그 성질을 설명할 수 있다. [12대수01-07] 지수함수와 로그 B 지수함수와 로그함수의 그래프를 그릴 수 있고, 그 성질을 이해한다. 함수의 그래프를 그릴 수 있고, 그 C 지수함수와 로그함수의 그래프를 그릴 수 있고, 그 성질을 안다. 성질을 설명할 수 있다. D 간단한 지수함수와 로그함수의 그래프를 그릴 수 있고, 그 성질을 부분적으로 안다. E 안내된 절차에 따라 간단한 지수함수와 로그함수의 그래프를 그릴 수 있다. A 지수함수와 로그함수를 활용하여 다양한 문제를 해결할 수 있다. [12대수01-08] 지수함수, 로그 B 함수를 활용하여 문제를 해결할 C 수 있다. 지수함수와 로그함수를 활용하여 간단한 문제를 해결할 수 있다. D E 안내된 절차에 따라 지수함수 또는 로그함수를 활용하여 간단한 문제를 해결할 수 있다. (2) 삼각함수 성취기준 성취기준별 성취수준 A 일반각과 호도법의 뜻과 그 관계를 이해하여 설명할 수 있다. [12대수02-01] 일반각과 호도법 B 일반각과 호도법의 뜻과 그 관계를 이해한다. 의 뜻을 알고, 그 관계를 설명할 C 일반각과 호도법의 뜻과 그 관계를 안다. 수 있다. D 일반각과 호도법의 뜻을 안다. E 일반각 또는 호도법의 뜻을 안다. 삼각함수의 개념을 설명하고 사인함수, 코사인함수, 탄젠트함수의 그래프를 그릴 수 있 A 으며, 그 성질을 설명할 수 있다. 삼각함수의 개념을 이해하여 사인함수, 코사인함수, 탄젠트함수의 그래프를 그릴 수 있 B [12대수02-02] 삼각함수의 개념 으며, 그 성질을 이해한다. 을 이해하여 사인함수, 코사인함 삼각함수의 개념을 알고 간단한 사인함수, 코사인함수, 탄젠트함수의 그래프를 그릴 수 C 수, 탄젠트함수의 그래프를 그리 있으며, 그 성질을 안다. 고, 그 성질을 설명할 수 있다. 삼각함수의 개념을 부분적으로 알고, 안내된 절차에 따라 간단한 사인함수, 코사인함수, D 탄젠트함수의 그래프를 그릴 수 있다. 안내된 절차에 따라 간단한 사인함수, 코사인함수 또는 탄젠트함수의 그래프를 그릴 E 수 있다. 1) 교과 내용에 대한 이해를 바탕으로 서․논술 능력을 평가한다. 2) 채점 기준표를 마련하여 타당성 있고 공정하게 채점․평가한다. 3) 평가결과는 학생들에게 즉시 공개하고, 희망 학생에게는 답안지를 열람하도록 한다. 평가 영역 Ⅰ-01. 거듭제곱과 거듭제곱근 ~ Ⅲ-05. 삼각함수가 포함된 방정식과 부등식 평가 항목 문제 해결 과정 평가 방법 A4 크기의 용지에 5문제 내외의 문항을 제시하고, 그 풀이를 작성하여 담당교사에게 제출 ① 기본점수(10점)  문항점수(10점)  20점 ② 평가 교시 내 제출 시 기본점수 10점을 부여함. ③ 문항점수 부여 기준 세부 - 성취기준·평가 요소에 근거하여 성취수준을 변별할 수 있도록 구체적인 채점 기준 수립하여 채 점함. 배점기준 - 문항과 관계없는 풀이를 적거나, 순서를 바꾸어 작성한 경우 풀이를 인정하지 않음. - 기타 논의가 필요한 풀이의 경우에는 교과 담당교사의 논의를 통해 점수를 부여함. - 응용 및 적용 방법이 완전하지 못하여도 부분 점수를 부여할 수 있다. ④ AI의 사용은 허용하지 않음.",거듭제곱과 거듭제곱근 | 로그의 뜻과 성질 | 거듭제곱근 | 거듭제곱 | 로그함수 | 상용로그 | 지수법칙 | 지수함수,지수 | 함수 | 거듭제곱과 거듭제곱근,거듭제곱과 거듭제곱근,거듭제곱과 거듭제곱근,,
assessment_task_0101f8559b,데이터 과학,데이터과학,I_or_other,textbook_concept_dictionary,clean,both,True,확률과 통계,데이터 수집 및 전처리 과정 설계하기 데이터 수집 및 전처리 과정 설계하기,데이터,데이터,,데이터,,
assessment_task_36aa1f972b,데이터 과학,데이터 과학,I_or_other,textbook_concept_dictionary,clean,both,True,정보 | 확률과 통계,데이터 기반 문제 해결하기 해결하고자 하는 문제를 설정하고 데이터를 수집한다. / 수집한 데이터를 체계적으로 정리하고 분석 가능한 형태로 변환한다. / 문제 해결에 적합한 데이터 모델을 적용한다. / 분석 결과를 바탕으로 결론을 도출한다.,문제 해결 | 데이터 | 모델 | 탐색,문제 해결 | 탐색 | 자료와 정보의 분석,자료와 정보의 분석,자료와 정보의 분석,,
assessment_task_3b2cff3e8b,데이터 과학,데이터 과학,I_or_other,textbook_concept_dictionary,clean,both,True,정보 | 확률과 통계,"데이터 모델 분석 보고서 회귀 모델, 군집 모델을 구현하고 연관 분석을 수행하여 분석 결과를 해석",자료 분석 | 데이터 | 모델,자료 분석 | 자료와 정보의 분석,자료와 정보의 분석,자료와 정보의 분석,,
assessment_task_4512bd6ebd,데이터 과학,데이터과학,I_or_other,textbook_concept_dictionary,clean,both,True,정보 | 확률과 통계,데이터 기반 문제 해결 사례 조사 및 발표하기 데이터로 인한 사회 변화 인식 및 진로 연계 데이터 기반 문제 해결 사례를 조사하고 발표하기,문제 해결 | 사회 변화 | 데이터,문제 해결 | 자료와 정보의 분석,자료와 정보의 분석,자료와 정보의 분석,,
assessment_task_50208fa34a,데이터 과학,데이터 과학,I_or_other,textbook_concept_dictionary,clean,both,True,확률과 통계 | 정보,"데이터 수집 및 전처리, 시각화 단원: 데이터 과학 전체 단원 / 평가요소: ∙ 데이터를 편향되지 않게 수집하고, 특성을 분석할 수 있다. ∙ 이상치와 결측치 탐색 및 정규화를 통해 데이터를 전처리할 수 있다. ∙ 분석 목적과 자료형에 맞게 데이터를 시각화할 수 있다. / 평가 시기: 6월",데이터 | 시각화 | 자료형 | 탐색 | 편향,시각화 | 탐색 | 자료와 정보의 분석,자료와 정보의 분석,자료와 정보의 분석,,
