subject,task_title,matched_terms,concept_name,generated_title,correct
공통수학1,문항 타당도 분석 발표,항등식의 성질 | 나머지정리 | 인수분해 | 나머지 | 다항식 | 항등식 | 인수,나머지정리와 인수분해,문항 타당도 분석 발표의 조건별 변화를 항등식의 성질·나머지정리와 인수분해로 해석하고 결과의 신뢰도와 한계를 분석,
공통수학1,문제제기 기반 문항 개발,항등식의 성질 | 나머지정리 | 인수분해 | 나머지 | 다항식 | 항등식 | 인수,나머지정리와 인수분해,문제제기 기반 문항 개발의 조건별 변화를 항등식의 성질·나머지정리와 인수분해로 해석하고 결과의 신뢰도와 한계를 분석,
공통수학1,수학 문헌을 통한 수학 이론의 탐색과 분석,경우의 수 | 다항식 | 부등식 | 행렬,"경우의 수, 순열, 조합","수학 문헌을 통한 수학 이론의 탐색과 분석의 자료·조건 변화를 행렬·경우의 수·경우의 수, 순열, 조합으로 해석하고 판단 기준을 분석",
공통수학1,"방정식과 부등식, 경우의 수를 활용한 독서 탐구 보고서 작성하기",경우의 수 | 부등식,"경우의 수, 순열, 조합","방정식과 부등식, 경우의 수를 활용한 독서 탐구 보고서 작성하기의 조건 재구성과 풀이 비교: 경우의 수·경우의 수, 순열, 조합을 중심으로",
공통수학1,경우의 수와 행렬과 관련된 자료를 조사하여 실생활 패턴과 응용 분야 탐구하기,경우의 수 | 행렬,"경우의 수, 순열, 조합","경우의 수와 행렬과 관련된 자료를 조사하여 실생활 패턴과 응용 분야 탐구하기의 자료·조건 변화를 행렬·경우의 수·경우의 수, 순열, 조합으로 해석하고 판단 기준을 분석",
공통수학1,개념 이해 및 문제해결과정 서논술형 평가,경우의 수 | 다항식 | 부등식 | 항등식 | 행렬,"경우의 수, 순열, 조합","개념 이해 및 문제해결과정 서논술형 평가을 행렬·경우의 수·경우의 수, 순열, 조합으로 설명하고 적용 조건과 개선 방향을 분석",
공통수학1,정식의 근의공식 구조 탐구,근과 계수의 관계 | 삼차방정식 | 근과 계수 | 다항식 | 계수 | 조합 | 차수,다항식의 연산,정식의 근의공식 구조 탐구의 자료·조건 변화를 계수·차수·다항식의 연산으로 해석하고 판단 기준을 분석,
공통수학1,부등식과 경우의 수 단원의 원리 탐구 및 발표하기,경우의 수 | 부등식 | 순열 | 조합,"경우의 수, 순열, 조합","부등식과 경우의 수 단원의 원리 탐구 및 발표하기을 경우의 수·경우의 수, 순열, 조합으로 설명하고 적용 조건과 개선 방향을 분석",
공통수학1,공학적 도구를 활용한 수학 카드뉴스 제작,부등식,여러 가지 방정식과 부등식,공학적 도구를 활용한 수학 카드뉴스 제작을 여러 가지 방정식과 부등식으로 설명하고 적용 조건과 개선 방향을 분석,
공통수학1,모둠 프로젝트 : 방정식과 부등식 모둠 주제 탐구 활동,부등식,여러 가지 방정식과 부등식,모둠 프로젝트 : 방정식과 부등식 모둠 주제 탐구 활동의 조건별 변화를 여러 가지 방정식과 부등식으로 해석하고 결과의 신뢰도와 한계를 분석,
공통수학2,문제제기 기반 문항 개발,점과 직선 사이의 거리 | 선분의 내분 | 원의 방정식 | 내분점 | 거리 | 내분 | 논리 | 수직,평면좌표와 직선의 방정식,문제제기 기반 문항 개발의 조건별 변화를 점과 직선 사이의 거리·선분의 내분·평면좌표와 직선의 방정식으로 해석하고 결과의 신뢰도와 한계를 분석,
공통수학2,문제해결과정평가,논리,,문제해결과정평가을 논리로 설명하고 적용 조건과 개선 방향을 분석,
공통수학2,도형의 이동의 원리를 알아보고 평행이동과 대칭이동에 관련된 자료를 조사하여 실생활 패턴과 응용 분야 탐구,도형의 이동 | 대칭이동 | 평행이동 | 대칭 | 이동 | 패턴 | 평행,도형의 이동,도형의 이동의 원리를 알아보고 평행이동과 대칭이동에 관련된 자료를 조사하여 실생활 패턴과 응용 분야 탐구의 자료·조건 변화를 대칭이동·평행이동·도형의 이동으로 해석하고 판단 기준을 분석,
공통수학2,정식 수업 콘텐츠 제작,원의 방정식 | 논리 | 직선 | 포함,원의 방정식,정식 수업 콘텐츠 제작의 자료·조건 변화를 원의 방정식으로 해석하고 판단 기준을 분석,
공통수학2,명제의 증명 기법으로 풀어보는 생활 속 문제해결 연구하기,논리 | 명제 | 증명 | 함수,명제,명제의 증명 기법으로 풀어보는 생활 속 문제해결 연구하기의 조건 재구성과 풀이 비교: 논리·증명·함수을 중심으로,
공통수학2,AI와 함께하는 지적탐구,논리,,AI와 함께하는 지적탐구의 자료·조건 변화를 논리로 해석하고 판단 기준을 분석,
공통수학2,수학적 모델링 프로젝트,논리 | 모델링,,수학적 모델링 프로젝트의 자료·조건 변화를 논리·모델링으로 해석하고 판단 기준을 분석,
공통수학2,이해하고 실생활 탐구하기 명제와 조건을 설멸하고 실생활 탐구하기,명제,,이해하고 실생활 탐구하기 명제와 조건을 설멸하고 실생활 탐구하기의 조건 재구성과 풀이 비교: 명제을 중심으로,
공통수학2,수학과제탐구,포함 관계 | 귀류법 | 논리 | 대우 | 명제 | 증명 | 집합 | 포함,명제,수학과제탐구의 조건별 변화를 귀류법·논리·명제로 해석하고 결과의 신뢰도와 한계를 분석,
공통수학2,핵심 질문 논술,논리,,핵심 질문 논술을 논리로 설명하고 적용 조건과 개선 방향을 분석,
공통수학2,자기주도적 수학성장노트,논리,,자기주도적 수학성장노트의 조건 재구성과 풀이 비교: 논리을 중심으로,
공통수학2,구하기 원의 방정식을 설명하고 실생활 탐구하기 제시된 원의 방정식을 설명하고 좌표평면 위에 그리기,원의 방정식 | 좌표평면 | 평행이동 | 이동 | 좌표 | 평행,평면좌표와 직선의 방정식,구하기 원의 방정식을 설명하고 실생활 탐구하기 제시된 원의 방정식을 설명하고 좌표평면 위에 그리기의 조건 재구성과 풀이 비교: 좌표평면·평행·평면좌표와 직선의 방정식을 중심으로,
공통수학2,함수의 관점으로 분석하는 생활 속 패턴 및 응용 분야 탐구하기,논리 | 명제 | 직선 | 집합 | 패턴 | 함수 | 모델링,명제,함수의 관점으로 분석하는 생활 속 패턴 및 응용 분야 탐구하기의 조건 재구성과 풀이 비교: 논리·함수·모델링을 중심으로,
공통수학2,한 증명 적용하기,귀류법 | 결론 | 논리 | 대우 | 명제 | 증명 | 집합,명제,한 증명 적용하기을 귀류법·결론·명제로 설명하고 적용 조건과 개선 방향을 분석,
공통수학2,문항 타당도 분석 발표,점과 직선 사이의 거리 | 선분의 내분 | 원의 방정식 | 내분점 | 거리 | 내분 | 논리 | 수직,평면좌표와 직선의 방정식,문항 타당도 분석 발표의 조건별 변화를 점과 직선 사이의 거리·선분의 내분·평면좌표와 직선의 방정식으로 해석하고 결과의 신뢰도와 한계를 분석,
공통수학2,함수와 그래프 문제만들기,논리 | 함수,,함수와 그래프 문제만들기의 자료·조건 변화를 논리·함수로 해석하고 판단 기준을 분석,
공통수학2,함수 구분하고 그래프 그리기,무리함수 그래프 | 유리함수 그래프 | 무리함수 | 유리함수 | 점근선 | 함수,유리함수와 무리함수,함수 구분하고 그래프 그리기을 무리함수 그래프·유리함수 그래프·유리함수와 무리함수로 설명하고 적용 조건과 개선 방향을 분석,
공통수학2,심화 개념 탐구보고서,논리,,심화 개념 탐구보고서의 조건 재구성과 풀이 비교: 논리을 중심으로,
과학과제 연구,연구 계획서,탐구 설계,가설 설정과 탐구 설계,연구 계획서을 가설 설정과 탐구 설계로 설명하고 적용 조건과 개선 방향을 분석,
과학과제 연구,연구 활동 이해 및 수행 능력,자료 해석 | 정확성 | 해석,자료 수집·분석·결론 도출,연구 활동 이해 및 수행 능력의 조건별 변화를 해석·자료 수집·분석·결론 도출로 해석하고 결과의 신뢰도와 한계를 분석,
과학과제 연구,나만의 과학 연구 프로젝트 설계,참고 문헌,탐구 보고서 작성,나만의 과학 연구 프로젝트 설계의 조건 재구성과 풀이 비교: 참고 문헌·탐구 보고서 작성을 중심으로,
과학과제 연구,중간 발표,탐구 설계,가설 설정과 탐구 설계,중간 발표을 가설 설정과 탐구 설계로 설명하고 적용 조건과 개선 방향을 분석,
과학과제 연구,논문 작성법 탐구,참고 문헌,탐구 보고서 작성,논문 작성법 탐구의 조건별 변화를 참고 문헌·탐구 보고서 작성으로 해석하고 결과의 신뢰도와 한계를 분석,
과학과제 연구,주제별 연구 논문 비교 분석 세미나,데이터 | 해석,자료 수집·분석·결론 도출,주제별 연구 논문 비교 분석 세미나의 자료·조건 변화를 해석·자료 수집·분석·결론 도출로 해석하고 판단 기준을 분석,
과학과제 연구,최종 발표,탐구 설계,가설 설정과 탐구 설계,최종 발표을 가설 설정과 탐구 설계로 설명하고 적용 조건과 개선 방향을 분석,
과학과제 연구,연구 설계 및 계획서,문제 해결 | 연구 윤리 | 결론 | 변인 | 해석,자료 수집·분석·결론 도출,연구 설계 및 계획서의 조건별 변화를 해석·자료 수집·분석·결론 도출로 해석하고 결과의 신뢰도와 한계를 분석,
과학과제 연구,연구 수행 및 결과 보고서,과학적 근거 | 문제 해결 | 연구 윤리 | 가설 | 결론 | 변인 | 해석,가설 설정과 탐구 설계,연구 수행 및 결과 보고서의 조건별 변화를 변인·가설 설정과 탐구 설계로 해석하고 결과의 신뢰도와 한계를 분석,
과학과제 연구,연구 결과 발표,탐구 방법 | 협력,,연구 결과 발표의 조건별 변화를 탐구 방법·협력으로 해석하고 결과의 신뢰도와 한계를 분석,
과학과제 연구,연구 보고서,정확성 | 표준 | 해석,과학의 단위 및 도량형의 역사 추적하기,연구 보고서의 조건별 변화를 정확성·표준·과학의 단위 및 도량형의 역사 추적하기로 해석하고 결과의 신뢰도와 한계를 분석,
과학과제 연구,보고서,탐구 설계,가설 설정과 탐구 설계,보고서을 가설 설정과 탐구 설계로 설명하고 적용 조건과 개선 방향을 분석,
과학과제 연구,발표 및 성찰 보고서,가설 | 결론,,발표 및 성찰 보고서의 자료·조건 변화를 가설·결론으로 해석하고 판단 기준을 분석,
과학과제 연구,과학적 탐구 및 상호작용,탐구 설계,가설 설정과 탐구 설계,과학적 탐구 및 상호작용을 가설 설정과 탐구 설계로 설명하고 적용 조건과 개선 방향을 분석,
과학과제 연구,연구 프로젝트 수행 및 결과 발표,데이터 수집 | 참고 문헌 | 데이터 | 해석,첨단 센서와 디지털 정보 탐구,연구 프로젝트 수행 및 결과 발표의 조건 재구성과 풀이 비교: 데이터 수집·첨단 센서와 디지털 정보 탐구을 중심으로,
과학탐구실험1,포트폴리오 평가,변인,가설 설정과 탐구 설계,포트폴리오 평가의 조건별 변화를 변인·가설 설정과 탐구 설계로 해석하고 결과의 신뢰도와 한계를 분석,
과학탐구실험1,뉴턴 프리즘 실험을 통한 빛의 분산 원리 탐구 및 결과 분석,탐구 절차 | 프리즘 | 뉴턴 | 분산 | 절차,손전등을 이용하여 뉴턴의 프리즘 실험 구현하기,뉴턴 프리즘 실험을 통한 빛의 분산 원리 탐구 및 결과 분석의 조건별 변화를 분산·손전등을 이용하여 뉴턴의 프리즘 실험 구현하기로 해석하고 결과의 신뢰도와 한계를 분석,
과학탐구실험1,한반도 기후 변화 추세 분석,기후 변화 | 사회 | 해석,자료 수집·분석·결론 도출,한반도 기후 변화 추세 분석의 조건 재구성과 풀이 비교: 해석·기후 변화·자료 수집·분석·결론 도출을 중심으로,
과학탐구실험1,실험평가,탐구 설계 | 해석,가설 설정과 탐구 설계,실험평가의 조건별 변화를 가설 설정과 탐구 설계로 해석하고 결과의 신뢰도와 한계를 분석,
과학탐구실험1,자유 낙하 운동(실험·실습),과학의 본성 | 결론 도출 | 낙하 운동 | 결론 | 해석 | 협력,자료 수집·분석·결론 도출,자유 낙하 운동(실험·실습)의 조건별 변화를 해석·자료 수집·분석·결론 도출로 해석하고 결과의 신뢰도와 한계를 분석,
과학탐구실험1,주기율표와 규칙성(실험·실습),과학의 본성 | 주기율표 | 규칙성 | 원소 | 협력,멘델레예프의 주기율표 만들기,주기율표와 규칙성(실험·실습)의 조건별 변화를 규칙성·원소·멘델레예프의 주기율표 만들기로 해석하고 결과의 신뢰도와 한계를 분석,
과학탐구실험1,자연사박물관에서 지구의 역사 알아보기,귀납적 탐구 | 탐구 방법,,자연사박물관에서 지구의 역사 알아보기의 자료·조건 변화를 귀납적 탐구·탐구 방법으로 해석하고 판단 기준을 분석,
과학탐구실험1,빛의 스펙트럼 관찰하기,해석,자료 수집·분석·결론 도출,빛의 스펙트럼 관찰하기의 조건별 변화를 해석·자료 수집·분석·결론 도출로 해석하고 결과의 신뢰도와 한계를 분석,
과학탐구실험1,개발하고 공연,과학 마술 | 시나리오 | 화학 반응 | 색 변화 | 지시약,화학 반응을 활용한 과학 마술 시나리오 개발 및 시연하기,개발하고 공연의 조건별 변화를 색 변화·지시약·화학 반응을 활용한 과학 마술 시나리오 개발 및 시연하기로 해석하고 결과의 신뢰도와 한계를 분석,
과학탐구실험1,포물선 운동 실험하기 질량이 다른 물체의 낙하 운동을 이해하고 대각선 위로 던진 물체의 포물선,질량이 다른 물체 | 낙하 운동 | 단위,갈릴레이의 경사면 실험과 낙하 운동,포물선 운동 실험하기 질량이 다른 물체의 낙하 운동을 이해하고 대각선 위로 던진 물체의 포물선의 조건별 변화를 질량이 다른 물체·갈릴레이의 경사면 실험과 낙하 운동으로 해석하고 결과의 신뢰도와 한계를 분석,
과학탐구실험1,화학(실험),정확성 | 변인 | 해석,가설 설정과 탐구 설계,화학(실험)의 조건별 변화를 변인·가설 설정과 탐구 설계로 해석하고 결과의 신뢰도와 한계를 분석,
과학탐구실험1,과학의 본성 탐구하기,과학의 본성 | 갈릴레이 | 과학사,우리 선조들의 과학 기술 발전 사례 찾기,과학의 본성 탐구하기의 조건별 변화를 과학의 본성·우리 선조들의 과학 기술 발전 사례 찾기로 해석하고 결과의 신뢰도와 한계를 분석,
과학탐구실험1,갈릴레이 경사면 실험을 통한 낙하 운동의 시간-거리 관계 탐구,경사면 실험 | 갈릴레이 | 낙하 운동 | 탐구 목적 | 경사면,갈릴레이의 경사면 실험과 낙하 운동,갈릴레이 경사면 실험을 통한 낙하 운동의 시간-거리 관계 탐구의 조건별 변화를 갈릴레이의 경사면 실험과 낙하 운동으로 해석하고 결과의 신뢰도와 한계를 분석,
과학탐구실험1,관측자료 기반 한반도 기후변화 경향성 탐구,관측 자료 | 기후 변화 | 탐구 목적 | 관측 | 해석,관측 자료(빅데이터)를 활용하여 한반도의 기후 변화 경향성 파악하기,관측자료 기반 한반도 기후변화 경향성 탐구의 조건별 변화를 기후 변화·관측 자료(빅데이터)를 활용하여 한반도의 기후 변화 경향성 파악하기로 해석하고 결과의 신뢰도와 한계를 분석,
과학탐구실험1,빛의 본질 탐구 활동 / 뉴턴의 결정적 실험 구현,뉴턴,,빛의 본질 탐구 활동 / 뉴턴의 결정적 실험 구현의 조건별 변화를 뉴턴으로 해석하고 결과의 신뢰도와 한계를 분석,
과학탐구실험1,데이터 기반의 과학적 자료 분석하기,해석,자료 수집·분석·결론 도출,데이터 기반의 과학적 자료 분석하기의 조건별 변화를 해석·자료 수집·분석·결론 도출로 해석하고 결과의 신뢰도와 한계를 분석,
과학탐구실험1,앙부일구 원리 탐구하기,앙부일구 | 변인 | 해석,가설 설정과 탐구 설계,앙부일구 원리 탐구하기의 조건별 변화를 변인·가설 설정과 탐구 설계로 해석하고 결과의 신뢰도와 한계를 분석,
과학탐구실험1,환경 변화 지표 해석을 통한 생물 반응 분석,관측 자료 | 관측 | 시연 | 해석,자료 수집·분석·결론 도출,환경 변화 지표 해석을 통한 생물 반응 분석의 조건별 변화를 해석·자료 수집·분석·결론 도출로 해석하고 결과의 신뢰도와 한계를 분석,
과학탐구실험1,물리(과학 글쓰기),정확성 | 변인 | 해석,가설 설정과 탐구 설계,물리(과학 글쓰기)의 조건별 변화를 변인·가설 설정과 탐구 설계로 해석하고 결과의 신뢰도와 한계를 분석,
과학탐구실험1,우리 주변에서 천연 항생물질 찾기,디스크 확산법 | 천연 항생물질 | 해석,우리 주변에서 천연 항생물질 찾기,우리 주변에서 천연 항생물질 찾기의 조건별 변화를 디스크 확산법·우리 주변에서 천연 항생물질 찾기로 해석하고 결과의 신뢰도와 한계를 분석,
과학탐구실험2,탐구 보고서,안전,,탐구 보고서의 조건별 변화를 안전으로 해석하고 결과의 신뢰도와 한계를 분석,
과학탐구실험2,탐구설계,안전,,탐구설계의 조건별 변화를 안전으로 해석하고 결과의 신뢰도와 한계를 분석,
과학탐구실험2,연구윤리의식 알아보기,연구 윤리 | 안전,우주 개발 사례 조사를 통해 과학 기술의 발전 방향 평가하기,연구윤리의식 알아보기의 조건별 변화를 연구 윤리·안전·우주 개발 사례 조사를 통해 과학 기술의 발전 방향 평가하기로 해석하고 결과의 신뢰도와 한계를 분석,
과학탐구실험2,생활 속 과학의 유용성 알아보기,과학의 유용성 | 유용성,,생활 속 과학의 유용성 알아보기의 조건별 변화를 과학의 유용성으로 해석하고 결과의 신뢰도와 한계를 분석,
과학탐구실험2,원리 알아보기 건축물에 적용된 내진설계에 대해 알아보고,내진 설계 | 구조물,내진 설계와 구조 안정성 탐구,원리 알아보기 건축물에 적용된 내진설계에 대해 알아보고의 조건별 변화를 내진 설계와 구조 안정성 탐구로 해석하고 결과의 신뢰도와 한계를 분석,
과학탐구실험2,탐구수행,안전,,탐구수행의 조건별 변화를 안전으로 해석하고 결과의 신뢰도와 한계를 분석,
과학탐구실험2,탐구노트,안전,,탐구노트의 조건별 변화를 안전으로 해석하고 결과의 신뢰도와 한계를 분석,
기하,독서 칼럼 쓰기,공간도형,,독서 칼럼 쓰기의 자료·조건 변화를 공간도형으로 해석하고 판단 기준을 분석,
기하,수학적 문제 해결,접선의 방정식 | 직선의 방정식 | 평면의 방정식 | 구의 방정식 | 벡터의 내적 | 삼수선 정리 | 위치벡터 | 이차곡선,이차곡선과 자취 해석,수학적 문제 해결을 쌍곡선·포물선·벡터로 설명하고 적용 조건과 개선 방향을 분석,
기하,이차곡선의 성질과 실생활에의 활용을 탐구하여 발표하기,이차곡선,,이차곡선의 성질과 실생활에의 활용을 탐구하여 발표하기의 조건 재구성과 풀이 비교: 이차곡선을 중심으로,
기하,작도를 통해 이차곡선의 특징과 정의를 이해하고 방정식 유도,이차곡선 | 쌍곡선 | 포물선 | 타원,이차곡선과 자취 해석,작도를 통해 이차곡선의 특징과 정의를 이해하고 방정식 유도의 조건 재구성과 풀이 비교: 쌍곡선·포물선·이차곡선과 자취 해석을 중심으로,
기하,진로 속 벡터 탐구,평면벡터 | 벡터 | 평면,평면벡터와 벡터의 연산,진로 속 벡터 탐구의 조건 재구성과 풀이 비교: 벡터·평면벡터와 벡터의 연산을 중심으로,
기하,학습과정 평가,벡터의 연산 | 공간도형 | 이차곡선 | 벡터 | 연산,평면벡터와 벡터의 연산,학습과정 평가의 조건별 변화를 벡터·평면벡터와 벡터의 연산으로 해석하고 결과의 신뢰도와 한계를 분석,
기하,이차곡선 탐구 활동,이차곡선,,이차곡선 탐구 활동을 이차곡선으로 설명하고 적용 조건과 개선 방향을 분석,
기하,이차곡선과 벡터의 문제해결(서・논술형),접선의 방정식 | 벡터의 덧셈 | 위치 관계 | 이차곡선 | 점의 좌표 | 축의 길이 | 꼭짓점 | 실수배,이차곡선과 자취 해석,이차곡선과 벡터의 문제해결(서・논술형)의 조건 재구성과 풀이 비교: 쌍곡선·점근선·벡터을 중심으로,
기하,기하 탐구 발표,공간도형 | 이차곡선 | 벡터,평면벡터와 벡터의 연산,기하 탐구 발표의 조건 재구성과 풀이 비교: 벡터·평면벡터와 벡터의 연산을 중심으로,
기하,평면벡터의 심화 응용 보고서 작성하기,평면벡터 | 벡터 | 평면,평면벡터와 벡터의 연산,평면벡터의 심화 응용 보고서 작성하기의 조건 재구성과 풀이 비교: 벡터·평면벡터와 벡터의 연산을 중심으로,
기하,"공학 도구를 활용한 포물선, 타원, 쌍곡선 작도",쌍곡선 | 포물선 | 타원,이차곡선과 자취 해석,"공학 도구를 활용한 포물선, 타원, 쌍곡선 작도의 조건별 변화를 쌍곡선·포물선·이차곡선과 자취 해석으로 해석하고 결과의 신뢰도와 한계를 분석",
기하,책으로 읽는 기하,공간 좌표 | 공간도형 | 이차곡선 | 포물선 | 좌표,이차곡선과 자취 해석,책으로 읽는 기하의 조건 재구성과 풀이 비교: 포물선·이차곡선과 자취 해석을 중심으로,
기하,주변 현상 속 이차곡선의 대수적 탐구 및 모델링,접선의 방정식 | 이차곡선 | 접선 | 모델링,이차곡선의 접선의 방정식,주변 현상 속 이차곡선의 대수적 탐구 및 모델링의 조건 재구성과 풀이 비교: 모델링·이차곡선의 접선의 방정식을 중심으로,
기하,이차곡선으로 랜드마크 설계하고 탐구하기,이차곡선,,이차곡선으로 랜드마크 설계하고 탐구하기의 조건 재구성과 풀이 비교: 이차곡선을 중심으로,
기하,기하학적 원리에 대한 심화 탐색,이차곡선 | 포물선 | 타원,이차곡선과 자취 해석,기하학적 원리에 대한 심화 탐색의 조건 재구성과 풀이 비교: 포물선·타원·이차곡선과 자취 해석을 중심으로,
기하,이차곡선 에 대한 문항 제작 및 풀이하기,이차곡선 | 쌍곡선 | 포물선 | 타원,이차곡선과 자취 해석,이차곡선 에 대한 문항 제작 및 풀이하기의 조건 재구성과 풀이 비교: 쌍곡선·포물선·이차곡선과 자취 해석을 중심으로,
기하,수학일기 활동평가,벡터의 내적 | 이차곡선 | 포물선 | 내적 | 벡터,이차곡선과 자취 해석,수학일기 활동평가의 조건별 변화를 포물선·벡터·이차곡선과 자취 해석으로 해석하고 결과의 신뢰도와 한계를 분석,
기하,성찰노트 작성하기,중심,,성찰노트 작성하기을 중심으로 설명하고 적용 조건과 개선 방향을 분석,
기하,실제문제 설정과 기하학적 모델링 탐구 보고서 작성,평면의 방정식 | 거리 | 벡터 | 좌표 | 직선 | 평면 | 모델링,평면벡터와 벡터의 연산,실제문제 설정과 기하학적 모델링 탐구 보고서 작성의 조건 재구성과 풀이 비교: 좌표·벡터·모델링을 중심으로,
기하,벡터 에 대한 문항 제작 및 풀이하기,구의 방정식 | 벡터의 내적 | 벡터의 덧셈 | 벡터의 성분 | 벡터의 연산 | 위치벡터 | 평면벡터 | 실수배,평면벡터와 벡터의 연산,벡터 에 대한 문항 제작 및 풀이하기의 조건 재구성과 풀이 비교: 벡터의 덧셈·위치벡터·평면벡터와 벡터의 연산을 중심으로,
대수,문제해결과정 서술하기 2,등비수열 | 등차수열 | 일반항 | 수열 | 지수 | 함수,등차수열과 등비수열,문제해결과정 서술하기 2의 조건 재구성과 풀이 비교: 일반항·함수·수열을 중심으로,
대수,지수로그 오류 수정 및 삼각함수 문항 재구성 논술하기,로그함수 | 지수함수 | 로그 | 지수 | 함수,로그함수의 뜻과 그래프,지수로그 오류 수정 및 삼각함수 문항 재구성 논술하기의 조건 재구성과 풀이 비교: 함수·로그함수의 뜻과 그래프을 중심으로,
대수,대수 심화 탐구 프로젝트,로그함수 | 지수함수 | 로그 | 수열 | 지수 | 함수,로그함수의 뜻과 그래프,대수 심화 탐구 프로젝트의 자료·조건 변화를 함수·수열·로그함수의 뜻과 그래프로 해석하고 판단 기준을 분석,
대수,대수적 데이터 패턴 분석,패턴,,대수적 데이터 패턴 분석의 조건 재구성과 풀이 비교: 패턴을 중심으로,
대수,지수ㆍ로그ㆍ삼각함수 문제해결 스토리보드 작성,로그 | 지수 | 함수,로그의 뜻과 성질,지수ㆍ로그ㆍ삼각함수 문제해결 스토리보드 작성의 조건 재구성과 풀이 비교: 함수·로그의 뜻과 성질을 중심으로,
대수,포트폴리오 : 수업 중 작성한 활동지의 완성도 평가,로그함수 | 지수함수 | 로그 | 수열 | 지수 | 함수,로그함수의 뜻과 그래프,포트폴리오 : 수업 중 작성한 활동지의 완성도 평가의 자료·조건 변화를 함수·수열·로그함수의 뜻과 그래프로 해석하고 판단 기준을 분석,
대수,문제해결과정 서술하기 1,거듭제곱과 거듭제곱근 | 로그의 뜻과 성질 | 거듭제곱근 | 거듭제곱 | 로그함수 | 상용로그 | 지수법칙 | 지수함수,거듭제곱과 거듭제곱근,문제해결과정 서술하기 1의 조건 재구성과 풀이 비교: 지수·함수·거듭제곱과 거듭제곱근을 중심으로,
대수,핵심 문항 분석 및 조건 변형을 통한 수학적 모델 재구성,로그함수 | 지수함수 | 로그 | 수열 | 지수 | 함수,로그함수의 뜻과 그래프,핵심 문항 분석 및 조건 변형을 통한 수학적 모델 재구성의 조건별 변화를 함수·수열·로그함수의 뜻과 그래프로 해석하고 결과의 신뢰도와 한계를 분석,
대수,핵심 개념 기반의 서술형 문제 해결 및 풀이 과정의 논리 성 평가,로그함수 | 지수함수 | 로그 | 수열 | 지수 | 함수,로그함수의 뜻과 그래프,핵심 개념 기반의 서술형 문제 해결 및 풀이 과정의 논리 성 평가의 자료·조건 변화를 함수·수열·로그함수의 뜻과 그래프로 해석하고 판단 기준을 분석,
