task_id,subject,subject_raw,level,source,covered,evidence_class,evidence_class_legacy,evidence_scope,subject_concepts,matched_terms,concept_name,concept_display_name,title_overlap,comma_display,fallback_derived,fallback_sources
assessment_task_2cbad0ddb4,융합과학 탐구,융합과학 탐구,I_or_other,textbook_concept_dictionary,true,clean,clean,both,"[""데이터"",""단위""]","[""데이터"",""단위"",""시간""]",,데이터,false,false,true,"[""통합과학2"",""통합과학1""]"
assessment_task_5b5034ca5a,확률과 통계,확률과 통계,I_or_other,textbook_concept_dictionary,true,clean,clean,both,"[""순열과 조합""]","[""순열과 조합"",""이항정리"",""순열"",""조합""]",순열과 조합,순열과 조합,false,false,false,[]
assessment_task_849f8a2f1e,확률과 통계,확률과 통계,I_or_other,subject_fallback,false,fallback,fallback,none,"[""확률과 통계""]",[],,,false,false,false,[]
assessment_task_d2ae98918e,확률과 통계,확률과 통계,I_or_other,textbook_plus_legacy,true,clean,clean,both,"[""사건"",""조건부확률"",""확률의 뜻과 기본 성질""]","[""조건부확률"",""덧셈정리"",""여사건"",""사건"",""확률""]",확률의 뜻과 기본 성질,확률의 뜻과 기본 성질,false,false,false,[]
assessment_task_20747a8c36,물리,물리학Ⅱ,II,subject_fallback,false,fallback,fallback,none,"[""물리""]",[],,,false,false,false,[]
assessment_task_e85d7ad12f,물리,물리학Ⅱ,II,textbook_concept_dictionary,true,record_only,record_only,record,"[""전기력"",""전하"",""물질의 전기적 특성""]","[""전기력"",""전하""]",물질의 전기적 특성,물질의 전기적 특성,false,false,false,[]
assessment_task_84f975491d,물리,물리학Ⅱ,II,textbook_concept_dictionary,true,clean,clean,both,"[""뉴턴 운동 법칙"",""힘과 운동""]","[""뉴턴 운동 법칙""]",힘과 운동,힘과 운동,false,false,false,[]
assessment_task_f95ce54765,화학,화학Ⅱ,II,legacy_dictionary,true,clean,clean,both,"[""화학 평형""]","[""화학 평형""]",,,false,false,false,[]
assessment_task_6e818cd72e,화학,화학Ⅱ,II,textbook_concept_dictionary,true,record_only,record_only,record,"[""몰 농도""]","[""몰 농도""]",,몰 농도,false,false,false,[]
assessment_task_470fc6180d,생명과학,생명과학Ⅱ,II,subject_fallback,false,fallback,fallback,none,"[""생명과학""]",[],,,false,false,false,[]
assessment_task_0c614c69e3,생명과학,생명과학Ⅱ,II,textbook_plus_legacy,true,clean,clean,both,"[""반응 속도"",""효소""]","[""반응 속도"",""효소""]",,반응 속도,false,false,false,[]
assessment_task_e3032a8201,지구과학,지구과학Ⅱ,II,subject_fallback,false,fallback,fallback,none,"[""지구과학""]",[],,,false,false,false,[]
assessment_task_d477f146f3,지구과학,지구과학Ⅱ,II,textbook_concept_dictionary,true,clean,clean,both,"[""태양계 천체의 관측과 운동""]","[""관측""]",태양계 천체의 관측과 운동,태양계 천체의 관측과 운동,false,false,false,[]
assessment_task_706ef52938,정보,정보,I_or_other,textbook_plus_legacy,true,clean,clean,both,"[""알고리즘""]","[""알고리즘""]",알고리즘 설계와 분석,알고리즘 설계와 분석,false,false,false,[]
assessment_task_5f831eadb0,정보,정보,I_or_other,textbook_concept_dictionary,true,clean,clean,both,"[""인공지능""]","[""인공지능""]",,인공지능,false,false,false,[]
assessment_task_7c48213633,정보,정보,I_or_other,textbook_concept_dictionary,true,clean,clean,both,"[""컴퓨팅 시스템과 네트워크""]","[""컴퓨팅 시스템"",""디지털""]",컴퓨팅 시스템과 네트워크,컴퓨팅 시스템과 네트워크,false,false,false,[]
assessment_task_316cc9219a,미적분1,미적분 II,I_or_other,textbook_plus_legacy,true,record_only,record_only,record,"[""수열"",""적분"",""극한""]","[""수열의 극한"",""극한"",""수열"",""적분""]",수열의 극한,수열의 극한,false,false,false,[]
assessment_task_3b7cbca4ce,미적분1,미적분 II,I_or_other,subject_fallback,false,fallback,fallback,none,"[""미적분1""]",[],,,false,false,false,[]
assessment_task_02976934c0,물리,고급 물리학,I_or_other,subject_fallback,false,fallback,fallback,none,"[""물리""]",[],,,false,false,false,[]
assessment_task_25802fcc74,물리,고급 물리학,I_or_other,subject_fallback,false,fallback,fallback,none,"[""물리""]",[],,,false,false,false,[]
assessment_task_58a5f97636,물리,고급 물리학,I_or_other,subject_fallback,false,fallback,fallback,none,"[""물리""]",[],,,false,false,false,[]
assessment_task_382d1ee38d,물리,고급 물리학,I_or_other,subject_fallback,false,fallback,fallback,none,"[""물리""]",[],,,false,false,false,[]
assessment_task_dba144ac30,화학,고급 화학,I_or_other,textbook_concept_dictionary,true,clean,clean,both,"[""원자의 구조""]","[""원자의 구조""]",원자의 구조,원자의 구조,false,false,false,[]
assessment_task_129970ac65,화학,고급 화학,I_or_other,legacy_dictionary,true,record_only,record_only,record,"[""반응 속도""]","[""반응 속도""]",,,false,false,false,[]
assessment_task_25741bd545,화학,고급 화학,I_or_other,legacy_dictionary,true,clean,clean,both,"[""반응 속도""]","[""반응 속도""]",,,false,false,false,[]
assessment_task_72a996daa0,생명과학,고급 생명과학,I_or_other,textbook_concept_dictionary,true,clean,clean,both,"[""광합성""]","[""광합성""]",,광합성,false,false,false,[]
assessment_task_d01f9f4467,생명과학,고급 생명과학,I_or_other,textbook_plus_legacy,true,record_only,record_only,record,"[""유전""]","[""유전자"",""유전""]",유전자와 염색체,유전자와 염색체,false,false,false,[]
assessment_task_fe9a542450,생명과학,고급 생명과학,I_or_other,textbook_concept_dictionary,true,clean,clean,both,"[""호르몬"",""신경계와 항상성""]","[""호르몬""]",신경계와 항상성,신경계와 항상성,false,false,false,[]
assessment_task_74920ae1ec,지구과학,고급 지구과학,I_or_other,subject_fallback,false,fallback,fallback,none,"[""지구과학""]",[],,,false,false,false,[]
assessment_task_ee93f58321,지구과학,고급 지구과학,I_or_other,textbook_concept_dictionary,true,clean,clean,both,"[""운동""]","[""운동""]",,운동,false,false,false,[]
assessment_task_f918de4fa5,미적분1,AP 미적분학 I,I_or_other,subject_fallback,false,fallback,fallback,none,"[""미적분1""]",[],,,false,false,false,[]
assessment_task_0eb78f0a87,미적분1,AP 미적분학 I,I_or_other,textbook_plus_legacy,true,clean,clean,both,"[""적분""]","[""적분""]",,적분,false,false,false,[]
assessment_task_39f7248629,물리,AP 일반물리학 I,I_or_other,textbook_plus_legacy,true,clean,clean,both,"[""운동량 보존"",""힘과 운동""]","[""운동량 보존"",""운동량""]",힘과 운동,힘과 운동,false,false,false,[]
assessment_task_e29d879be1,물리,AP 일반물리학 I,I_or_other,textbook_concept_dictionary,true,record_only,record_only,record,"[""전하"",""물질의 전기적 특성""]","[""전하""]",물질의 전기적 특성,물질의 전기적 특성,false,false,false,[]
assessment_task_838f8c2668,물리,AP 일반물리학 I,I_or_other,subject_fallback,false,fallback,fallback,none,"[""물리""]",[],,,false,false,false,[]
assessment_task_c95fa85ea6,화학,AP 일반화학 I,I_or_other,subject_fallback,false,fallback,fallback,none,"[""화학""]",[],,,false,false,false,[]
assessment_task_55e9924ff5,화학,AP 일반화학 I,I_or_other,subject_fallback,false,fallback,fallback,none,"[""화학""]",[],,,false,false,false,[]
assessment_task_b61779fa95,정보,정보과학,I_or_other,textbook_plus_legacy,true,clean,clean,both,"[""알고리즘""]","[""알고리즘""]",알고리즘 설계와 분석,알고리즘 설계와 분석,false,false,false,[]
assessment_task_4d88e3ed44,정보,정보과학,I_or_other,textbook_plus_legacy,true,clean,clean,both,"[""알고리즘""]","[""알고리즘""]",알고리즘 설계와 분석,알고리즘 설계와 분석,false,false,false,[]
assessment_task_a894cab453,정보,정보과학,I_or_other,textbook_plus_legacy,true,clean,clean,both,"[""수행 시간"",""알고리즘""]","[""수행 시간"",""알고리즘"",""정보 과학""]",알고리즘 설계와 분석,알고리즘 설계와 분석,false,false,false,[]
assessment_task_384111888f,물리,프로젝트기반연구Ⅱ-센서 기반 라디오 존데 시스템 설계 및 대기 물리 데이터 수집,II,subject_fallback,false,fallback,fallback,none,"[""물리""]",[],,,false,false,false,[]
assessment_task_ca2abc561b,물리,프로젝트기반연구Ⅱ-센서 기반 라디오 존데 시스템 설계 및 대기 물리 데이터 수집,II,subject_fallback,false,fallback,fallback,none,"[""물리""]",[],,,false,false,false,[]
assessment_task_090b0c07a3,물리,프로젝트기반연구Ⅱ-센서 기반 라디오 존데 시스템 설계 및 대기 물리 데이터 수집,II,subject_fallback,false,fallback,fallback,none,"[""물리""]",[],,,false,false,false,[]
assessment_task_059cee343d,물리,고급물리학Ⅱ,II,subject_fallback,false,fallback,fallback,none,"[""물리""]",[],,,false,false,false,[]
assessment_task_a75d000438,물리,고급물리학Ⅱ,II,subject_fallback,false,fallback,fallback,none,"[""물리""]",[],,,false,false,false,[]
assessment_task_3a6123c756,물리,고급물리학Ⅱ,II,subject_fallback,false,fallback,fallback,none,"[""물리""]",[],,,false,false,false,[]
assessment_task_fb7868e561,물리,물리기반 융합세미나Ⅰ,I_or_other,subject_fallback,false,fallback,fallback,none,"[""물리""]",[],,,false,false,false,[]
assessment_task_56ccafd3b6,물리,물리기반 융합세미나Ⅰ,I_or_other,subject_fallback,false,fallback,fallback,none,"[""물리""]",[],,,false,false,false,[]
assessment_task_e5b8cc0d24,물리,물리기반 융합세미나Ⅰ,I_or_other,subject_fallback,false,fallback,fallback,none,"[""물리""]",[],,,false,false,false,[]
assessment_task_3ab2a14bfc,물리,물리 첨단기기활용법,I_or_other,subject_fallback,false,fallback,fallback,none,"[""물리""]",[],,,false,false,false,[]
assessment_task_d286409718,물리,물리 첨단기기활용법,I_or_other,subject_fallback,false,fallback,fallback,none,"[""물리""]",[],,,false,false,false,[]
assessment_task_68c66c165f,물리,물리 첨단기기활용법,I_or_other,subject_fallback,false,fallback,fallback,none,"[""물리""]",[],,,false,false,false,[]
assessment_task_9bd2b84a0f,물리,물리학 및 실험 Ⅰ,I_or_other,subject_fallback,false,fallback,fallback,none,"[""물리""]",[],,,false,false,false,[]
assessment_task_2800de5a6d,물리,물리학 및 실험 Ⅰ,I_or_other,subject_fallback,false,fallback,fallback,none,"[""물리""]",[],,,false,false,false,[]
assessment_task_ff84c42886,물리,물리학 및 실험 Ⅰ,I_or_other,subject_fallback,false,fallback,fallback,none,"[""물리""]",[],,,false,false,false,[]
assessment_task_5d61ebb257,물리,물리학 및 실험 Ⅰ,I_or_other,subject_fallback,false,fallback,fallback,none,"[""물리""]",[],,,false,false,false,[]
assessment_task_69c4bbeba5,물리,물리학 및 실험Ⅲ,I_or_other,subject_fallback,false,fallback,fallback,none,"[""물리""]",[],,,false,false,false,[]
assessment_task_717de6c3ec,물리,물리학 및 실험Ⅲ,I_or_other,subject_fallback,false,fallback,fallback,none,"[""물리""]",[],,,false,false,false,[]
assessment_task_c964b55f46,물리,물리학 및 실험Ⅲ,I_or_other,subject_fallback,false,fallback,fallback,none,"[""물리""]",[],,,false,false,false,[]
assessment_task_c68c78dd63,물리,물리학 및 실험Ⅲ,I_or_other,subject_fallback,false,fallback,fallback,none,"[""물리""]",[],,,false,false,false,[]
assessment_task_8a895cd51d,물리,일반물리학Ⅱ,II,subject_fallback,false,fallback,fallback,none,"[""물리""]",[],,,false,false,false,[]
assessment_task_74073465f7,물리,일반물리학Ⅱ,II,subject_fallback,false,fallback,fallback,none,"[""물리""]",[],,,false,false,false,[]
assessment_task_021826abf8,물리,일반물리학Ⅱ,II,subject_fallback,false,fallback,fallback,none,"[""물리""]",[],,,false,false,false,[]
assessment_task_25c359e4b4,물리,일반물리학실험Ⅱ,II,subject_fallback,false,fallback,fallback,none,"[""물리""]",[],,,false,false,false,[]
assessment_task_d7a508ae03,물리,일반물리학실험Ⅱ,II,subject_fallback,false,fallback,fallback,none,"[""물리""]",[],,,false,false,false,[]
assessment_task_c50627e0a9,생명과학,생명과학 및 실험 Ⅰ,I_or_other,subject_fallback,false,fallback,fallback,none,"[""생명과학""]",[],,,false,false,false,[]
assessment_task_8a39597563,생명과학,생명과학 및 실험 Ⅰ,I_or_other,subject_fallback,false,fallback,fallback,none,"[""생명과학""]",[],,,false,false,false,[]
assessment_task_88cfcabfea,생명과학,생명과학 및 실험 Ⅲ,I_or_other,subject_fallback,false,fallback,fallback,none,"[""생명과학""]",[],,,false,false,false,[]
assessment_task_6108cfb6fb,생명과학,생명과학 및 실험 Ⅲ,I_or_other,subject_fallback,false,fallback,fallback,none,"[""생명과학""]",[],,,false,false,false,[]
assessment_task_df8094d9f9,생명과학,생명과학 첨단기기활용법,I_or_other,subject_fallback,false,fallback,fallback,none,"[""생명과학""]",[],,,false,false,false,[]
assessment_task_c0bbc28710,생명과학,생명과학 첨단기기활용법,I_or_other,subject_fallback,false,fallback,fallback,none,"[""생명과학""]",[],,,false,false,false,[]
assessment_task_399bcce62c,생명과학,생명과학 첨단기기활용법,I_or_other,subject_fallback,false,fallback,fallback,none,"[""생명과학""]",[],,,false,false,false,[]
assessment_task_e74d202462,생명과학,생명과학탐구실습,I_or_other,textbook_concept_dictionary,true,clean,clean,both,"[""분류"",""진화와 생물 다양성""]","[""분류""]",진화와 생물 다양성,진화와 생물 다양성,false,false,false,[]
assessment_task_ca471bafef,생명과학,생명과학탐구실습,I_or_other,subject_fallback,false,fallback,fallback,none,"[""생명과학""]",[],,,false,false,false,[]
assessment_task_6307d32905,생명과학,생명과학탐구실습,I_or_other,subject_fallback,false,fallback,fallback,none,"[""생명과학""]",[],,,false,false,false,[]
assessment_task_1d97510c9a,생명과학,생명과학탐구실습,I_or_other,subject_fallback,false,fallback,fallback,none,"[""생명과학""]",[],,,false,false,false,[]
assessment_task_4867a9c96f,생명과학,생명과학탐구실습,I_or_other,subject_fallback,false,fallback,fallback,none,"[""생명과학""]",[],,,false,false,false,[]
assessment_task_d5062f66d3,정보,생명정보학,I_or_other,subject_fallback,false,fallback,fallback,none,"[""정보""]",[],,,false,false,false,[]
assessment_task_3a490780df,정보,생명정보학,I_or_other,subject_fallback,false,fallback,fallback,none,"[""정보""]",[],,,false,false,false,[]
assessment_task_841b747928,정보,생명정보학,I_or_other,subject_fallback,false,fallback,fallback,none,"[""정보""]",[],,,false,false,false,[]
assessment_task_b2887d7f6d,정보,생명정보학,I_or_other,subject_fallback,false,fallback,fallback,none,"[""정보""]",[],,,false,false,false,[]
assessment_task_782e543950,생명과학,창발적 사고와 생명과학 문제해결Ⅰ,I_or_other,subject_fallback,false,fallback,fallback,none,"[""생명과학""]",[],,,false,false,false,[]
assessment_task_eb0d68ee50,생명과학,창발적 사고와 생명과학 문제해결Ⅰ,I_or_other,subject_fallback,false,fallback,fallback,none,"[""생명과학""]",[],,,false,false,false,[]
assessment_task_175fd48c7c,대수,선형대수학,I_or_other,subject_fallback,false,fallback,fallback,none,"[""대수""]",[],,,false,false,false,[]
assessment_task_fb810bf4a2,대수,선형대수학,I_or_other,subject_fallback,false,fallback,fallback,none,"[""대수""]",[],,,false,false,false,[]
assessment_task_18bf0c70b5,대수,선형대수학,I_or_other,subject_fallback,false,fallback,fallback,none,"[""대수""]",[],,,false,false,false,[]
assessment_task_4cb7d3ec07,대수,선형대수학,I_or_other,subject_fallback,false,fallback,fallback,none,"[""대수""]",[],,,false,false,false,[]
assessment_task_88846624e7,확률과 통계,확률과 통계,I_or_other,subject_fallback,false,fallback,fallback,none,"[""확률과 통계""]",[],,,false,false,false,[]
assessment_task_9d0c194b06,확률과 통계,확률과 통계,I_or_other,subject_fallback,false,fallback,fallback,none,"[""확률과 통계""]",[],,,false,false,false,[]
assessment_task_19389c824c,확률과 통계,확률과 통계,I_or_other,textbook_concept_dictionary,true,clean,clean,both,"[""확률의 뜻과 기본 성질""]","[""확률""]",확률의 뜻과 기본 성질,확률의 뜻과 기본 성질,false,false,false,[]
assessment_task_5866818570,확률과 통계,확률과 통계,I_or_other,subject_fallback,false,fallback,fallback,none,"[""확률과 통계""]",[],,,false,false,false,[]
assessment_task_a47e57594a,확률과 통계,확률과 통계,I_or_other,subject_fallback,false,fallback,fallback,none,"[""확률과 통계""]",[],,,false,false,false,[]
assessment_task_2edc39cbe3,정보,정보과학개론,I_or_other,textbook_concept_dictionary,true,clean,clean,both,"[""정보 과학"",""효율성""]","[""정보 과학"",""효율성""]",,정보 과학,false,false,false,[]
assessment_task_371d14699d,정보,정보과학개론,I_or_other,textbook_concept_dictionary,true,clean,clean,both,"[""정보 과학"",""효율성""]","[""정보 과학"",""효율성""]",,정보 과학,false,false,false,[]
assessment_task_1c63410462,정보,정보과학개론,I_or_other,textbook_concept_dictionary,true,clean,clean,both,"[""문제 해결"",""자료와 정보의 분석""]","[""문제 해결"",""정보 과학"",""효율성""]",자료와 정보의 분석,자료와 정보의 분석,false,false,false,[]
assessment_task_a09fdaf379,정보,정보과학개론,I_or_other,textbook_concept_dictionary,true,clean,clean,both,"[""문제 해결"",""자료와 정보의 분석""]","[""문제 해결"",""정보 과학"",""효율성""]",자료와 정보의 분석,자료와 정보의 분석,false,false,false,[]
assessment_task_00b18dc091,정보,정보과학프로젝트Ⅰ,I_or_other,textbook_concept_dictionary,true,clean,clean,both,"[""정보 과학"",""효율성""]","[""정보 과학"",""효율성""]",,정보 과학,false,false,false,[]
assessment_task_a67ad37a92,정보,정보과학프로젝트Ⅰ,I_or_other,textbook_concept_dictionary,true,clean,clean,both,"[""정보 과학"",""효율성""]","[""정보 과학"",""효율성""]",,정보 과학,false,false,false,[]
assessment_task_23b88157f6,정보,정보과학프로젝트Ⅰ,I_or_other,textbook_concept_dictionary,true,clean,clean,both,"[""정보 과학"",""효율성""]","[""정보 과학"",""효율성""]",,정보 과학,false,false,false,[]
assessment_task_fc951089e2,정보,정보과학프로젝트Ⅰ,I_or_other,textbook_concept_dictionary,true,clean,clean,both,"[""정보 과학"",""효율성""]","[""정보 과학"",""효율성""]",,정보 과학,false,false,false,[]
assessment_task_29100083d4,지구과학,지구과학 및 실험Ⅰ,I_or_other,textbook_concept_dictionary,true,clean,clean,both,"[""망원경""]","[""망원경""]",,망원경,false,false,false,[]
assessment_task_21f4931d24,지구과학,지구과학 및 실험Ⅰ,I_or_other,subject_fallback,false,fallback,fallback,none,"[""지구과학""]",[],,,false,false,false,[]
assessment_task_8fa889e3ce,지구과학,지구과학 및 실험Ⅰ,I_or_other,textbook_plus_legacy,true,clean,clean,both,"[""기후 변화""]","[""기후 변화"",""기후""]",,기후 변화,false,false,false,[]
assessment_task_85bd89894e,화학,일반화학Ⅱ,II,subject_fallback,false,fallback,fallback,none,"[""화학""]",[],,,false,false,false,[]
assessment_task_a955360a8a,화학,일반화학Ⅱ,II,subject_fallback,false,fallback,fallback,none,"[""화학""]",[],,,false,false,false,[]
assessment_task_bd7b04942d,화학,일반화학실험Ⅱ,II,subject_fallback,false,fallback,fallback,none,"[""화학""]",[],,,false,false,false,[]
assessment_task_0a1e43ba90,화학,일반화학실험Ⅱ,II,subject_fallback,false,fallback,fallback,none,"[""화학""]",[],,,false,false,false,[]
assessment_task_2b929a462c,화학,일반화학실험Ⅱ,II,subject_fallback,false,fallback,fallback,none,"[""화학""]",[],,,false,false,false,[]
assessment_task_00215eee40,화학,일반화학실험Ⅱ,II,subject_fallback,false,fallback,fallback,none,"[""화학""]",[],,,false,false,false,[]
assessment_task_6351a9a4fe,화학,일반화학실험Ⅱ,II,subject_fallback,false,fallback,fallback,none,"[""화학""]",[],,,false,false,false,[]
assessment_task_bc0153bb16,화학,화학 및 실험Ⅰ,I_or_other,subject_fallback,false,fallback,fallback,none,"[""화학""]",[],,,false,false,false,[]
assessment_task_5f66d9e339,화학,화학 및 실험Ⅰ,I_or_other,subject_fallback,false,fallback,fallback,none,"[""화학""]",[],,,false,false,false,[]
assessment_task_8d53a4ef39,화학,화학 및 실험Ⅰ,I_or_other,subject_fallback,false,fallback,fallback,none,"[""화학""]",[],,,false,false,false,[]
assessment_task_209765e44f,화학,화학 및 실험 Ⅲ,I_or_other,subject_fallback,false,fallback,fallback,none,"[""화학""]",[],,,false,false,false,[]
assessment_task_e09fef3889,화학,화학 및 실험 Ⅲ,I_or_other,subject_fallback,false,fallback,fallback,none,"[""화학""]",[],,,false,false,false,[]
assessment_task_2d6b47e6a0,화학,화학 및 실험 Ⅲ,I_or_other,subject_fallback,false,fallback,fallback,none,"[""화학""]",[],,,false,false,false,[]
