item_id,source_question_no,source_page,solution_page,source_type_label,primary_problem_type_id,canonical_type_name,answer_key,accuracy,difficulty,representation_type,requires_visual_reading,mapping_confidence,cross_set_group
M3_QFUNC_150_S10_Q016,016,4,44,이차함수 y=ax²의 그래프의 성질,M3_QFUNC_PT016,y=ax²의 그래프 기본형 - 조건 종합,choice:4,84,advanced,symbolic_or_verbal,False,0.92,M3_QFUNC_PT016::M3_QFUNC_CROSS_SET
M3_QFUNC_150_S10_Q017,017,5,44,이차함수 y=ax²의 그래프의 성질,M3_QFUNC_PT016,y=ax²의 그래프 기본형 - 조건 종합,choice:5,82,advanced,symbolic_or_verbal,False,0.92,M3_QFUNC_PT016::M3_QFUNC_CROSS_SET
M3_QFUNC_150_S10_Q018,018,5,44,이차함수 y=ax²의 그래프의 성질,M3_QFUNC_PT016,y=ax²의 그래프 기본형 - 조건 종합,choice:1,71,advanced,symbolic_or_verbal,False,0.92,M3_QFUNC_PT016::M3_QFUNC_CROSS_SET
M3_QFUNC_150_S10_Q019,019,5,44,이차함수 y=ax²의 그래프의 성질,M3_QFUNC_PT016,y=ax²의 그래프 기본형 - 조건 종합,choice:5,85,advanced,symbolic_or_verbal,False,0.92,M3_QFUNC_PT016::M3_QFUNC_CROSS_SET
M3_QFUNC_150_S10_Q020,020,5,44,이차함수 y=ax²의 그래프가 지나는 점,M3_QFUNC_PT031,y=ax²의 식 구하기 - 그래프 해석,choice:1,86,standard,symbolic_or_verbal,False,0.92,M3_QFUNC_PT031::M3_QFUNC_CROSS_SET
M3_QFUNC_150_S10_Q021,021,6,44,이차함수 y=ax²의 그래프가 지나는 점,M3_QFUNC_PT031,y=ax²의 식 구하기 - 그래프 해석,value:2,86,standard,graph_or_geometry_diagram,True,0.92,M3_QFUNC_PT031::M3_QFUNC_CROSS_SET
M3_QFUNC_150_S10_Q022,022,6,44,이차함수 y=ax²의 그래프가 지나는 점,M3_QFUNC_PT031,y=ax²의 식 구하기 - 그래프 해석,value:-1/4,78,standard,symbolic_or_verbal,False,0.92,M3_QFUNC_PT031::M3_QFUNC_CROSS_SET
M3_QFUNC_150_S10_Q023,023,6,44,이차함수 y=ax²의 그래프가 지나는 점,M3_QFUNC_PT031,y=ax²의 식 구하기 - 그래프 해석,value:3,81,standard,graph_or_geometry_diagram,True,0.92,M3_QFUNC_PT031::M3_QFUNC_CROSS_SET
M3_QFUNC_150_S10_Q024,024,6,45,이차함수 y=ax²의 그래프가 지나는 점,M3_QFUNC_PT175,이차함수 고난도 종합 - 계산 수행,choice:3,68,advanced,graph_or_geometry_diagram,True,0.92,M3_QFUNC_PT175::M3_QFUNC_CROSS_SET
M3_QFUNC_150_S10_Q025,025,7,45,이차함수 y=ax²의 그래프가 지나는 점,M3_QFUNC_PT175,이차함수 고난도 종합 - 계산 수행,choice:3,76,advanced,graph_or_geometry_diagram,True,0.92,M3_QFUNC_PT175::M3_QFUNC_CROSS_SET
M3_QFUNC_150_S10_Q026,026,7,45,이차함수 y=ax²의 그래프가 지나는 점,M3_QFUNC_PT175,이차함수 고난도 종합 - 계산 수행,value:3/2,59,advanced,graph_or_geometry_diagram,True,0.92,M3_QFUNC_PT175::M3_QFUNC_CROSS_SET
M3_QFUNC_150_S10_Q027,027,7,45,이차함수 y=ax²의 그래프가 지나는 점,M3_QFUNC_PT175,이차함수 고난도 종합 - 계산 수행,value:5/4,55,advanced,graph_or_geometry_diagram,True,0.92,M3_QFUNC_PT175::M3_QFUNC_CROSS_SET
M3_QFUNC_150_S10_Q028,028,7,46,이차함수 y=ax²의 그래프가 지나는 점,M3_QFUNC_PT175,이차함수 고난도 종합 - 계산 수행,choice:4,54,advanced,graph_or_geometry_diagram,True,0.92,M3_QFUNC_PT175::M3_QFUNC_CROSS_SET
M3_QFUNC_150_S10_Q029,029,8,46,이차함수 y=ax²의 그래프가 지나는 점,M3_QFUNC_PT175,이차함수 고난도 종합 - 계산 수행,value:400/9,50,advanced,graph_or_geometry_diagram,True,0.92,M3_QFUNC_PT175::M3_QFUNC_CROSS_SET
M3_QFUNC_150_S10_Q030,030,8,46,이차함수 y=a(x-p)²의 그래프가 지나는 점,M3_QFUNC_PT040,y=a(x-p)²의 그래프 - 조건 종합,choice:4,85,core,symbolic_or_verbal,False,0.92,M3_QFUNC_PT040::M3_QFUNC_CROSS_SET
M3_QFUNC_150_S10_Q031,031,8,47,이차함수 y=a(x-p)²의 그래프가 지나는 점,M3_QFUNC_PT040,y=a(x-p)²의 그래프 - 조건 종합,value:-27,74,core,symbolic_or_verbal,False,0.92,M3_QFUNC_PT040::M3_QFUNC_CROSS_SET
M3_QFUNC_150_S10_Q032,032,8,47,이차함수 y=a(x-p)²의 그래프가 지나는 점,M3_QFUNC_PT040,y=a(x-p)²의 그래프 - 조건 종합,value:-19,70,core,symbolic_or_verbal,False,0.92,M3_QFUNC_PT040::M3_QFUNC_CROSS_SET
M3_QFUNC_150_S10_Q033,033,9,47,이차함수 y=a(x-p)²의 그래프가 지나는 점,M3_QFUNC_PT040,y=a(x-p)²의 그래프 - 조건 종합,value:2,83,core,symbolic_or_verbal,False,0.92,M3_QFUNC_PT040::M3_QFUNC_CROSS_SET
M3_QFUNC_150_S10_Q034,034,9,47,이차함수 y=a(x-p)²의 그래프가 지나는 점,M3_QFUNC_PT040,y=a(x-p)²의 그래프 - 조건 종합,value:0,75,core,graph_or_geometry_diagram,True,0.92,M3_QFUNC_PT040::M3_QFUNC_CROSS_SET
M3_QFUNC_150_S10_Q035,035,9,47,이차함수 y=a(x-p)²의 그래프가 지나는 점,M3_QFUNC_PT040,y=a(x-p)²의 그래프 - 조건 종합,value:-12,72,core,symbolic_or_verbal,False,0.92,M3_QFUNC_PT040::M3_QFUNC_CROSS_SET
M3_QFUNC_150_S10_Q036,036,9,47,이차함수 y=a(x-p)²의 그래프가 지나는 점,M3_QFUNC_PT175,이차함수 고난도 종합 - 계산 수행,value:1/4,48,advanced,graph_or_geometry_diagram,True,0.92,M3_QFUNC_PT175::M3_QFUNC_CROSS_SET
M3_QFUNC_150_S10_Q037,037,10,48,이차함수 y=a(x-p)²의 그래프가 지나는 점,M3_QFUNC_PT175,이차함수 고난도 종합 - 계산 수행,value:6,50,advanced,graph_or_geometry_diagram,True,0.92,M3_QFUNC_PT175::M3_QFUNC_CROSS_SET
M3_QFUNC_150_S10_Q038,038,10,48,이차함수 y=a(x-p)²의 그래프가 지나는 점,M3_QFUNC_PT040,y=a(x-p)²의 그래프 - 조건 종합,value:9/2,70,core,symbolic_or_verbal,False,0.92,M3_QFUNC_PT040::M3_QFUNC_CROSS_SET
M3_QFUNC_150_S10_Q039,039,10,48,이차함수 y=a(x-p)²+q의 그래프가 지나는 점,M3_QFUNC_PT044,y=a(x-p)²+q의 그래프 - 조건 종합,value:2,75,standard,symbolic_or_verbal,False,0.92,M3_QFUNC_PT044::M3_QFUNC_CROSS_SET
M3_QFUNC_150_S10_Q040,040,10,48,이차함수 y=a(x-p)²+q의 그래프가 지나는 점,M3_QFUNC_PT044,y=a(x-p)²+q의 그래프 - 조건 종합,value:-11,68,standard,symbolic_or_verbal,False,0.92,M3_QFUNC_PT044::M3_QFUNC_CROSS_SET
M3_QFUNC_150_S10_Q041,041,11,48,이차함수 y=a(x-p)²+q의 그래프가 지나는 점,M3_QFUNC_PT044,y=a(x-p)²+q의 그래프 - 조건 종합,value:-14,70,standard,symbolic_or_verbal,False,0.92,M3_QFUNC_PT044::M3_QFUNC_CROSS_SET
M3_QFUNC_150_S10_Q042,042,11,48,이차함수 y=a(x-p)²+q의 그래프가 지나는 점,M3_QFUNC_PT175,이차함수 고난도 종합 - 계산 수행,value:97,51,advanced,graph_or_geometry_diagram,True,0.92,M3_QFUNC_PT175::M3_QFUNC_CROSS_SET
M3_QFUNC_150_S10_Q043,043,11,49,이차함수 y=a(x-p)²+q의 그래프가 지나는 점,M3_QFUNC_PT044,y=a(x-p)²+q의 그래프 - 조건 종합,choice:2,81,standard,symbolic_or_verbal,False,0.92,M3_QFUNC_PT044::M3_QFUNC_CROSS_SET
M3_QFUNC_150_S10_Q044,044,11,49,이차함수 y=a(x-p)²+q의 그래프가 지나는 점,M3_QFUNC_PT044,y=a(x-p)²+q의 그래프 - 조건 종합,choice:3,57,standard,symbolic_or_verbal,False,0.92,M3_QFUNC_PT044::M3_QFUNC_CROSS_SET
M3_QFUNC_150_S10_Q045,045,12,49,이차함수 y=a(x-p)²+q의 그래프가 지나는 점,M3_QFUNC_PT044,y=a(x-p)²+q의 그래프 - 조건 종합,value:68,68,standard,symbolic_or_verbal,False,0.92,M3_QFUNC_PT044::M3_QFUNC_CROSS_SET
M3_QFUNC_150_S10_Q046,046,12,49,이차함수 y=a(x-p)²+q의 그래프가 지나는 점,M3_QFUNC_PT175,이차함수 고난도 종합 - 계산 수행,choice:5,77,advanced,symbolic_or_verbal,False,0.92,M3_QFUNC_PT175::M3_QFUNC_CROSS_SET
M3_QFUNC_150_S10_Q047,047,12,49,이차함수 y=a(x-p)²+q의 그래프가 지나는 점,M3_QFUNC_PT175,이차함수 고난도 종합 - 계산 수행,choice:3,80,advanced,symbolic_or_verbal,False,0.92,M3_QFUNC_PT175::M3_QFUNC_CROSS_SET
M3_QFUNC_150_S10_Q048,048,12,49,이차함수 y=a(x-p)²+q의 그래프가 지나는 점,M3_QFUNC_PT175,이차함수 고난도 종합 - 계산 수행,choice:2,70,advanced,symbolic_or_verbal,False,0.92,M3_QFUNC_PT175::M3_QFUNC_CROSS_SET
M3_QFUNC_150_S10_Q049,049,13,50,"이차함수 y=a(x-p)²+q의 그래프에서 a, p, q의 부호",M3_QFUNC_PT048,"p,q의 부호와 그래프 위치 - 조건 종합",choice:4,68,advanced,graph_or_geometry_diagram,True,0.92,M3_QFUNC_PT048::M3_QFUNC_CROSS_SET
M3_QFUNC_150_S10_Q050,050,13,50,"이차함수 y=a(x-p)²+q의 그래프에서 a, p, q의 부호",M3_QFUNC_PT048,"p,q의 부호와 그래프 위치 - 조건 종합",choice:4,80,advanced,graph_or_geometry_diagram,True,0.92,M3_QFUNC_PT048::M3_QFUNC_CROSS_SET
M3_QFUNC_150_S10_Q051,051,14,50,"이차함수 y=a(x-p)²+q의 그래프에서 a, p, q의 부호",M3_QFUNC_PT048,"p,q의 부호와 그래프 위치 - 조건 종합",choice:2,76,advanced,graph_or_geometry_diagram,True,0.92,M3_QFUNC_PT048::M3_QFUNC_CROSS_SET
M3_QFUNC_150_S10_Q052,052,14,50,"이차함수 y=a(x-p)²+q의 그래프에서 a, p, q의 부호",M3_QFUNC_PT048,"p,q의 부호와 그래프 위치 - 조건 종합",choice:1,75,advanced,graph_or_geometry_diagram,True,0.92,M3_QFUNC_PT048::M3_QFUNC_CROSS_SET
M3_QFUNC_150_S10_Q053,053,15,50,"이차함수 y=a(x-p)²+q의 그래프에서 a, p, q의 부호",M3_QFUNC_PT048,"p,q의 부호와 그래프 위치 - 조건 종합",choice:4,72,advanced,symbolic_or_verbal,False,0.92,M3_QFUNC_PT048::M3_QFUNC_CROSS_SET
M3_QFUNC_150_S10_Q054,054,15,50,"이차함수 y=a(x-p)²+q의 그래프에서 a, p, q의 부호",M3_QFUNC_PT048,"p,q의 부호와 그래프 위치 - 조건 종합",choice:4,78,advanced,symbolic_or_verbal,False,0.92,M3_QFUNC_PT048::M3_QFUNC_CROSS_SET
M3_QFUNC_150_S10_Q055,055,15,50,"이차함수 y=a(x-p)²+q의 그래프에서 a, p, q의 부호",M3_QFUNC_PT048,"p,q의 부호와 그래프 위치 - 조건 종합",ㄴ,74,advanced,graph_or_geometry_diagram,True,0.92,M3_QFUNC_PT048::M3_QFUNC_CROSS_SET
M3_QFUNC_150_S10_Q056,056,16,50,"이차함수 y=a(x-p)²+q의 그래프에서 a, p, q의 부호",M3_QFUNC_PT048,"p,q의 부호와 그래프 위치 - 조건 종합",choice:1,81,advanced,graph_or_geometry_diagram,True,0.92,M3_QFUNC_PT048::M3_QFUNC_CROSS_SET
M3_QFUNC_150_S10_Q057,057,16,50,이차함수 y=a(x-p)²+q의 그래프의 식 구하기,M3_QFUNC_PT082,꼭짓점과 한 점으로 이차함수식 구하기 - 계산 수행,value:-18,76,basic,symbolic_or_verbal,False,0.92,M3_QFUNC_PT082::M3_QFUNC_CROSS_SET
M3_QFUNC_150_S10_Q058,058,16,50,이차함수 y=a(x-p)²+q의 그래프의 식 구하기,M3_QFUNC_PT082,꼭짓점과 한 점으로 이차함수식 구하기 - 계산 수행,choice:4,85,basic,symbolic_or_verbal,False,0.92,M3_QFUNC_PT082::M3_QFUNC_CROSS_SET
M3_QFUNC_150_S10_Q059,059,16,51,이차함수 y=a(x-p)²+q의 그래프의 식 구하기,M3_QFUNC_PT083,꼭짓점과 한 점으로 이차함수식 구하기 - 그래프 해석,value:4,70,core,graph_or_geometry_diagram,True,0.92,M3_QFUNC_PT083::M3_QFUNC_CROSS_SET
M3_QFUNC_150_S10_Q060,060,17,51,이차함수 y=a(x-p)²+q의 그래프의 식 구하기,M3_QFUNC_PT083,꼭짓점과 한 점으로 이차함수식 구하기 - 그래프 해석,value:5,75,core,graph_or_geometry_diagram,True,0.92,M3_QFUNC_PT083::M3_QFUNC_CROSS_SET
M3_QFUNC_150_S10_Q061,061,17,51,이차함수 y=a(x-p)²+q의 그래프의 식 구하기,M3_QFUNC_PT082,꼭짓점과 한 점으로 이차함수식 구하기 - 계산 수행,value:4,74,basic,symbolic_or_verbal,False,0.92,M3_QFUNC_PT082::M3_QFUNC_CROSS_SET
M3_QFUNC_150_S10_Q062,062,17,51,이차함수 y=a(x-p)²+q의 그래프의 식 구하기,M3_QFUNC_PT082,꼭짓점과 한 점으로 이차함수식 구하기 - 계산 수행,choice:2,78,basic,symbolic_or_verbal,False,0.92,M3_QFUNC_PT082::M3_QFUNC_CROSS_SET
M3_QFUNC_150_S10_Q063,063,17,51,이차함수 y=a(x-p)²+q의 그래프의 식 구하기,M3_QFUNC_PT083,꼭짓점과 한 점으로 이차함수식 구하기 - 그래프 해석,choice:1,80,core,graph_or_geometry_diagram,True,0.92,M3_QFUNC_PT083::M3_QFUNC_CROSS_SET
M3_QFUNC_150_S10_Q064,064,18,51,이차함수 y=a(x-p)²+q의 그래프의 식 구하기,M3_QFUNC_PT082,꼭짓점과 한 점으로 이차함수식 구하기 - 계산 수행,value:3,72,basic,symbolic_or_verbal,False,0.92,M3_QFUNC_PT082::M3_QFUNC_CROSS_SET
M3_QFUNC_150_S10_Q065,065,18,51,이차함수 y=ax²+bx+c의 그래프의 꼭짓점과 축의 방정식,M3_QFUNC_PT175,이차함수 고난도 종합 - 계산 수행,value:-3,56,advanced,symbolic_or_verbal,False,0.92,M3_QFUNC_PT175::M3_QFUNC_CROSS_SET
M3_QFUNC_150_S10_Q066,066,18,52,이차함수 y=ax²+bx+c의 그래프의 꼭짓점과 축의 방정식,M3_QFUNC_PT121,꼭짓점 조건으로 계수 구하기 - 계산 수행,value:-7,66,core,symbolic_or_verbal,False,0.92,M3_QFUNC_PT121::M3_QFUNC_CROSS_SET
M3_QFUNC_150_S10_Q067,067,18,52,이차함수 y=ax²+bx+c의 그래프의 꼭짓점과 축의 방정식,M3_QFUNC_PT121,꼭짓점 조건으로 계수 구하기 - 계산 수행,value:0,74,core,symbolic_or_verbal,False,0.92,M3_QFUNC_PT121::M3_QFUNC_CROSS_SET
M3_QFUNC_150_S10_Q068,068,19,52,이차함수 y=ax²+bx+c의 그래프의 꼭짓점과 축의 방정식,M3_QFUNC_PT118,축 조건으로 계수 구하기 - 계산 수행,choice:4,74,basic,symbolic_or_verbal,False,0.92,M3_QFUNC_PT118::M3_QFUNC_CROSS_SET
M3_QFUNC_150_S10_Q069,069,19,52,이차함수 y=ax²+bx+c의 그래프의 꼭짓점과 축의 방정식,M3_QFUNC_PT121,꼭짓점 조건으로 계수 구하기 - 계산 수행,choice:2,78,core,symbolic_or_verbal,False,0.92,M3_QFUNC_PT121::M3_QFUNC_CROSS_SET
M3_QFUNC_150_S10_Q070,070,19,52,이차함수 y=ax²+bx+c의 그래프의 꼭짓점과 축의 방정식,M3_QFUNC_PT121,꼭짓점 조건으로 계수 구하기 - 계산 수행,value:10,71,core,symbolic_or_verbal,False,0.92,M3_QFUNC_PT121::M3_QFUNC_CROSS_SET
M3_QFUNC_150_S10_Q071,071,19,52,이차함수 y=ax²+bx+c의 그래프의 꼭짓점과 축의 방정식,M3_QFUNC_PT175,이차함수 고난도 종합 - 계산 수행,value:-1,61,advanced,symbolic_or_verbal,False,0.92,M3_QFUNC_PT175::M3_QFUNC_CROSS_SET
M3_QFUNC_150_S10_Q072,072,20,52,이차함수 y=ax²+bx+c의 그래프의 꼭짓점과 축의 방정식,M3_QFUNC_PT175,이차함수 고난도 종합 - 계산 수행,value:-1,69,advanced,symbolic_or_verbal,False,0.92,M3_QFUNC_PT175::M3_QFUNC_CROSS_SET
M3_QFUNC_150_S10_Q073,073,20,52,이차함수 y=ax²+bx+c의 그래프가 축과 만나는 점,M3_QFUNC_PT076,이차함수의 x절편 - 계산 수행,choice:2,79,standard,symbolic_or_verbal,False,0.92,M3_QFUNC_PT076::M3_QFUNC_CROSS_SET
M3_QFUNC_150_S10_Q074,074,20,53,이차함수 y=ax²+bx+c의 그래프가 축과 만나는 점,M3_QFUNC_PT076,이차함수의 x절편 - 계산 수행,choice:2,87,standard,symbolic_or_verbal,False,0.92,M3_QFUNC_PT076::M3_QFUNC_CROSS_SET
M3_QFUNC_150_S10_Q075,075,20,53,이차함수 y=ax²+bx+c의 그래프가 축과 만나는 점,M3_QFUNC_PT077,이차함수의 x절편 - 그래프 해석,choice:3,87,standard,graph_or_geometry_diagram,True,0.92,M3_QFUNC_PT077::M3_QFUNC_CROSS_SET
M3_QFUNC_150_S10_Q076,076,21,53,이차함수 y=ax²+bx+c의 그래프가 축과 만나는 점,M3_QFUNC_PT076,이차함수의 x절편 - 계산 수행,choice:5,81,standard,symbolic_or_verbal,False,0.92,M3_QFUNC_PT076::M3_QFUNC_CROSS_SET
M3_QFUNC_150_S10_Q077,077,21,53,이차함수 y=ax²+bx+c의 그래프가 축과 만나는 점,M3_QFUNC_PT076,이차함수의 x절편 - 계산 수행,choice:1,79,standard,symbolic_or_verbal,False,0.92,M3_QFUNC_PT076::M3_QFUNC_CROSS_SET
M3_QFUNC_150_S10_Q078,078,21,53,이차함수 y=ax²+bx+c의 그래프가 축과 만나는 점,M3_QFUNC_PT175,이차함수 고난도 종합 - 계산 수행,value:4,52,advanced,symbolic_or_verbal,False,0.92,M3_QFUNC_PT175::M3_QFUNC_CROSS_SET
M3_QFUNC_150_S10_Q079,079,21,53,이차함수 y=ax²+bx+c의 그래프가 축과 만나는 점,M3_QFUNC_PT077,이차함수의 x절편 - 그래프 해석,choice:4,87,standard,graph_or_geometry_diagram,True,0.92,M3_QFUNC_PT077::M3_QFUNC_CROSS_SET
M3_QFUNC_150_S10_Q080,080,22,54,이차함수 y=ax²+bx+c의 그래프가 축과 만나는 점,M3_QFUNC_PT175,이차함수 고난도 종합 - 계산 수행,choice:3,66,advanced,graph_or_geometry_diagram,True,0.92,M3_QFUNC_PT175::M3_QFUNC_CROSS_SET
M3_QFUNC_150_S10_Q081,081,22,54,이차함수 y=ax²+bx+c의 그래프의 평행이동,M3_QFUNC_PT154,일반형에서 그래프 정보 구하기 - 계산 수행,choice:1,74,basic,symbolic_or_verbal,False,0.92,M3_QFUNC_PT154::M3_QFUNC_CROSS_SET
M3_QFUNC_150_S10_Q082,082,22,54,이차함수 y=ax²+bx+c의 그래프의 평행이동,M3_QFUNC_PT154,일반형에서 그래프 정보 구하기 - 계산 수행,value:-19,56,basic,symbolic_or_verbal,False,0.92,M3_QFUNC_PT154::M3_QFUNC_CROSS_SET
M3_QFUNC_150_S10_Q083,083,22,54,이차함수 y=ax²+bx+c의 그래프의 평행이동,M3_QFUNC_PT154,일반형에서 그래프 정보 구하기 - 계산 수행,choice:3,75,basic,symbolic_or_verbal,False,0.92,M3_QFUNC_PT154::M3_QFUNC_CROSS_SET
M3_QFUNC_150_S10_Q084,084,23,55,이차함수 y=ax²+bx+c의 그래프의 평행이동,M3_QFUNC_PT154,일반형에서 그래프 정보 구하기 - 계산 수행,value:5,80,basic,symbolic_or_verbal,False,0.92,M3_QFUNC_PT154::M3_QFUNC_CROSS_SET
M3_QFUNC_150_S10_Q085,085,23,55,이차함수 y=ax²+bx+c의 그래프의 평행이동,M3_QFUNC_PT154,일반형에서 그래프 정보 구하기 - 계산 수행,choice:5,73,basic,symbolic_or_verbal,False,0.92,M3_QFUNC_PT154::M3_QFUNC_CROSS_SET
M3_QFUNC_150_S10_Q086,086,23,55,이차함수 y=ax²+bx+c의 그래프의 평행이동,M3_QFUNC_PT154,일반형에서 그래프 정보 구하기 - 계산 수행,value:2,74,basic,symbolic_or_verbal,False,0.92,M3_QFUNC_PT154::M3_QFUNC_CROSS_SET
M3_QFUNC_150_S10_Q087,087,23,55,이차함수 y=ax²+bx+c의 그래프의 평행이동,M3_QFUNC_PT154,일반형에서 그래프 정보 구하기 - 계산 수행,value:4,76,basic,symbolic_or_verbal,False,0.92,M3_QFUNC_PT154::M3_QFUNC_CROSS_SET
M3_QFUNC_150_S10_Q088,088,24,55,이차함수 y=ax²+bx+c의 그래프의 평행이동,M3_QFUNC_PT154,일반형에서 그래프 정보 구하기 - 계산 수행,value:3,83,basic,symbolic_or_verbal,False,0.92,M3_QFUNC_PT154::M3_QFUNC_CROSS_SET
M3_QFUNC_150_S10_Q089,089,24,55,"이차함수 y=ax²+bx+c의 그래프와 a, b, c의 부호",M3_QFUNC_PT170,계수 조건으로 그래프 성질 판단 - 그래프 해석,choice:2,73,standard,graph_or_geometry_diagram,True,0.92,M3_QFUNC_PT170::M3_QFUNC_CROSS_SET
M3_QFUNC_150_S10_Q090,090,24,55,"이차함수 y=ax²+bx+c의 그래프와 a, b, c의 부호",M3_QFUNC_PT170,계수 조건으로 그래프 성질 판단 - 그래프 해석,"choices:2,5",81,standard,graph_or_geometry_diagram,True,0.92,M3_QFUNC_PT170::M3_QFUNC_CROSS_SET
M3_QFUNC_150_S10_Q091,091,24,55,"이차함수 y=ax²+bx+c의 그래프와 a, b, c의 부호",M3_QFUNC_PT170,계수 조건으로 그래프 성질 판단 - 그래프 해석,"choices:2,4",73,standard,graph_or_geometry_diagram,True,0.92,M3_QFUNC_PT170::M3_QFUNC_CROSS_SET
M3_QFUNC_150_S10_Q092,092,25,55,"이차함수 y=ax²+bx+c의 그래프와 a, b, c의 부호",M3_QFUNC_PT170,계수 조건으로 그래프 성질 판단 - 그래프 해석,"choices:4,5",78,standard,graph_or_geometry_diagram,True,0.92,M3_QFUNC_PT170::M3_QFUNC_CROSS_SET
M3_QFUNC_150_S10_Q093,093,25,56,"이차함수 y=ax²+bx+c의 그래프와 a, b, c의 부호",M3_QFUNC_PT170,계수 조건으로 그래프 성질 판단 - 그래프 해석,"choices:3,5",79,standard,graph_or_geometry_diagram,True,0.92,M3_QFUNC_PT170::M3_QFUNC_CROSS_SET
