problem_type_id,grade,course,unit_id,unit_name,type_name,description,concept_ids,default_difficulty,error_tags,source_orders,raw_section_id,required_solution_checks,status
H2_EL_PT017,고2,수학Ⅰ,H2_EXP_LOG,지수와 로그,거듭제곱근 계산과정의 오류 찾기,거듭제곱근의 계산 범주의 '거듭제곱근 계산과정의 오류 찾기' 유형을 진단한다.,H2_EL_C003|H2_EL_C004,advanced,power_root|nth_root|condition_judgment|domain_condition|algebraic_manipulation,3|4,H2_EXP_LOG_RAW_002,주어진 수의 부호 표시|n의 홀짝 표시|실수근 존재 여부 표시|최종 계산,curated_problem_type_from_image_taxonomy
H2_EL_PT018,고2,수학Ⅰ,H2_EXP_LOG,지수와 로그,무리수의 거듭제곱근과 곱셈을 통한 수식 간단화,거듭제곱근의 계산 범주의 '무리수의 거듭제곱근과 곱셈을 통한 수식 간단화' 유형을 진단한다.,H2_EL_C003|H2_EL_C004,standard,power_root|nth_root|algebraic_manipulation,3|4,H2_EXP_LOG_RAW_002,주어진 수의 부호 표시|n의 홀짝 표시|실수근 존재 여부 표시|최종 계산,curated_problem_type_from_image_taxonomy
H2_EL_PT019,고2,수학Ⅰ,H2_EXP_LOG,지수와 로그,제곱근의 성질,문자를 포함한 거듭제곱근의 계산 범주의 '제곱근의 성질' 유형을 진단한다.,H2_EL_C005,standard,power_root|nth_root|algebraic_manipulation|symbolic_condition,5,H2_EXP_LOG_RAW_003,주어진 수의 부호 표시|n의 홀짝 표시|실수근 존재 여부 표시|최종 계산,curated_problem_type_from_image_taxonomy
H2_EL_PT020,고2,수학Ⅰ,H2_EXP_LOG,지수와 로그,제곱근의 성질 증명,문자를 포함한 거듭제곱근의 계산 범주의 '제곱근의 성질 증명' 유형을 진단한다.,H2_EL_C005,standard,power_root|nth_root|algebraic_manipulation|symbolic_condition,5,H2_EXP_LOG_RAW_003,주어진 수의 부호 표시|n의 홀짝 표시|실수근 존재 여부 표시|최종 계산,curated_problem_type_from_image_taxonomy
H2_EL_PT021,고2,수학Ⅰ,H2_EXP_LOG,지수와 로그,한 문자 a에 대하여 정의된 거듭제곱근의 계산,문자를 포함한 거듭제곱근의 계산 범주의 '한 문자 a에 대하여 정의된 거듭제곱근의 계산' 유형을 진단한다.,H2_EL_C005,standard,power_root|nth_root|condition_judgment|domain_condition|algebraic_manipulation|symbolic_condition,5,H2_EXP_LOG_RAW_003,주어진 수의 부호 표시|n의 홀짝 표시|실수근 존재 여부 표시|최종 계산,curated_problem_type_from_image_taxonomy
H2_EL_PT022,고2,수학Ⅰ,H2_EXP_LOG,지수와 로그,"두 문자 a,b에 대하여 정의된 거듭제곱근의 계산","문자를 포함한 거듭제곱근의 계산 범주의 '두 문자 a,b에 대하여 정의된 거듭제곱근의 계산' 유형을 진단한다.",H2_EL_C005,standard,power_root|nth_root|condition_judgment|domain_condition|algebraic_manipulation|symbolic_condition,5,H2_EXP_LOG_RAW_003,주어진 수의 부호 표시|n의 홀짝 표시|실수근 존재 여부 표시|최종 계산,curated_problem_type_from_image_taxonomy
H2_EL_PT023,고2,수학Ⅰ,H2_EXP_LOG,지수와 로그,거듭제곱근으로 표현된 수의 대소 관계,거듭제곱근의 대소 비교 범주의 '거듭제곱근으로 표현된 수의 대소 관계' 유형을 진단한다.,H2_EL_C006,advanced,power_root|nth_root|comparison,5,H2_EXP_LOG_RAW_004,주어진 수의 부호 표시|n의 홀짝 표시|실수근 존재 여부 표시|최종 계산,curated_problem_type_from_image_taxonomy
H2_EL_PT024,고2,수학Ⅰ,H2_EXP_LOG,지수와 로그,거듭제곱근의 반수로 표현된 수의 대소 관계,거듭제곱근의 대소 비교 범주의 '거듭제곱근의 반수로 표현된 수의 대소 관계' 유형을 진단한다.,H2_EL_C006,advanced,power_root|nth_root|comparison,5,H2_EXP_LOG_RAW_004,주어진 수의 부호 표시|n의 홀짝 표시|실수근 존재 여부 표시|최종 계산,curated_problem_type_from_image_taxonomy
H2_EL_PT025,고2,수학Ⅰ,H2_EXP_LOG,지수와 로그,분수꼴의 거듭제곱근으로 표현된 수의 대소 관계,거듭제곱근의 대소 비교 범주의 '분수꼴의 거듭제곱근으로 표현된 수의 대소 관계' 유형을 진단한다.,H2_EL_C006,advanced,power_root|nth_root|comparison,5,H2_EXP_LOG_RAW_004,주어진 수의 부호 표시|n의 홀짝 표시|실수근 존재 여부 표시|최종 계산,curated_problem_type_from_image_taxonomy
H2_EL_PT026,고2,수학Ⅰ,H2_EXP_LOG,지수와 로그,거듭제곱근의 연산으로 표현된 수의 대소 관계,거듭제곱근의 대소 비교 범주의 '거듭제곱근의 연산으로 표현된 수의 대소 관계' 유형을 진단한다.,H2_EL_C006,advanced,power_root|nth_root|comparison|algebraic_manipulation,5,H2_EXP_LOG_RAW_004,주어진 수의 부호 표시|n의 홀짝 표시|실수근 존재 여부 표시|최종 계산,curated_problem_type_from_image_taxonomy
H2_EL_PT027,고2,수학Ⅰ,H2_EXP_LOG,지수와 로그,지수가 0인 경우,지수가 정수인 식의 계산 범주의 '지수가 0인 경우' 유형을 진단한다.,H2_EL_C007,standard,exponent_law|integer_natural_condition|algebraic_manipulation,6|7,H2_EXP_LOG_RAW_005,소인수 지수표 작성|분수지수의 분모 조건 확인|정수/자연수 조건 구분,curated_problem_type_from_image_taxonomy
H2_EL_PT028,고2,수학Ⅰ,H2_EXP_LOG,지수와 로그,지수가 음의 정수인 경우,지수가 정수인 식의 계산 범주의 '지수가 음의 정수인 경우' 유형을 진단한다.,H2_EL_C007,standard,exponent_law|integer_natural_condition|algebraic_manipulation,6|7,H2_EXP_LOG_RAW_005,소인수 지수표 작성|분수지수의 분모 조건 확인|정수/자연수 조건 구분,curated_problem_type_from_image_taxonomy
H2_EL_PT029,고2,수학Ⅰ,H2_EXP_LOG,지수와 로그,지수가 0 또는 음의 정수인 경우,지수가 정수인 식의 계산 범주의 '지수가 0 또는 음의 정수인 경우' 유형을 진단한다.,H2_EL_C007,standard,exponent_law|integer_natural_condition|algebraic_manipulation,6|7,H2_EXP_LOG_RAW_005,소인수 지수표 작성|분수지수의 분모 조건 확인|정수/자연수 조건 구분,curated_problem_type_from_image_taxonomy
H2_EL_PT030,고2,수학Ⅰ,H2_EXP_LOG,지수와 로그,지수가 0 또는 음의 정수인 경우의 연산,지수가 정수인 식의 계산 범주의 '지수가 0 또는 음의 정수인 경우의 연산' 유형을 진단한다.,H2_EL_C007,standard,exponent_law|integer_natural_condition|algebraic_manipulation,6|7,H2_EXP_LOG_RAW_005,소인수 지수표 작성|분수지수의 분모 조건 확인|정수/자연수 조건 구분,curated_problem_type_from_image_taxonomy
H2_EL_PT031,고2,수학Ⅰ,H2_EXP_LOG,지수와 로그,한 문자에 대한 지수가 정수인 경우,지수가 정수인 식의 계산 범주의 '한 문자에 대한 지수가 정수인 경우' 유형을 진단한다.,H2_EL_C007,standard,exponent_law|integer_natural_condition|algebraic_manipulation|symbolic_condition,6|7,H2_EXP_LOG_RAW_005,소인수 지수표 작성|분수지수의 분모 조건 확인|정수/자연수 조건 구분,curated_problem_type_from_image_taxonomy
H2_EL_PT032,고2,수학Ⅰ,H2_EXP_LOG,지수와 로그,두 문자에 대한 지수가 정수인 경우,지수가 정수인 식의 계산 범주의 '두 문자에 대한 지수가 정수인 경우' 유형을 진단한다.,H2_EL_C007,standard,exponent_law|integer_natural_condition|algebraic_manipulation|symbolic_condition,6|7,H2_EXP_LOG_RAW_005,소인수 지수표 작성|분수지수의 분모 조건 확인|정수/자연수 조건 구분,curated_problem_type_from_image_taxonomy
H2_EL_PT033,고2,수학Ⅰ,H2_EXP_LOG,지수와 로그,지수가 정수인 식의 계산,지수가 정수인 식의 계산 범주의 '지수가 정수인 식의 계산' 유형을 진단한다.,H2_EL_C007,standard,exponent_law|integer_natural_condition|algebraic_manipulation,6|7,H2_EXP_LOG_RAW_005,소인수 지수표 작성|분수지수의 분모 조건 확인|정수/자연수 조건 구분,curated_problem_type_from_image_taxonomy
H2_EL_PT034,고2,수학Ⅰ,H2_EXP_LOG,지수와 로그,지수가 정수인 다항식의 계산,지수가 정수인 식의 계산 범주의 '지수가 정수인 다항식의 계산' 유형을 진단한다.,H2_EL_C007,standard,exponent_law|integer_natural_condition|algebraic_manipulation,6|7,H2_EXP_LOG_RAW_005,소인수 지수표 작성|분수지수의 분모 조건 확인|정수/자연수 조건 구분,curated_problem_type_from_image_taxonomy
H2_EL_PT035,고2,수학Ⅰ,H2_EXP_LOG,지수와 로그,분모에 지수가 정수인 수를 규칙적으로 갖는 경우,지수가 정수인 식의 계산 범주의 '분모에 지수가 정수인 수를 규칙적으로 갖는 경우' 유형을 진단한다.,H2_EL_C007,standard,exponent_law|integer_natural_condition|algebraic_manipulation,6|7,H2_EXP_LOG_RAW_005,소인수 지수표 작성|분수지수의 분모 조건 확인|정수/자연수 조건 구분,curated_problem_type_from_image_taxonomy
H2_EL_PT036,고2,수학Ⅰ,H2_EXP_LOG,지수와 로그,지수가 정수인 두 수의 곱셈,지수가 정수인 식의 계산 범주의 '지수가 정수인 두 수의 곱셈' 유형을 진단한다.,H2_EL_C007,standard,exponent_law|integer_natural_condition|algebraic_manipulation,6|7,H2_EXP_LOG_RAW_005,소인수 지수표 작성|분수지수의 분모 조건 확인|정수/자연수 조건 구분,curated_problem_type_from_image_taxonomy
H2_EL_PT037,고2,수학Ⅰ,H2_EXP_LOG,지수와 로그,지수가 정수인 수의 대소 관계,지수가 정수인 식의 계산 범주의 '지수가 정수인 수의 대소 관계' 유형을 진단한다.,H2_EL_C007,advanced,comparison|exponent_law|integer_natural_condition|algebraic_manipulation,6|7,H2_EXP_LOG_RAW_005,소인수 지수표 작성|분수지수의 분모 조건 확인|정수/자연수 조건 구분,curated_problem_type_from_image_taxonomy
H2_EL_PT038,고2,수학Ⅰ,H2_EXP_LOG,지수와 로그,지수가 유리수인 수의 대소 비교,지수가 실수인 식의 계산 범주의 '지수가 유리수인 수의 대소 비교' 유형을 진단한다.,H2_EL_C008|H2_EL_C013,advanced,condition_judgment|comparison|exponent_law|integer_natural_condition|algebraic_manipulation,8|10|11,H2_EXP_LOG_RAW_006,소인수 지수표 작성|분수지수의 분모 조건 확인|정수/자연수 조건 구분,curated_problem_type_from_image_taxonomy
H2_EL_PT039,고2,수학Ⅰ,H2_EXP_LOG,지수와 로그,지수가 실수인 거듭제곱,지수가 실수인 식의 계산 범주의 '지수가 실수인 거듭제곱' 유형을 진단한다.,H2_EL_C008|H2_EL_C013,standard,condition_judgment|exponent_law|algebraic_manipulation,8|10|11,H2_EXP_LOG_RAW_006,,curated_problem_type_from_image_taxonomy
H2_EL_PT040,고2,수학Ⅰ,H2_EXP_LOG,지수와 로그,지수가 유리수인 수의 계산,지수가 실수인 식의 계산 범주의 '지수가 유리수인 수의 계산' 유형을 진단한다.,H2_EL_C008|H2_EL_C013,standard,condition_judgment|exponent_law|integer_natural_condition|algebraic_manipulation,8|10|11,H2_EXP_LOG_RAW_006,소인수 지수표 작성|분수지수의 분모 조건 확인|정수/자연수 조건 구분,curated_problem_type_from_image_taxonomy
H2_EL_PT041,고2,수학Ⅰ,H2_EXP_LOG,지수와 로그,두 문자에 대한 지수가 유리수인 수의 계산,지수가 실수인 식의 계산 범주의 '두 문자에 대한 지수가 유리수인 수의 계산' 유형을 진단한다.,H2_EL_C008|H2_EL_C013,standard,condition_judgment|exponent_law|integer_natural_condition|algebraic_manipulation|symbolic_condition,8|10|11,H2_EXP_LOG_RAW_006,소인수 지수표 작성|분수지수의 분모 조건 확인|정수/자연수 조건 구분,curated_problem_type_from_image_taxonomy
H2_EL_PT042,고2,수학Ⅰ,H2_EXP_LOG,지수와 로그,수가 주어진 지수가 유리수인 다항식의 계산,지수가 실수인 식의 계산 범주의 '수가 주어진 지수가 유리수인 다항식의 계산' 유형을 진단한다.,H2_EL_C008|H2_EL_C013,standard,condition_judgment|exponent_law|integer_natural_condition|algebraic_manipulation,8|10|11,H2_EXP_LOG_RAW_006,소인수 지수표 작성|분수지수의 분모 조건 확인|정수/자연수 조건 구분,curated_problem_type_from_image_taxonomy
H2_EL_PT043,고2,수학Ⅰ,H2_EXP_LOG,지수와 로그,주어진 식을 만족시키는 두 미지수의 값 구하기,지수가 실수인 식의 계산 범주의 '주어진 식을 만족시키는 두 미지수의 값 구하기' 유형을 진단한다.,H2_EL_C008|H2_EL_C013,basic,condition_judgment|exponent_law|algebraic_manipulation|symbolic_condition,8|10|11,H2_EXP_LOG_RAW_006,,curated_problem_type_from_image_taxonomy
H2_EL_PT044,고2,수학Ⅰ,H2_EXP_LOG,지수와 로그,지수가 실수인 다항식의 계산,지수가 실수인 식의 계산 범주의 '지수가 실수인 다항식의 계산' 유형을 진단한다.,H2_EL_C008|H2_EL_C013,standard,condition_judgment|exponent_law|algebraic_manipulation,8|10|11,H2_EXP_LOG_RAW_006,,curated_problem_type_from_image_taxonomy
H2_EL_PT045,고2,수학Ⅰ,H2_EXP_LOG,지수와 로그,지수가 실수인 세 수의 대소 비교,지수가 실수인 식의 계산 범주의 '지수가 실수인 세 수의 대소 비교' 유형을 진단한다.,H2_EL_C008|H2_EL_C013,advanced,condition_judgment|comparison|exponent_law|algebraic_manipulation,8|10|11,H2_EXP_LOG_RAW_006,,curated_problem_type_from_image_taxonomy
H2_EL_PT046,고2,수학Ⅰ,H2_EXP_LOG,지수와 로그,새롭게 정의된 연산,지수가 실수인 식의 계산 범주의 '새롭게 정의된 연산' 유형을 진단한다.,H2_EL_C008|H2_EL_C013,advanced,condition_judgment|exponent_law|domain_condition|algebraic_manipulation,8|10|11,H2_EXP_LOG_RAW_006,,curated_problem_type_from_image_taxonomy
H2_EL_PT047,고2,수학Ⅰ,H2_EXP_LOG,지수와 로그,등식이 성립하는 밑의 값 구하기,지수가 실수인 식의 계산 범주의 '등식이 성립하는 밑의 값 구하기' 유형을 진단한다.,H2_EL_C008|H2_EL_C013,basic,condition_judgment|exponent_law|domain_condition|algebraic_manipulation,8|10|11,H2_EXP_LOG_RAW_006,,curated_problem_type_from_image_taxonomy
H2_EL_PT048,고2,수학Ⅰ,H2_EXP_LOG,지수와 로그,근호로 나타내어진 수를 유리수 지수로 나타내기,거듭제곱근을 지수로 나타내기(1) 범주의 '근호로 나타내어진 수를 유리수 지수로 나타내기' 유형을 진단한다.,H2_EL_C008|H2_EL_C009,standard,power_root|nth_root|exponent_law|integer_natural_condition,12|13,H2_EXP_LOG_RAW_007,주어진 수의 부호 표시|n의 홀짝 표시|실수근 존재 여부 표시|최종 계산|소인수 지수표 작성|분수지수의 분모 조건 확인|정수/자연수 조건 구분,curated_problem_type_from_image_taxonomy
H2_EL_PT049,고2,수학Ⅰ,H2_EXP_LOG,지수와 로그,유리수 지수로 나타낸 수의 계산,거듭제곱근을 지수로 나타내기(1) 범주의 '유리수 지수로 나타낸 수의 계산' 유형을 진단한다.,H2_EL_C008|H2_EL_C009,standard,power_root|nth_root|exponent_law|integer_natural_condition|algebraic_manipulation,12|13,H2_EXP_LOG_RAW_007,주어진 수의 부호 표시|n의 홀짝 표시|실수근 존재 여부 표시|최종 계산|소인수 지수표 작성|분수지수의 분모 조건 확인|정수/자연수 조건 구분,curated_problem_type_from_image_taxonomy
H2_EL_PT050,고2,수학Ⅰ,H2_EXP_LOG,지수와 로그,근호를 사용하여 나타내어진 수의 계산,거듭제곱근을 지수로 나타내기(1) 범주의 '근호를 사용하여 나타내어진 수의 계산' 유형을 진단한다.,H2_EL_C008|H2_EL_C009,standard,power_root|nth_root|exponent_law|algebraic_manipulation,12|13,H2_EXP_LOG_RAW_007,주어진 수의 부호 표시|n의 홀짝 표시|실수근 존재 여부 표시|최종 계산,curated_problem_type_from_image_taxonomy
H2_EL_PT051,고2,수학Ⅰ,H2_EXP_LOG,지수와 로그,근호를 사용하여 나타내어진 수의 대소 비교,거듭제곱근을 지수로 나타내기(1) 범주의 '근호를 사용하여 나타내어진 수의 대소 비교' 유형을 진단한다.,H2_EL_C008|H2_EL_C009,advanced,power_root|nth_root|comparison|exponent_law,12|13,H2_EXP_LOG_RAW_007,주어진 수의 부호 표시|n의 홀짝 표시|실수근 존재 여부 표시|최종 계산,curated_problem_type_from_image_taxonomy
H2_EL_PT052,고2,수학Ⅰ,H2_EXP_LOG,지수와 로그,근호를 반복하여 사용하여 나타내어진 수,거듭제곱근을 지수로 나타내기(1) 범주의 '근호를 반복하여 사용하여 나타내어진 수' 유형을 진단한다.,H2_EL_C008|H2_EL_C009,standard,power_root|nth_root|exponent_law,12|13,H2_EXP_LOG_RAW_007,주어진 수의 부호 표시|n의 홀짝 표시|실수근 존재 여부 표시|최종 계산,curated_problem_type_from_image_taxonomy
H2_EL_PT053,고2,수학Ⅰ,H2_EXP_LOG,지수와 로그,지수법칙의 도형 활용,거듭제곱근을 지수로 나타내기(1) 범주의 '지수법칙의 도형 활용' 유형을 진단한다.,H2_EL_C008|H2_EL_C009,advanced,power_root|nth_root|exponent_law|application_modeling,12|13,H2_EXP_LOG_RAW_007,주어진 수의 부호 표시|n의 홀짝 표시|실수근 존재 여부 표시|최종 계산,curated_problem_type_from_image_taxonomy
H2_EL_PT054,고2,수학Ⅰ,H2_EXP_LOG,지수와 로그,거듭제곱근을 이용한 지수 계산과 조건 파악,거듭제곱근을 지수로 나타내기(1) 범주의 '거듭제곱근을 이용한 지수 계산과 조건 파악' 유형을 진단한다.,H2_EL_C008|H2_EL_C009,advanced,power_root|nth_root|condition_judgment|exponent_law|algebraic_manipulation,12|13,H2_EXP_LOG_RAW_007,주어진 수의 부호 표시|n의 홀짝 표시|실수근 존재 여부 표시|최종 계산,curated_problem_type_from_image_taxonomy
H2_EL_PT055,고2,수학Ⅰ,H2_EXP_LOG,지수와 로그,밑이 문자인 경우 근호로 나타내어진 수를 유리수 지수로 나타내기,거듭제곱근을 지수로 나타내기(2) 범주의 '밑이 문자인 경우 근호로 나타내어진 수를 유리수 지수로 나타내기' 유형을 진단한다.,H2_EL_C008|H2_EL_C009,standard,power_root|nth_root|exponent_law|integer_natural_condition|domain_condition|symbolic_condition,14,H2_EXP_LOG_RAW_008,주어진 수의 부호 표시|n의 홀짝 표시|실수근 존재 여부 표시|최종 계산|소인수 지수표 작성|분수지수의 분모 조건 확인|정수/자연수 조건 구분,curated_problem_type_from_image_taxonomy
H2_EL_PT056,고2,수학Ⅰ,H2_EXP_LOG,지수와 로그,한 문자에 대한 지수가 유리수인 수의 계산,거듭제곱근을 지수로 나타내기(2) 범주의 '한 문자에 대한 지수가 유리수인 수의 계산' 유형을 진단한다.,H2_EL_C008|H2_EL_C009,standard,power_root|nth_root|exponent_law|integer_natural_condition|algebraic_manipulation|symbolic_condition,14,H2_EXP_LOG_RAW_008,주어진 수의 부호 표시|n의 홀짝 표시|실수근 존재 여부 표시|최종 계산|소인수 지수표 작성|분수지수의 분모 조건 확인|정수/자연수 조건 구분,curated_problem_type_from_image_taxonomy
H2_EL_PT057,고2,수학Ⅰ,H2_EXP_LOG,지수와 로그,한 문자에 대한 근호를 사용하여 나타내어진 수의 계산,거듭제곱근을 지수로 나타내기(2) 범주의 '한 문자에 대한 근호를 사용하여 나타내어진 수의 계산' 유형을 진단한다.,H2_EL_C008|H2_EL_C009,standard,power_root|nth_root|exponent_law|algebraic_manipulation|symbolic_condition,14,H2_EXP_LOG_RAW_008,주어진 수의 부호 표시|n의 홀짝 표시|실수근 존재 여부 표시|최종 계산,curated_problem_type_from_image_taxonomy
H2_EL_PT058,고2,수학Ⅰ,H2_EXP_LOG,지수와 로그,두 문자에 대한 근호를 사용하여 나타내어진 수의 계산,거듭제곱근을 지수로 나타내기(2) 범주의 '두 문자에 대한 근호를 사용하여 나타내어진 수의 계산' 유형을 진단한다.,H2_EL_C008|H2_EL_C009,standard,power_root|nth_root|exponent_law|algebraic_manipulation|symbolic_condition,14,H2_EXP_LOG_RAW_008,주어진 수의 부호 표시|n의 홀짝 표시|실수근 존재 여부 표시|최종 계산,curated_problem_type_from_image_taxonomy
