problem_type_id,grade,unit_id,unit_name,type_name,description,concept_ids,default_difficulty,error_tags,source_orders,status
M1_CG_PT011,중1,M1_COORD_GRAPH,좌표평면과 그래프,x축 또는 y축 위 점의 좌표·조건 구하기,x축 또는 y축 위 점의 좌표·조건 구하기,"[""M1_CG_C004""]",core,"[""axis_point"", ""zero_coordinate"", ""coordinate_condition""]",[2],curated_problem_type_from_raw_taxonomy
M1_CG_PT012,중1,M1_COORD_GRAPH,좌표평면과 그래프,좌표평면 위 도형의 넓이 구하기,좌표평면 위 도형의 넓이 구하기,"[""M1_CG_C005""]",core,"[""coordinate_geometry_area"", ""coordinate_distance""]",[2],curated_problem_type_from_raw_taxonomy
M1_CG_PT013,중1,M1_COORD_GRAPH,좌표평면과 그래프,좌표 조건으로 도형의 넓이 또는 미지수 구하기,좌표 조건으로 도형의 넓이 또는 미지수 구하기,"[""M1_CG_C005""]",advanced,"[""coordinate_geometry_area"", ""unknown_coordinate""]",[2],curated_problem_type_from_raw_taxonomy
M1_CG_PT014,중1,M1_COORD_GRAPH,좌표평면과 그래프,점이 위치한 사분면 판별,점이 위치한 사분면 판별,"[""M1_CG_C006""]",basic,"[""quadrant"", ""sign_coordinate""]",[3],curated_problem_type_from_raw_taxonomy
M1_CG_PT015,중1,M1_COORD_GRAPH,좌표평면과 그래프,사분면 빈칸 또는 조건 채우기,사분면 빈칸 또는 조건 채우기,"[""M1_CG_C006""]",core,"[""quadrant"", ""sign_coordinate"", ""condition_reasoning""]",[3],curated_problem_type_from_raw_taxonomy
M1_CG_PT016,중1,M1_COORD_GRAPH,좌표평면과 그래프,사분면이 주어진 경우 미지수 구하기,사분면이 주어진 경우 미지수 구하기,"[""M1_CG_C007""]",advanced,"[""quadrant"", ""unknown_coordinate"", ""inequality_condition""]",[3],curated_problem_type_from_raw_taxonomy
M1_CG_PT017,중1,M1_COORD_GRAPH,좌표평면과 그래프,두 수의 부호 관계로 사분면 결정,두 수의 부호 관계로 사분면 결정,"[""M1_CG_C007""]",advanced,"[""quadrant"", ""sign_relation"", ""condition_reasoning""]",[3],curated_problem_type_from_raw_taxonomy
M1_CG_PT018,중1,M1_COORD_GRAPH,좌표평면과 그래프,x축·y축·원점에 대한 대칭점의 좌표 구하기,x축·y축·원점에 대한 대칭점의 좌표 구하기,"[""M1_CG_C008""]",core,"[""symmetry"", ""sign_change"", ""coordinate_transformation""]",[4],curated_problem_type_from_raw_taxonomy
M1_CG_PT019,중1,M1_COORD_GRAPH,좌표평면과 그래프,대칭인 점으로 이루어진 도형 해석,대칭인 점으로 이루어진 도형 해석,"[""M1_CG_C008""]",advanced,"[""symmetry"", ""coordinate_geometry_area""]",[4],curated_problem_type_from_raw_taxonomy
M1_CG_PT020,중1,M1_COORD_GRAPH,좌표평면과 그래프,"x,y 사이의 관계를 표와 그래프로 표현","x,y 사이의 관계를 표와 그래프로 표현","[""M1_CG_C009""]",basic,"[""table_graph"", ""relationship_representation""]",[4],curated_problem_type_from_raw_taxonomy
M1_CG_PT021,중1,M1_COORD_GRAPH,좌표평면과 그래프,상황에 맞는 그래프 찾기,상황에 맞는 그래프 찾기,"[""M1_CG_C009"", ""M1_CG_C010""]",core,"[""graph_interpretation"", ""context_graph""]",[4],curated_problem_type_from_raw_taxonomy
M1_CG_PT022,중1,M1_COORD_GRAPH,좌표평면과 그래프,수치가 없는 그래프의 관계 또는 상황 해석,수치가 없는 그래프의 관계 또는 상황 해석,"[""M1_CG_C010""]",core,"[""graph_interpretation"", ""context_graph"", ""increase_decrease""]","[4, 5]",curated_problem_type_from_raw_taxonomy
M1_CG_PT023,중1,M1_COORD_GRAPH,좌표평면과 그래프,수치가 주어진 그래프에서 값 또는 좌표 구하기,수치가 주어진 그래프에서 값 또는 좌표 구하기,"[""M1_CG_C011""]",core,"[""graph_reading"", ""coordinate_reading"", ""value_from_graph""]",[5],curated_problem_type_from_raw_taxonomy
M1_CG_PT024,중1,M1_COORD_GRAPH,좌표평면과 그래프,그래프에서 미지수 또는 변화량 계산,그래프에서 미지수 또는 변화량 계산,"[""M1_CG_C011""]",advanced,"[""graph_reading"", ""unknown_value"", ""interval_difference""]",[5],curated_problem_type_from_raw_taxonomy
M1_CG_PT025,중1,M1_COORD_GRAPH,좌표평면과 그래프,물통의 모양과 그래프 대응,물통의 모양과 그래프 대응,"[""M1_CG_C010""]",core,"[""context_graph"", ""shape_graph""]",[5],curated_problem_type_from_raw_taxonomy
M1_CG_PT026,중1,M1_COORD_GRAPH,좌표평면과 그래프,여러 그래프 비교하기,여러 그래프 비교하기,"[""M1_CG_C012""]",advanced,"[""graph_comparison"", ""rate_comparison""]",[5],curated_problem_type_from_raw_taxonomy
M1_CG_PT027,중1,M1_COORD_GRAPH,좌표평면과 그래프,정비례 관계 판별,정비례 관계 판별,"[""M1_CG_C013""]",basic,"[""direct_proportion"", ""relationship_classification""]",[6],curated_problem_type_from_raw_taxonomy
M1_CG_PT028,중1,M1_COORD_GRAPH,좌표평면과 그래프,정비례 관계식 구하기,정비례 관계식 구하기,"[""M1_CG_C014""]",core,"[""direct_proportion"", ""formula_y_ax"", ""coefficient_a""]",[6],curated_problem_type_from_raw_taxonomy
M1_CG_PT029,중1,M1_COORD_GRAPH,좌표평면과 그래프,y=ax 그래프가 지나는 사분면 판단,y=ax 그래프가 지나는 사분면 판단,"[""M1_CG_C015""]",core,"[""direct_graph"", ""quadrant"", ""coefficient_sign""]",[6],curated_problem_type_from_raw_taxonomy
M1_CG_PT030,중1,M1_COORD_GRAPH,좌표평면과 그래프,y=ax에서 a 부호에 따른 y값 증감 판단,y=ax에서 a 부호에 따른 y값 증감 판단,"[""M1_CG_C015""]",core,"[""direct_graph"", ""coefficient_sign"", ""increase_decrease""]",[6],curated_problem_type_from_raw_taxonomy
M1_CG_PT031,중1,M1_COORD_GRAPH,좌표평면과 그래프,y=ax 그래프 그리기,y=ax 그래프 그리기,"[""M1_CG_C016""]",core,"[""direct_graph"", ""plotting_graph"", ""origin""]",[6],curated_problem_type_from_raw_taxonomy
M1_CG_PT032,중1,M1_COORD_GRAPH,좌표평면과 그래프,y=ax 그래프와 a값 사이의 관계 비교,y=ax 그래프와 a값 사이의 관계 비교,"[""M1_CG_C015"", ""M1_CG_C018""]",advanced,"[""direct_graph"", ""coefficient_a"", ""graph_comparison""]",[6],curated_problem_type_from_raw_taxonomy
M1_CG_PT033,중1,M1_COORD_GRAPH,좌표평면과 그래프,y=ax 그래프 위의 점 구하기,y=ax 그래프 위의 점 구하기,"[""M1_CG_C017""]",core,"[""direct_graph"", ""point_on_graph"", ""substitution""]",[7],curated_problem_type_from_raw_taxonomy
M1_CG_PT034,중1,M1_COORD_GRAPH,좌표평면과 그래프,y=ax 그래프 위 점을 이용한 미지수 구하기,y=ax 그래프 위 점을 이용한 미지수 구하기,"[""M1_CG_C017"", ""M1_CG_C018""]",advanced,"[""direct_graph"", ""unknown_value"", ""substitution""]",[7],curated_problem_type_from_raw_taxonomy
M1_CG_PT035,중1,M1_COORD_GRAPH,좌표평면과 그래프,y=ax 그래프 위 점을 이용한 다른 점 또는 도형 조건 구하기,y=ax 그래프 위 점을 이용한 다른 점 또는 도형 조건 구하기,"[""M1_CG_C017"", ""M1_CG_C019""]",advanced,"[""direct_graph"", ""coordinate_condition"", ""coordinate_geometry_area""]",[7],curated_problem_type_from_raw_taxonomy
M1_CG_PT036,중1,M1_COORD_GRAPH,좌표평면과 그래프,y=ax 그래프의 성질 설명,y=ax 그래프의 성질 설명,"[""M1_CG_C015""]",core,"[""direct_graph"", ""graph_property"", ""origin""]",[7],curated_problem_type_from_raw_taxonomy
M1_CG_PT037,중1,M1_COORD_GRAPH,좌표평면과 그래프,지나는 한 점을 이용하여 y=ax의 a값 구하기,지나는 한 점을 이용하여 y=ax의 a값 구하기,"[""M1_CG_C018""]",core,"[""direct_graph"", ""coefficient_a"", ""substitution""]",[7],curated_problem_type_from_raw_taxonomy
M1_CG_PT038,중1,M1_COORD_GRAPH,좌표평면과 그래프,y=ax의 식 구하기,y=ax의 식 구하기,"[""M1_CG_C014"", ""M1_CG_C018""]",core,"[""direct_proportion"", ""formula_y_ax"", ""coefficient_a""]",[8],curated_problem_type_from_raw_taxonomy
M1_CG_PT039,중1,M1_COORD_GRAPH,좌표평면과 그래프,y=ax 그래프와 도형의 넓이 구하기,y=ax 그래프와 도형의 넓이 구하기,"[""M1_CG_C019""]",advanced,"[""direct_graph"", ""coordinate_geometry_area"", ""area_condition""]",[8],curated_problem_type_from_raw_taxonomy
M1_CG_PT040,중1,M1_COORD_GRAPH,좌표평면과 그래프,반비례 관계 판별,반비례 관계 판별,"[""M1_CG_C020""]",basic,"[""inverse_proportion"", ""relationship_classification""]",[9],curated_problem_type_from_raw_taxonomy
M1_CG_PT041,중1,M1_COORD_GRAPH,좌표평면과 그래프,반비례 관계식 구하기,반비례 관계식 구하기,"[""M1_CG_C021""]",core,"[""inverse_proportion"", ""formula_y_a_over_x"", ""constant_a""]",[9],curated_problem_type_from_raw_taxonomy
M1_CG_PT042,중1,M1_COORD_GRAPH,좌표평면과 그래프,정비례와 반비례 관계식 구분하기,정비례와 반비례 관계식 구분하기,"[""M1_CG_C013"", ""M1_CG_C020""]",core,"[""relationship_classification"", ""direct_proportion"", ""inverse_proportion""]",[9],curated_problem_type_from_raw_taxonomy
M1_CG_PT043,중1,M1_COORD_GRAPH,좌표평면과 그래프,y=a/x 그래프가 지나는 사분면 판단,y=a/x 그래프가 지나는 사분면 판단,"[""M1_CG_C022""]",core,"[""inverse_graph"", ""quadrant"", ""constant_sign""]","[9, 10]",curated_problem_type_from_raw_taxonomy
M1_CG_PT044,중1,M1_COORD_GRAPH,좌표평면과 그래프,y=a/x에서 a 부호에 따른 y값 증감 판단,y=a/x에서 a 부호에 따른 y값 증감 판단,"[""M1_CG_C022""]",core,"[""inverse_graph"", ""constant_sign"", ""increase_decrease""]",[9],curated_problem_type_from_raw_taxonomy
M1_CG_PT045,중1,M1_COORD_GRAPH,좌표평면과 그래프,y=a/x 그래프 그리기,y=a/x 그래프 그리기,"[""M1_CG_C023""]",advanced,"[""inverse_graph"", ""plotting_graph"", ""curve""]",[9],curated_problem_type_from_raw_taxonomy
M1_CG_PT046,중1,M1_COORD_GRAPH,좌표평면과 그래프,y=a/x 그래프와 a값 또는 곱 사이의 관계 비교,y=a/x 그래프와 a값 또는 곱 사이의 관계 비교,"[""M1_CG_C022"", ""M1_CG_C025""]",advanced,"[""inverse_graph"", ""constant_a"", ""graph_comparison""]","[9, 10]",curated_problem_type_from_raw_taxonomy
M1_CG_PT047,중1,M1_COORD_GRAPH,좌표평면과 그래프,y=a/x 그래프 위의 점 구하기,y=a/x 그래프 위의 점 구하기,"[""M1_CG_C024""]",core,"[""inverse_graph"", ""point_on_graph"", ""substitution""]","[9, 10]",curated_problem_type_from_raw_taxonomy
M1_CG_PT048,중1,M1_COORD_GRAPH,좌표평면과 그래프,y=a/x 그래프 위 점을 이용한 미지수 구하기,y=a/x 그래프 위 점을 이용한 미지수 구하기,"[""M1_CG_C024"", ""M1_CG_C025""]",advanced,"[""inverse_graph"", ""unknown_value"", ""substitution""]","[10, 11]",curated_problem_type_from_raw_taxonomy
M1_CG_PT049,중1,M1_COORD_GRAPH,좌표평면과 그래프,y=a/x 그래프의 성질 설명,y=a/x 그래프의 성질 설명,"[""M1_CG_C022""]",core,"[""inverse_graph"", ""graph_property"", ""curve""]","[10, 11]",curated_problem_type_from_raw_taxonomy
M1_CG_PT050,중1,M1_COORD_GRAPH,좌표평면과 그래프,지나는 한 점을 이용하여 y=a/x의 a값 구하기,지나는 한 점을 이용하여 y=a/x의 a값 구하기,"[""M1_CG_C025""]",core,"[""inverse_graph"", ""constant_a"", ""substitution""]",[10],curated_problem_type_from_raw_taxonomy
M1_CG_PT051,중1,M1_COORD_GRAPH,좌표평면과 그래프,y=a/x의 식 구하기,y=a/x의 식 구하기,"[""M1_CG_C021"", ""M1_CG_C025""]",core,"[""inverse_proportion"", ""formula_y_a_over_x"", ""constant_a""]","[10, 11]",curated_problem_type_from_raw_taxonomy
M1_CG_PT052,중1,M1_COORD_GRAPH,좌표평면과 그래프,y=a/x 그래프와 도형의 넓이 구하기,y=a/x 그래프와 도형의 넓이 구하기,"[""M1_CG_C025"", ""M1_CG_C022""]",advanced,"[""inverse_graph"", ""coordinate_geometry_area"", ""area_condition""]",[11],curated_problem_type_from_raw_taxonomy
M1_CG_PT053,중1,M1_COORD_GRAPH,좌표평면과 그래프,정비례 그래프와 반비례 그래프의 교점 구하기,정비례 그래프와 반비례 그래프의 교점 구하기,"[""M1_CG_C026""]",advanced,"[""intersection"", ""direct_graph"", ""inverse_graph""]",[11],curated_problem_type_from_raw_taxonomy
M1_CG_PT054,중1,M1_COORD_GRAPH,좌표평면과 그래프,교점을 이용한 미지수 또는 관계식 구하기,교점을 이용한 미지수 또는 관계식 구하기,"[""M1_CG_C026""]",advanced,"[""intersection"", ""unknown_value"", ""simultaneous_condition""]",[11],curated_problem_type_from_raw_taxonomy
M1_CG_PT055,중1,M1_COORD_GRAPH,좌표평면과 그래프,정비례 관계 활용: 표 채우기와 관계식 구하기,정비례 관계 활용: 표 채우기와 관계식 구하기,"[""M1_CG_C027"", ""M1_CG_C014""]",core,"[""direct_application"", ""table_to_expression"", ""formula_y_ax""]",[12],curated_problem_type_from_raw_taxonomy
M1_CG_PT056,중1,M1_COORD_GRAPH,좌표평면과 그래프,정비례 관계 활용: 그래프 그리기와 값 구하기,정비례 관계 활용: 그래프 그리기와 값 구하기,"[""M1_CG_C027"", ""M1_CG_C016""]",core,"[""direct_application"", ""expression_to_graph"", ""graph_reading""]",[12],curated_problem_type_from_raw_taxonomy
M1_CG_PT057,중1,M1_COORD_GRAPH,좌표평면과 그래프,정비례 관계 활용: 두 그래프 비교하기,정비례 관계 활용: 두 그래프 비교하기,"[""M1_CG_C027"", ""M1_CG_C012""]",advanced,"[""direct_application"", ""graph_comparison""]",[12],curated_problem_type_from_raw_taxonomy
M1_CG_PT058,중1,M1_COORD_GRAPH,좌표평면과 그래프,반비례 관계 활용: 표 채우기와 관계식 구하기,반비례 관계 활용: 표 채우기와 관계식 구하기,"[""M1_CG_C027"", ""M1_CG_C021""]",core,"[""inverse_application"", ""table_to_expression"", ""formula_y_a_over_x""]",[13],curated_problem_type_from_raw_taxonomy
M1_CG_PT059,중1,M1_COORD_GRAPH,좌표평면과 그래프,반비례 관계 활용: 그래프 그리기와 값 구하기,반비례 관계 활용: 그래프 그리기와 값 구하기,"[""M1_CG_C027"", ""M1_CG_C023""]",core,"[""inverse_application"", ""expression_to_graph"", ""graph_reading""]",[13],curated_problem_type_from_raw_taxonomy
M1_CG_PT060,중1,M1_COORD_GRAPH,좌표평면과 그래프,반비례 관계 활용 문제 풀이,반비례 관계 활용 문제 풀이,"[""M1_CG_C028"", ""M1_CG_C021""]",advanced,"[""inverse_application"", ""word_problem"", ""relationship_classification""]",[13],curated_problem_type_from_raw_taxonomy
M1_CG_PT061,중1,M1_COORD_GRAPH,좌표평면과 그래프,정비례·반비례 복합 활용,정비례·반비례 복합 활용,"[""M1_CG_C028"", ""M1_CG_C026""]",advanced,"[""mixed_proportion"", ""word_problem"", ""relationship_classification""]",[13],curated_problem_type_from_raw_taxonomy
