problem_type_id,type_name,concept_ids,default_difficulty,error_tags,source_orders,raw_section_id,description
M2_LF_PT041,기울기 양수/음수 판단,M2_FUNC_C011,basic,slope_sign;increasing_decreasing;graph_shape,22,M2_LF_RAW_011,기울기 범주의 '기울기에 따른 그래프 모양' 유형을 진단한다. 학생이 식·표·그래프·좌표를 서로 바꾸어 해석할 수 있는지 확인한다.
M2_LF_PT042,기울기에 따른 그래프 모양 - 기울기 크기와 그래프 기울어진 정도,M2_FUNC_C011,standard,slope_sign;increasing_decreasing;graph_shape,22,M2_LF_RAW_011,기울기 범주의 '기울기에 따른 그래프 모양' 유형을 진단한다. 학생이 식·표·그래프·좌표를 서로 바꾸어 해석할 수 있는지 확인한다.
M2_LF_PT043,기울기에 따른 그래프 모양 - 감소·증가 그래프 구분,M2_FUNC_C011,standard,slope_sign;increasing_decreasing;graph_shape,22,M2_LF_RAW_011,기울기 범주의 '기울기에 따른 그래프 모양' 유형을 진단한다. 학생이 식·표·그래프·좌표를 서로 바꾸어 해석할 수 있는지 확인한다.
M2_LF_PT044,기울기에 따른 그래프 모양 - 기울기에 따른 그래프 모양,M2_FUNC_C011,advanced,slope_sign;increasing_decreasing;graph_shape,22,M2_LF_RAW_011,기울기 범주의 '기울기에 따른 그래프 모양' 유형을 진단한다. 학생이 식·표·그래프·좌표를 서로 바꾸어 해석할 수 있는지 확인한다.
M2_LF_PT045,두 점의 좌표로 기울기 구하기,M2_FUNC_C012,standard,slope_from_two_points;coordinate_order;fraction_slope,22;23,M2_LF_RAW_012,기울기 범주의 '두 점을 지나는 직선의 기울기' 유형을 진단한다. 학생이 식·표·그래프·좌표를 서로 바꾸어 해석할 수 있는지 확인한다.
M2_LF_PT046,두 점을 지나는 직선의 기울기 - 좌표 순서 오류 판별,M2_FUNC_C012,standard,slope_from_two_points;coordinate_order;fraction_slope,22;23,M2_LF_RAW_012,기울기 범주의 '두 점을 지나는 직선의 기울기' 유형을 진단한다. 학생이 식·표·그래프·좌표를 서로 바꾸어 해석할 수 있는지 확인한다.
M2_LF_PT047,두 점을 지나는 직선의 기울기 - 수직/수평에 가까운 그래프 해석,M2_FUNC_C012,advanced,slope_from_two_points;coordinate_order;fraction_slope,22;23,M2_LF_RAW_012,기울기 범주의 '두 점을 지나는 직선의 기울기' 유형을 진단한다. 학생이 식·표·그래프·좌표를 서로 바꾸어 해석할 수 있는지 확인한다.
M2_LF_PT048,두 점을 지나는 직선의 기울기 - 두 점을 지나는 직선의 기울기,M2_FUNC_C012,basic,slope_from_two_points;coordinate_order;fraction_slope,22;23,M2_LF_RAW_012,기울기 범주의 '두 점을 지나는 직선의 기울기' 유형을 진단한다. 학생이 식·표·그래프·좌표를 서로 바꾸어 해석할 수 있는지 확인한다.
M2_LF_PT049,식에서 기울기·y절편 읽기,M2_FUNC_C013;M2_FUNC_C014,standard,slope_intercept;coefficient_reading;graph_equation_match,23,M2_LF_RAW_013,그래프 해석 범주의 '기울기와 y절편 관계' 유형을 진단한다. 학생이 식·표·그래프·좌표를 서로 바꾸어 해석할 수 있는지 확인한다.
M2_LF_PT050,기울기와 y절편 관계 - 그래프에서 식의 계수 판단,M2_FUNC_C013;M2_FUNC_C014,advanced,slope_intercept;coefficient_reading;graph_equation_match,23,M2_LF_RAW_013,그래프 해석 범주의 '기울기와 y절편 관계' 유형을 진단한다. 학생이 식·표·그래프·좌표를 서로 바꾸어 해석할 수 있는지 확인한다.
M2_LF_PT051,기울기와 y절편 관계 - 기울기와 절편 조건 연결,M2_FUNC_C013;M2_FUNC_C014,basic,slope_intercept;coefficient_reading;graph_equation_match,23,M2_LF_RAW_013,그래프 해석 범주의 '기울기와 y절편 관계' 유형을 진단한다. 학생이 식·표·그래프·좌표를 서로 바꾸어 해석할 수 있는지 확인한다.
M2_LF_PT052,기울기와 y절편 관계 - 기울기와 y절편 관계,M2_FUNC_C013;M2_FUNC_C014,basic,slope_intercept;coefficient_reading;graph_equation_match,23,M2_LF_RAW_013,그래프 해석 범주의 '기울기와 y절편 관계' 유형을 진단한다. 학생이 식·표·그래프·좌표를 서로 바꾸어 해석할 수 있는지 확인한다.
M2_LF_PT053,두 점 잡아 그래프 그리기,M2_FUNC_C014,advanced,graph_drawing;two_points;intercepts,24,M2_LF_RAW_014,그래프 그리기 범주의 '일차함수 그래프 그리기' 유형을 진단한다. 학생이 식·표·그래프·좌표를 서로 바꾸어 해석할 수 있는지 확인한다.
M2_LF_PT054,일차함수 그래프 그리기 - 절편을 이용한 그래프,M2_FUNC_C014,basic,graph_drawing;two_points;intercepts,24,M2_LF_RAW_014,그래프 그리기 범주의 '일차함수 그래프 그리기' 유형을 진단한다. 학생이 식·표·그래프·좌표를 서로 바꾸어 해석할 수 있는지 확인한다.
M2_LF_PT055,일차함수 그래프 그리기 - 주어진 그래프와 식 매칭,M2_FUNC_C014,basic,graph_drawing;two_points;intercepts,24,M2_LF_RAW_014,그래프 그리기 범주의 '일차함수 그래프 그리기' 유형을 진단한다. 학생이 식·표·그래프·좌표를 서로 바꾸어 해석할 수 있는지 확인한다.
M2_LF_PT056,일차함수 그래프 그리기 - 일차함수 그래프 그리기,M2_FUNC_C014,standard,graph_drawing;two_points;intercepts,24,M2_LF_RAW_014,그래프 그리기 범주의 '일차함수 그래프 그리기' 유형을 진단한다. 학생이 식·표·그래프·좌표를 서로 바꾸어 해석할 수 있는지 확인한다.
M2_LF_PT057,절편으로 삼각형 넓이 구하기,M2_FUNC_C015,basic,axis_triangle_area;intercepts;absolute_length,24;25,M2_LF_RAW_015,도형 범주의 '좌표축으로 둘러싸인 넓이' 유형을 진단한다. 학생이 식·표·그래프·좌표를 서로 바꾸어 해석할 수 있는지 확인한다.
M2_LF_PT058,좌표축으로 둘러싸인 넓이 - 좌표축과 직선의 교점 활용,M2_FUNC_C015,basic,axis_triangle_area;intercepts;absolute_length,24;25,M2_LF_RAW_015,도형 범주의 '좌표축으로 둘러싸인 넓이' 유형을 진단한다. 학생이 식·표·그래프·좌표를 서로 바꾸어 해석할 수 있는지 확인한다.
M2_LF_PT059,좌표축으로 둘러싸인 넓이 - 음수 절편의 길이 처리,M2_FUNC_C015,standard,axis_triangle_area;intercepts;absolute_length,24;25,M2_LF_RAW_015,도형 범주의 '좌표축으로 둘러싸인 넓이' 유형을 진단한다. 학생이 식·표·그래프·좌표를 서로 바꾸어 해석할 수 있는지 확인한다.
M2_LF_PT060,좌표축으로 둘러싸인 넓이 - 좌표축으로 둘러싸인 넓이,M2_FUNC_C015,standard,axis_triangle_area;intercepts;absolute_length,24;25,M2_LF_RAW_015,도형 범주의 '좌표축으로 둘러싸인 넓이' 유형을 진단한다. 학생이 식·표·그래프·좌표를 서로 바꾸어 해석할 수 있는지 확인한다.
M2_LF_PT061,같은 기울기 비교,M2_FUNC_C016,basic,slope_property;parallel_slope;unknown_condition,25,M2_LF_RAW_016,기울기 성질 범주의 '기울기의 성질 활용' 유형을 진단한다. 학생이 식·표·그래프·좌표를 서로 바꾸어 해석할 수 있는지 확인한다.
M2_LF_PT062,기울기의 성질 활용 - 기울기와 변화량 비례,M2_FUNC_C016,standard,slope_property;parallel_slope;unknown_condition,25,M2_LF_RAW_016,기울기 성질 범주의 '기울기의 성질 활용' 유형을 진단한다. 학생이 식·표·그래프·좌표를 서로 바꾸어 해석할 수 있는지 확인한다.
M2_LF_PT063,기울기의 성질 활용 - 기울기 조건으로 미지수 구하기,M2_FUNC_C016,standard,slope_property;parallel_slope;unknown_condition,25,M2_LF_RAW_016,기울기 성질 범주의 '기울기의 성질 활용' 유형을 진단한다. 학생이 식·표·그래프·좌표를 서로 바꾸어 해석할 수 있는지 확인한다.
M2_LF_PT064,기울기의 성질 활용 - 기울기의 성질 활용,M2_FUNC_C016,advanced,slope_property;parallel_slope;unknown_condition,25,M2_LF_RAW_016,기울기 성질 범주의 '기울기의 성질 활용' 유형을 진단한다. 학생이 식·표·그래프·좌표를 서로 바꾸어 해석할 수 있는지 확인한다.
M2_LF_PT065,"a,b 부호로 그래프 위치 판단",M2_FUNC_C017;M2_FUNC_C018,standard,coefficient_sign;quadrant;intercept_sign,26,M2_LF_RAW_017,"계수와 그래프 범주의 'a,b 부호와 사분면' 유형을 진단한다. 학생이 식·표·그래프·좌표를 서로 바꾸어 해석할 수 있는지 확인한다."
M2_LF_PT066,"a,b 부호와 사분면 - 그래프가 지나는 사분면",M2_FUNC_C017;M2_FUNC_C018,standard,coefficient_sign;quadrant;intercept_sign,26,M2_LF_RAW_017,"계수와 그래프 범주의 'a,b 부호와 사분면' 유형을 진단한다. 학생이 식·표·그래프·좌표를 서로 바꾸어 해석할 수 있는지 확인한다."
M2_LF_PT067,"a,b 부호와 사분면 - y절편 부호와 방향 연결",M2_FUNC_C017;M2_FUNC_C018,advanced,coefficient_sign;quadrant;intercept_sign,26,M2_LF_RAW_017,"계수와 그래프 범주의 'a,b 부호와 사분면' 유형을 진단한다. 학생이 식·표·그래프·좌표를 서로 바꾸어 해석할 수 있는지 확인한다."
M2_LF_PT068,"a,b 부호와 사분면 - a,b 부호와 사분면",M2_FUNC_C017;M2_FUNC_C018,basic,coefficient_sign;quadrant;intercept_sign,26,M2_LF_RAW_017,"계수와 그래프 범주의 'a,b 부호와 사분면' 유형을 진단한다. 학생이 식·표·그래프·좌표를 서로 바꾸어 해석할 수 있는지 확인한다."
M2_LF_PT069,식의 계수 변화와 그래프 변화,M2_FUNC_C018,standard,coefficient_graph_relation;graph_comparison;parameter_range,26;27,M2_LF_RAW_018,계수와 그래프 범주의 '그래프와 계수 관계 종합' 유형을 진단한다. 학생이 식·표·그래프·좌표를 서로 바꾸어 해석할 수 있는지 확인한다.
M2_LF_PT070,그래프와 계수 관계 종합 - 그래프 비교,M2_FUNC_C018,advanced,coefficient_graph_relation;graph_comparison;parameter_range,26;27,M2_LF_RAW_018,계수와 그래프 범주의 '그래프와 계수 관계 종합' 유형을 진단한다. 학생이 식·표·그래프·좌표를 서로 바꾸어 해석할 수 있는지 확인한다.
M2_LF_PT071,"그래프와 계수 관계 종합 - 조건에 맞는 a,b 범위 판단",M2_FUNC_C018,basic,coefficient_graph_relation;graph_comparison;parameter_range,26;27,M2_LF_RAW_018,계수와 그래프 범주의 '그래프와 계수 관계 종합' 유형을 진단한다. 학생이 식·표·그래프·좌표를 서로 바꾸어 해석할 수 있는지 확인한다.
M2_LF_PT072,그래프와 계수 관계 종합 - 그래프와 계수 관계 종합,M2_FUNC_C018,basic,coefficient_graph_relation;graph_comparison;parameter_range,26;27,M2_LF_RAW_018,계수와 그래프 범주의 '그래프와 계수 관계 종합' 유형을 진단한다. 학생이 식·표·그래프·좌표를 서로 바꾸어 해석할 수 있는지 확인한다.
M2_LF_PT073,평행 조건 판단,M2_FUNC_C019,advanced,parallel_lines;same_slope;different_intercept,27,M2_LF_RAW_019,위치 관계 범주의 '평행한 직선' 유형을 진단한다. 학생이 식·표·그래프·좌표를 서로 바꾸어 해석할 수 있는지 확인한다.
M2_LF_PT074,평행한 직선 - 기울기가 같은 직선의 식,M2_FUNC_C019,basic,parallel_lines;same_slope;different_intercept,27,M2_LF_RAW_019,위치 관계 범주의 '평행한 직선' 유형을 진단한다. 학생이 식·표·그래프·좌표를 서로 바꾸어 해석할 수 있는지 확인한다.
M2_LF_PT075,평행한 직선 - 서로 다른 y절편 확인,M2_FUNC_C019,basic,parallel_lines;same_slope;different_intercept,27,M2_LF_RAW_019,위치 관계 범주의 '평행한 직선' 유형을 진단한다. 학생이 식·표·그래프·좌표를 서로 바꾸어 해석할 수 있는지 확인한다.
M2_LF_PT076,평행한 직선 - 평행한 직선,M2_FUNC_C019,standard,parallel_lines;same_slope;different_intercept,27,M2_LF_RAW_019,위치 관계 범주의 '평행한 직선' 유형을 진단한다. 학생이 식·표·그래프·좌표를 서로 바꾸어 해석할 수 있는지 확인한다.
M2_LF_PT077,두 식이 같은 직선이 되는 조건,M2_FUNC_C020,basic,coincident_lines;same_line_condition;coefficient_ratio,28,M2_LF_RAW_020,위치 관계 범주의 '일치하는 직선' 유형을 진단한다. 학생이 식·표·그래프·좌표를 서로 바꾸어 해석할 수 있는지 확인한다.
M2_LF_PT078,일치하는 직선 - 계수비 비교,M2_FUNC_C020,basic,coincident_lines;same_line_condition;coefficient_ratio,28,M2_LF_RAW_020,위치 관계 범주의 '일치하는 직선' 유형을 진단한다. 학생이 식·표·그래프·좌표를 서로 바꾸어 해석할 수 있는지 확인한다.
M2_LF_PT079,일치하는 직선 - 일치와 평행 구분,M2_FUNC_C020,standard,coincident_lines;same_line_condition;coefficient_ratio,28,M2_LF_RAW_020,위치 관계 범주의 '일치하는 직선' 유형을 진단한다. 학생이 식·표·그래프·좌표를 서로 바꾸어 해석할 수 있는지 확인한다.
M2_LF_PT080,일치하는 직선 - 일치하는 직선,M2_FUNC_C020,standard,coincident_lines;same_line_condition;coefficient_ratio,28,M2_LF_RAW_020,위치 관계 범주의 '일치하는 직선' 유형을 진단한다. 학생이 식·표·그래프·좌표를 서로 바꾸어 해석할 수 있는지 확인한다.
M2_LF_PT081,기울기와 y절편이 주어진 직선,M2_FUNC_C021,basic,line_equation_from_slope_intercept;slope_intercept,28;29,M2_LF_RAW_021,식 구하기 범주의 '기울기와 y절편으로 식 구하기' 유형을 진단한다. 학생이 식·표·그래프·좌표를 서로 바꾸어 해석할 수 있는지 확인한다.
M2_LF_PT082,기울기와 y절편으로 식 구하기 - 그래프에서 y=ax+b 구하기,M2_FUNC_C021,standard,line_equation_from_slope_intercept;slope_intercept,28;29,M2_LF_RAW_021,식 구하기 범주의 '기울기와 y절편으로 식 구하기' 유형을 진단한다. 학생이 식·표·그래프·좌표를 서로 바꾸어 해석할 수 있는지 확인한다.
M2_LF_PT083,기울기와 y절편으로 식 구하기 - 절편 조건으로 식 완성,M2_FUNC_C021,standard,line_equation_from_slope_intercept;slope_intercept,28;29,M2_LF_RAW_021,식 구하기 범주의 '기울기와 y절편으로 식 구하기' 유형을 진단한다. 학생이 식·표·그래프·좌표를 서로 바꾸어 해석할 수 있는지 확인한다.
M2_LF_PT084,기울기와 y절편으로 식 구하기 - 기울기와 y절편으로 식 구하기,M2_FUNC_C021,advanced,line_equation_from_slope_intercept;slope_intercept,28;29,M2_LF_RAW_021,식 구하기 범주의 '기울기와 y절편으로 식 구하기' 유형을 진단한다. 학생이 식·표·그래프·좌표를 서로 바꾸어 해석할 수 있는지 확인한다.
M2_LF_PT085,점-기울기 조건,M2_FUNC_C022,standard,line_equation_from_point_slope;substitute_point;find_b,29,M2_LF_RAW_022,식 구하기 범주의 '기울기와 한 점으로 식 구하기' 유형을 진단한다. 학생이 식·표·그래프·좌표를 서로 바꾸어 해석할 수 있는지 확인한다.
M2_LF_PT086,기울기와 한 점으로 식 구하기 - 대입으로 b 구하기,M2_FUNC_C022,standard,line_equation_from_point_slope;substitute_point;find_b,29,M2_LF_RAW_022,식 구하기 범주의 '기울기와 한 점으로 식 구하기' 유형을 진단한다. 학생이 식·표·그래프·좌표를 서로 바꾸어 해석할 수 있는지 확인한다.
