problem_type_id,type_name,concept_ids,default_difficulty,error_tags,source_orders,raw_section_id
M2_LI_PT019,부등호 방향이 다른 부등식 찾기,"M2_LI_C006,M2_LI_C007,M2_LI_C008",intermediate,inequality_direction,"2,3",M2_LI_RAW_008
M2_LI_PT020,대소 관계와 부등호 방향 - 조건을 만족시키는 값 구하기,"M2_LI_C006,M2_LI_C007,M2_LI_C008",advanced,inequality_direction,"2,3",M2_LI_RAW_008
M2_LI_PT021,두 미지수의 부호 조건,"M2_LI_C006,M2_LI_C007,M2_LI_C008",basic,inequality_direction,"2,3",M2_LI_RAW_009
M2_LI_PT022,세 미지수 조건,"M2_LI_C006,M2_LI_C007,M2_LI_C008",basic,inequality_direction,"2,3",M2_LI_RAW_009
M2_LI_PT023,x의 범위가 주어진 때 다항식의 값의 범위,M2_LI_C009,basic,linear_inequality,4,M2_LI_RAW_010
M2_LI_PT024,다항식 값의 범위가 주어진 때 x의 범위,M2_LI_C009,basic,linear_inequality,4,M2_LI_RAW_010
M2_LI_PT025,다항식의 값의 범위로 다른 식의 값 범위 구하기,M2_LI_C009,intermediate,linear_inequality,4,M2_LI_RAW_010
M2_LI_PT026,한 문자 식의 값 범위 - 조건을 만족시키는 값 구하기,M2_LI_C009,advanced,linear_inequality,4,M2_LI_RAW_010
M2_LI_PT027,다항식 값의 범위 구하기,M2_LI_C010,basic,linear_inequality,4,M2_LI_RAW_011
M2_LI_PT028,식에 포함된 미지수의 범위 구하기,M2_LI_C010,basic,linear_inequality,4,M2_LI_RAW_011
M2_LI_PT029,일차부등식의 판단,M2_LI_C011,basic,linear_inequality,4,M2_LI_RAW_012
M2_LI_PT030,일차부등식 조건,M2_LI_C011,basic,linear_inequality,4,M2_LI_RAW_012
M2_LI_PT031,이차항을 포함하지 않는 경우,M2_LI_C012,intermediate,linear_inequality,4,M2_LI_RAW_013
M2_LI_PT032,이차항을 포함하는 경우,M2_LI_C012,intermediate,linear_inequality,4,M2_LI_RAW_013
M2_LI_PT033,일차부등식 풀기,M2_LI_C013,intermediate,linear_inequality,5,M2_LI_RAW_014
M2_LI_PT034,일차부등식을 만족시키는 조건에 맞는 수,M2_LI_C013,intermediate,linear_inequality,5,M2_LI_RAW_014
M2_LI_PT035,방정식을 이용한 일차부등식 풀이,M2_LI_C013,intermediate,linear_inequality,5,M2_LI_RAW_014
M2_LI_PT036,부등식의 해를 수직선 위에 나타내기,M2_LI_C017,intermediate,"number_line_solution,solution_check",5,M2_LI_RAW_015
M2_LI_PT037,빈 원과 찬 원 구분,M2_LI_C017,intermediate,"number_line_solution,solution_check",5,M2_LI_RAW_015
M2_LI_PT038,괄호가 있는 일차부등식 풀기,M2_LI_C014,intermediate,linear_inequality,5,M2_LI_RAW_016
M2_LI_PT039,일차부등식을 만족시키는 조건에 맞는 수,M2_LI_C014,intermediate,linear_inequality,5,M2_LI_RAW_016
M2_LI_PT040,분배법칙 적용,M2_LI_C014,intermediate,linear_inequality,5,M2_LI_RAW_016
M2_LI_PT041,계수가 소수인 경우,"M2_LI_C015,M2_LI_C008",intermediate,inequality_direction,6,M2_LI_RAW_017
M2_LI_PT042,계수가 분수인 경우,"M2_LI_C015,M2_LI_C008",intermediate,inequality_direction,6,M2_LI_RAW_017
M2_LI_PT043,계수에 소수와 분수 모두 포함된 경우,"M2_LI_C015,M2_LI_C008",intermediate,inequality_direction,6,M2_LI_RAW_017
M2_LI_PT044,계수가 소수 또는 분수인 일차부등식의 풀이 - 조건을 만족시키는 값 구하기,"M2_LI_C015,M2_LI_C008",advanced,inequality_direction,6,M2_LI_RAW_017
M2_LI_PT045,문자의 범위 또는 조건이 주어진 경우,M2_LI_C016,intermediate,inequality_direction,6,M2_LI_RAW_018
M2_LI_PT046,문자를 포함한 부등식이 주어진 경우,M2_LI_C016,intermediate,inequality_direction,6,M2_LI_RAW_018
M2_LI_PT047,문자가 2개 이상인 경우,M2_LI_C016,intermediate,inequality_direction,6,M2_LI_RAW_018
M2_LI_PT048,x의 계수가 문자인 일차부등식의 풀이 - 조건을 만족시키는 값 구하기,M2_LI_C016,advanced,inequality_direction,6,M2_LI_RAW_018
M2_LI_PT049,부등식의 해가 주어진 경우,M2_LI_C018,intermediate,solution_check,7,M2_LI_RAW_019
M2_LI_PT050,수직선으로 주어진 경우,M2_LI_C018,intermediate,solution_check,7,M2_LI_RAW_019
M2_LI_PT051,조건으로 주어진 경우,M2_LI_C018,intermediate,solution_check,7,M2_LI_RAW_019
M2_LI_PT052,부등식의 해가 주어진 경우,"M2_LI_C018,M2_LI_C016",intermediate,"inequality_direction,solution_check",7,M2_LI_RAW_020
M2_LI_PT053,수직선으로 주어진 경우,"M2_LI_C018,M2_LI_C016",intermediate,"inequality_direction,solution_check",7,M2_LI_RAW_020
M2_LI_PT054,문자가 2개 이상인 경우,"M2_LI_C018,M2_LI_C016",intermediate,"inequality_direction,solution_check",7,M2_LI_RAW_020
M2_LI_PT055,미지수 구하기,M2_LI_C019,intermediate,solution_check,7,M2_LI_RAW_021
M2_LI_PT056,해가 같은 부등식 고르기,M2_LI_C019,intermediate,solution_check,7,M2_LI_RAW_021
M2_LI_PT057,미지수의 값 구하기,M2_LI_C020,intermediate,"integer_solution_count,solution_check",8,M2_LI_RAW_022
M2_LI_PT058,미지수의 값의 범위 구하기,M2_LI_C020,intermediate,"integer_solution_count,solution_check",8,M2_LI_RAW_022
M2_LI_PT059,문자가 2개 이상인 경우,M2_LI_C020,intermediate,"integer_solution_count,solution_check",8,M2_LI_RAW_022
M2_LI_PT060,해 중 최댓값 또는 최솟값이 주어진 일차부등식 - 조건을 만족시키는 값 구하기,M2_LI_C020,advanced,"integer_solution_count,solution_check",8,M2_LI_RAW_022
M2_LI_PT061,자연수인 해가 존재하지 않는 일차부등식,M2_LI_C021,intermediate,"integer_solution_count,solution_check",8,M2_LI_RAW_023
M2_LI_PT062,경계 포함 여부 판단,M2_LI_C021,intermediate,"integer_solution_count,solution_check",8,M2_LI_RAW_023
M2_LI_PT063,미지수의 범위 구하기,M2_LI_C021,intermediate,"integer_solution_count,solution_check",8,M2_LI_RAW_024
M2_LI_PT064,조건을 만족시키는 미지수 구하기,M2_LI_C021,intermediate,"integer_solution_count,solution_check",8,M2_LI_RAW_024
M2_LI_PT065,자연수인 해의 개수가 주어진 일차부등식 - 조건을 만족시키는 값 구하기,M2_LI_C021,intermediate,"integer_solution_count,solution_check",8,M2_LI_RAW_024
M2_LI_PT066,절댓값을 이용한 경우,M2_LI_C022,intermediate,linear_inequality,8,M2_LI_RAW_025
M2_LI_PT067,연산을 정의한 경우,M2_LI_C022,intermediate,linear_inequality,8,M2_LI_RAW_025
M2_LI_PT068,가우스 기호를 이용한 경우,M2_LI_C022,intermediate,linear_inequality,8,M2_LI_RAW_025
M2_LI_PT069,계산한 수를 주어진 수와 비교,M2_LI_C023,intermediate,inequality_modeling,9,M2_LI_RAW_026
M2_LI_PT070,서로 다르게 계산한 두 수 비교,M2_LI_C023,intermediate,inequality_modeling,9,M2_LI_RAW_026
M2_LI_PT071,주사위를 던져 나온 수,M2_LI_C023,intermediate,inequality_modeling,9,M2_LI_RAW_026
M2_LI_PT072,한 수에 대한 문제 - 조건을 만족시키는 값 구하기,M2_LI_C023,advanced,inequality_modeling,9,M2_LI_RAW_026
M2_LI_PT073,연속하는 두 수,M2_LI_C023,intermediate,inequality_modeling,9,M2_LI_RAW_027
M2_LI_PT074,연속하는 세 수,M2_LI_C023,intermediate,inequality_modeling,9,M2_LI_RAW_027
M2_LI_PT075,목표 평균을 위한 n번째 기록 구하기,M2_LI_C024,intermediate,"average_application,inequality_modeling",9,M2_LI_RAW_028
M2_LI_PT076,이전 평균이 주어진 경우,M2_LI_C024,intermediate,"average_application,inequality_modeling",9,M2_LI_RAW_028
M2_LI_PT077,두 집단의 비교,M2_LI_C024,intermediate,"average_application,inequality_modeling",9,M2_LI_RAW_028
M2_LI_PT078,부등식 세우기,M2_LI_C025,intermediate,"inequality_modeling,money_application",10,M2_LI_RAW_029
M2_LI_PT079,부등식 풀이,M2_LI_C025,intermediate,"inequality_modeling,money_application",10,M2_LI_RAW_029
M2_LI_PT080,부등식 세우기,M2_LI_C025,intermediate,inequality_modeling,10,M2_LI_RAW_030
M2_LI_PT081,부등식 풀이,M2_LI_C025,intermediate,inequality_modeling,10,M2_LI_RAW_030
M2_LI_PT082,총 개수가 고정 - 조건을 만족시키는 값 구하기,M2_LI_C025,intermediate,inequality_modeling,10,M2_LI_RAW_030
M2_LI_PT083,총 개수가 고정 - 옳고 그름 판단,M2_LI_C025,advanced,inequality_modeling,10,M2_LI_RAW_030
M2_LI_PT084,기본 금액이 포함된 비용 문제,"M2_LI_C025,M2_LI_C026",intermediate,"inequality_modeling,money_application",10,M2_LI_RAW_031
M2_LI_PT085,고정비와 변동비,"M2_LI_C025,M2_LI_C026",intermediate,"inequality_modeling,money_application",10,M2_LI_RAW_031
M2_LI_PT086,목표 금액에 대한 문제,M2_LI_C026,intermediate,"inequality_modeling,money_application",10,M2_LI_RAW_032
M2_LI_PT087,두 금액의 비교,M2_LI_C026,intermediate,"inequality_modeling,money_application",10,M2_LI_RAW_032
M2_LI_PT088,부등식을 이용한 유리한 방법 판단,"M2_LI_C027,M2_LI_C026",advanced,inequality_modeling,"10,11",M2_LI_RAW_033
M2_LI_PT089,할인율 포함 판단,"M2_LI_C027,M2_LI_C026",advanced,inequality_modeling,"10,11",M2_LI_RAW_033
M2_LI_PT090,두 상품 비교,"M2_LI_C027,M2_LI_C026",advanced,inequality_modeling,"10,11",M2_LI_RAW_033
M2_LI_PT091,유리한 방법 선택 문제 - 조건을 만족시키는 값 구하기,"M2_LI_C027,M2_LI_C026",advanced,inequality_modeling,"10,11",M2_LI_RAW_033
M2_LI_PT092,부등식을 이용한 정가·원가,M2_LI_C028,advanced,"inequality_modeling,money_application",11,M2_LI_RAW_034
M2_LI_PT093,할인을 하는 경우,M2_LI_C028,advanced,"inequality_modeling,money_application",11,M2_LI_RAW_034
M2_LI_PT094,삼각형의 높이 또는 밑변의 길이,M2_LI_C029,advanced,"geometry_application,inequality_modeling",11,M2_LI_RAW_035
M2_LI_PT095,"직사각형의 가로와 세로, 둘레",M2_LI_C029,advanced,"geometry_application,inequality_modeling",11,M2_LI_RAW_035
M2_LI_PT096,"사다리꼴의 윗변과 아랫변, 넓이",M2_LI_C029,advanced,"geometry_application,inequality_modeling",11,M2_LI_RAW_035
M2_LI_PT097,입체도형,M2_LI_C029,advanced,"geometry_application,inequality_modeling",11,M2_LI_RAW_035
M2_LI_PT098,여러 사람의 나이 비교,M2_LI_C030,advanced,inequality_modeling,12,M2_LI_RAW_036
M2_LI_PT099,합과 차가 주어진 두 수의 부등식,M2_LI_C030,advanced,inequality_modeling,12,M2_LI_RAW_036
M2_LI_PT100,숫자의 각 자릿수 이용,M2_LI_C030,advanced,inequality_modeling,12,M2_LI_RAW_036
M2_LI_PT101,실생활 활용,M2_LI_C030,advanced,inequality_modeling,12,M2_LI_RAW_036
M2_LI_PT102,부등식 세우기,M2_LI_C031,advanced,"distance_speed_time,inequality_modeling",12,M2_LI_RAW_037
M2_LI_PT103,부등식 풀이,M2_LI_C031,advanced,"distance_speed_time,inequality_modeling",12,M2_LI_RAW_037
M2_LI_PT104,부등식 세우기,M2_LI_C031,advanced,"distance_speed_time,inequality_modeling",12,M2_LI_RAW_038
M2_LI_PT105,최대 거리 구하기,M2_LI_C031,advanced,"distance_speed_time,inequality_modeling",12,M2_LI_RAW_038
M2_LI_PT106,추가 소요 시간이 있는 경우,M2_LI_C031,advanced,"distance_speed_time,inequality_modeling",12,M2_LI_RAW_038
M2_LI_PT107,강을 이동하는 경우,M2_LI_C031,advanced,"distance_speed_time,inequality_modeling",12,M2_LI_RAW_038
M2_LI_PT108,같은 지점에서 출발하는 경우,M2_LI_C031,advanced,"distance_speed_time,inequality_modeling",13,M2_LI_RAW_039
M2_LI_PT109,다른 지점에서 마주보는 경우,M2_LI_C031,advanced,"distance_speed_time,inequality_modeling",13,M2_LI_RAW_039
M2_LI_PT110,두 소금물을 섞는 경우,M2_LI_C032,advanced,"concentration,inequality_modeling",13,M2_LI_RAW_040
M2_LI_PT111,소금물에 물을 넣거나 증발시키는 경우,M2_LI_C032,advanced,"concentration,inequality_modeling",13,M2_LI_RAW_040
M2_LI_PT112,소금물에 소금을 추가하는 경우,M2_LI_C032,advanced,"concentration,inequality_modeling",13,M2_LI_RAW_040
M2_LI_PT113,농도에 대한 문제 - 조건을 만족시키는 값 구하기,M2_LI_C032,advanced,"concentration,inequality_modeling",13,M2_LI_RAW_040
M2_LI_PT114,물을 채우는 경우,M2_LI_C033,advanced,inequality_modeling,13,M2_LI_RAW_041
M2_LI_PT115,물을 비우는 경우,M2_LI_C033,advanced,inequality_modeling,13,M2_LI_RAW_041
