item_id,source_id,source_question_no,source_page,answer_key,engine_unit_id,engine_subunit_id,matched_problem_type_id,type_name,difficulty,mapping_status,mapping_confidence
js_exp_log_150_014,js_exp_log_150,014,4,5,ALG_EXPLOG_FOUNDATION,ALG_EXPLOG_FOUNDATION_EXPONENT,H2_EL_PT051,근호를 사용하여 나타내어진 수의 대소 비교,advanced,registered_type_match,0.82
js_exp_log_150_015,js_exp_log_150,015,5,11,ALG_EXPLOG_FOUNDATION,ALG_EXPLOG_FOUNDATION_EXPONENT,H2_EL_PT057,한 문자에 대한 근호를 사용하여 나타내어진 수의 계산,advanced,registered_type_match,0.82
js_exp_log_150_016,js_exp_log_150,016,5,12,ALG_EXPLOG_FOUNDATION,ALG_EXPLOG_FOUNDATION_EXPONENT,H2_EL_PT058,두 문자에 대한 근호를 사용하여 나타내어진 수의 계산,high,registered_type_match,0.82
js_exp_log_150_017,js_exp_log_150,017,5,125,ALG_EXPLOG_FOUNDATION,ALG_EXPLOG_FOUNDATION_EXPONENT,H2_EL_PT073,조건식이 주어질 때 식의 값 구하기,core,registered_type_match,0.82
js_exp_log_150_018,js_exp_log_150,018,5,5,ALG_EXPLOG_FOUNDATION,ALG_EXPLOG_FOUNDATION_EXPONENT,H2_EL_PT073,조건식이 주어질 때 식의 값 구하기,advanced,registered_type_match,0.82
js_exp_log_150_019,js_exp_log_150,019,6,90,ALG_EXPLOG_FOUNDATION,ALG_EXPLOG_FOUNDATION_EXPONENT,H2_EL_PT069,주어진 수가 유리수 또는 자연수가 되도록 하는 미지수,advanced,registered_type_match,0.82
js_exp_log_150_020,js_exp_log_150,020,6,5,ALG_EXPLOG_FOUNDATION,ALG_EXPLOG_FOUNDATION_EXPONENT,H2_EL_PT066,근호를 사용하여 나타내어진 수가 정수가 되도록 하는 자연수,high,registered_type_match,0.82
js_exp_log_150_021,js_exp_log_150,021,6,5,ALG_EXPLOG_FOUNDATION,ALG_EXPLOG_FOUNDATION_EXPONENT,H2_EL_PT072,지수법칙과 곱셈공식 결합,core,registered_type_match,0.82
js_exp_log_150_022,js_exp_log_150,022,6,1,ALG_EXPLOG_FOUNDATION,ALG_EXPLOG_FOUNDATION_EXPONENT,H2_EL_PT079,분수식으로 표현된 식의 값 구하기,advanced,registered_type_match,0.82
js_exp_log_150_023,js_exp_log_150,023,7,16,ALG_EXPLOG_FOUNDATION,ALG_EXPLOG_FOUNDATION_EXPONENT,H2_EL_PT073,조건식이 주어질 때 식의 값 구하기,advanced,registered_type_match,0.82
js_exp_log_150_024,js_exp_log_150,024,7,62,ALG_EXPLOG_FOUNDATION,ALG_EXPLOG_FOUNDATION_EXPONENT,H2_EL_PT076,a^x+a^{-x}의 값이 주어진 경우,high,registered_type_match,0.82
js_exp_log_150_025,js_exp_log_150,025,7,10,ALG_EXPLOG_FOUNDATION,ALG_EXPLOG_FOUNDATION_EXPONENT,H2_EL_PT074,이차방정식의 두 근과 지수식 계산,core,registered_type_match,0.82
js_exp_log_150_026,js_exp_log_150,026,7,5,ALG_EXPLOG_FOUNDATION,ALG_EXPLOG_FOUNDATION_EXPONENT,H2_EL_PT079,분수식으로 표현된 식의 값 구하기,advanced,registered_type_match,0.82
js_exp_log_150_027,js_exp_log_150,027,8,5,ALG_EXPLOG_FOUNDATION,ALG_EXPLOG_FOUNDATION_EXPONENT,H2_EL_PT080,a^x=b^y 조건이 주어진 경우,advanced,registered_type_match,0.82
js_exp_log_150_028,js_exp_log_150,028,8,5,ALG_EXPLOG_FOUNDATION,ALG_EXPLOG_FOUNDATION_EXPONENT,H2_EL_PT073,조건식이 주어질 때 식의 값 구하기,high,registered_type_match,0.82
js_exp_log_150_029,js_exp_log_150,029,8,12,ALG_EXPLOG_FOUNDATION,ALG_EXPLOG_FOUNDATION_EXPONENT,H2_EL_PT123,"세 미지수 x,y,z에 대한 관계식",core,registered_type_match,0.82
js_exp_log_150_030,js_exp_log_150,030,8,4,ALG_EXPLOG_FOUNDATION,ALG_EXPLOG_FOUNDATION_EXPONENT,H2_EL_PT082,a^x=b^y=c^z 꼴의 관계식,advanced,registered_type_match,0.82
js_exp_log_150_031,js_exp_log_150,031,9,0.4,ALG_EXPLOG_FOUNDATION,ALG_EXPLOG_FOUNDATION_LOG,H2_EL_PT159,일정하게 증가하거나 감소하는 경우,advanced,registered_type_match,0.82
js_exp_log_150_032,js_exp_log_150,032,9,3,ALG_EXPLOG_FOUNDATION,ALG_EXPLOG_FOUNDATION_LOG,H2_EL_PT159,일정하게 증가하거나 감소하는 경우,high,registered_type_match,0.82
js_exp_log_150_033,js_exp_log_150,033,9,44,ALG_EXPLOG_FOUNDATION,ALG_EXPLOG_FOUNDATION_LOG,H2_EL_PT105,로그값 조건 해석,core,registered_type_match,0.82
js_exp_log_150_034,js_exp_log_150,034,9,729,ALG_EXPLOG_FOUNDATION,ALG_EXPLOG_FOUNDATION_LOG,H2_EL_PT101,로그식의 값이 주어지는 경우,advanced,registered_type_match,0.82
js_exp_log_150_035,js_exp_log_150,035,10,15,ALG_EXPLOG_FOUNDATION,ALG_EXPLOG_FOUNDATION_LOG,H2_EL_PT095,로그가 정의되도록 하는 조건,advanced,registered_type_match,0.82
js_exp_log_150_036,js_exp_log_150,036,10,4,ALG_EXPLOG_FOUNDATION,ALG_EXPLOG_FOUNDATION_LOG,H2_EL_PT100,로그의 성질을 이용한 식의 값,high,registered_type_match,0.82
js_exp_log_150_037,js_exp_log_150,037,10,7,ALG_EXPLOG_FOUNDATION,ALG_EXPLOG_FOUNDATION_LOG,H2_EL_PT103,밑 변환식 계산,core,registered_type_match,0.82
js_exp_log_150_038,js_exp_log_150,038,10,42,ALG_EXPLOG_FOUNDATION,ALG_EXPLOG_FOUNDATION_LOG,H2_EL_PT100,로그의 성질을 이용한 식의 값,advanced,registered_type_match,0.82
js_exp_log_150_039,js_exp_log_150,039,11,1,ALG_EXPLOG_FOUNDATION,ALG_EXPLOG_FOUNDATION_LOG,H2_EL_PT110,로그 연산 성질과 대수적 관계를 이용한 표현식 결정,advanced,registered_type_match,0.82
js_exp_log_150_040,js_exp_log_150,040,11,3,ALG_EXPLOG_FOUNDATION,ALG_EXPLOG_FOUNDATION_LOG,H2_EL_PT112,로그의 성질 증명,high,registered_type_match,0.82
js_exp_log_150_041,js_exp_log_150,041,12,5,ALG_EXPLOG_FOUNDATION,ALG_EXPLOG_FOUNDATION_LOG,H2_EL_PT113,로그의 밑의 변환 성질 증명,core,registered_type_match,0.82
js_exp_log_150_042,js_exp_log_150,042,12,3,ALG_EXPLOG_FOUNDATION,ALG_EXPLOG_FOUNDATION_LOG,H2_EL_PT100,로그의 성질을 이용한 식의 값,advanced,registered_type_match,0.82
js_exp_log_150_043,js_exp_log_150,043,12,20,ALG_EXPLOG_FOUNDATION,ALG_EXPLOG_FOUNDATION_LOG,H2_EL_PT116,로그 관계식이 주어진 경우,advanced,registered_type_match,0.82
js_exp_log_150_044,js_exp_log_150,044,13,-17/14,ALG_EXPLOG_FOUNDATION,ALG_EXPLOG_FOUNDATION_LOG,H2_EL_PT111,세 미지수 조건이 주어질 때 식의 값 구하기,high,registered_type_match,0.82
js_exp_log_150_045,js_exp_log_150,045,13,1,ALG_EXPLOG_FOUNDATION,ALG_EXPLOG_FOUNDATION_LOG,H2_EL_PT100,로그의 성질을 이용한 식의 값,core,registered_type_match,0.82
js_exp_log_150_046,js_exp_log_150,046,13,2,ALG_EXPLOG_FOUNDATION,ALG_EXPLOG_FOUNDATION_LOG,H2_EL_PT109,지수에 로그가 있는 수가 정수가 되도록 하는 경우,advanced,registered_type_match,0.82
js_exp_log_150_047,js_exp_log_150,047,13,29,ALG_EXPLOG_FOUNDATION,ALG_EXPLOG_FOUNDATION_LOG,H2_EL_PT125,이차방정식의 두 근이 주어질 때,advanced,registered_type_match,0.82
js_exp_log_150_048,js_exp_log_150,048,14,4,ALG_EXPLOG_FOUNDATION,ALG_EXPLOG_FOUNDATION_LOG,H2_EL_PT128,로그의 대소 비교,high,registered_type_match,0.82
js_exp_log_150_049,js_exp_log_150,049,14,3,ALG_EXPLOG_FOUNDATION,ALG_EXPLOG_FOUNDATION_LOG,H2_EL_PT128,로그의 대소 비교,core,registered_type_match,0.82
js_exp_log_150_050,js_exp_log_150,050,14,101,ALG_EXPLOG_FOUNDATION,ALG_EXPLOG_FOUNDATION_LOG,H2_EL_PT100,로그의 성질을 이용한 식의 값,advanced,registered_type_match,0.82
js_exp_log_150_051,js_exp_log_150,051,14,48,ALG_EXPLOG_FOUNDATION,ALG_EXPLOG_FOUNDATION_LOG,H2_EL_PT140,가우스 기호를 포함한 로그 조건,advanced,registered_type_match,0.82
js_exp_log_150_052,js_exp_log_150,052,15,8,ALG_EXPLOG_FOUNDATION,ALG_EXPLOG_FOUNDATION_LOG,H2_EL_PT105,로그값 조건 해석,high,registered_type_match,0.82
js_exp_log_150_053,js_exp_log_150,053,15,127,ALG_EXPLOG_FOUNDATION,ALG_EXPLOG_FOUNDATION_LOG,H2_EL_PT105,로그값 조건 해석,core,registered_type_match,0.82
js_exp_log_150_054,js_exp_log_150,054,15,3,ALG_EXPLOG_FOUNDATION,ALG_EXPLOG_FOUNDATION_LOG,H2_EL_PT159,일정하게 증가하거나 감소하는 경우,advanced,registered_type_match,0.82
js_exp_log_150_055,js_exp_log_150,055,16,3,ALG_EXPLOG_FOUNDATION,ALG_EXPLOG_FOUNDATION_LOG,H2_EL_PT159,일정하게 증가하거나 감소하는 경우,advanced,registered_type_match,0.82
js_exp_log_150_056,js_exp_log_150,056,16,50,ALG_EXPLOG_FOUNDATION,ALG_EXPLOG_FOUNDATION_LOG,H2_EL_PT133,상용로그의 연산,high,registered_type_match,0.82
js_exp_log_150_057,js_exp_log_150,057,16,2,ALG_EXPLOG_FOUNDATION,ALG_EXPLOG_FOUNDATION_LOG,H2_EL_PT135,상용로그표를 이용하여 수의 값 구하기,core,registered_type_match,0.82
js_exp_log_150_058,js_exp_log_150,058,16,2,ALG_EXPLOG_FOUNDATION,ALG_EXPLOG_FOUNDATION_LOG,H2_EL_PT136,주어진 로그값을 이용하여 새로운 로그값 구하기,advanced,registered_type_match,0.82
js_exp_log_150_059,js_exp_log_150,059,17,12,ALG_EXPLOG_FOUNDATION,ALG_EXPLOG_FOUNDATION_LOG,H2_EL_PT143,로그의 정수 부분이 주어질 때 진수의 개수 구하기,advanced,registered_type_match,0.82
js_exp_log_150_060,js_exp_log_150,060,17,466,ALG_EXPLOG_FOUNDATION,ALG_EXPLOG_FOUNDATION_LOG,H2_EL_PT123,"세 미지수 x,y,z에 대한 관계식",high,registered_type_match,0.82
js_exp_log_150_061,js_exp_log_150,061,17,2,ALG_EXPLOG_FOUNDATION,ALG_EXPLOG_FOUNDATION_LOG,H2_EL_PT159,일정하게 증가하거나 감소하는 경우,core,registered_type_match,0.82
js_exp_log_150_062,js_exp_log_150,062,17,2,ALG_EXPLOG_FOUNDATION,ALG_EXPLOG_FOUNDATION_LOG,H2_EL_PT159,일정하게 증가하거나 감소하는 경우,advanced,registered_type_match,0.82
js_exp_log_150_063,js_exp_log_150,063,18,4,ALG_EXPLOG_FOUNDATION,ALG_EXPLOG_FOUNDATION_LOG,H2_EL_PT159,일정하게 증가하거나 감소하는 경우,advanced,registered_type_match,0.82
