item_id,source_question_no,source_page,solution_page,source_type_label,primary_problem_type_id,canonical_type_name,answer_key,accuracy,difficulty,representation_type,requires_visual_reading,new_trend,mapping_confidence,cross_set_group
M3_STAT_150_S03_Q018,018,5,44,중앙값의 뜻과 성질,M3_STAT_PT008,중앙값의 뜻과 성질 - 계산·해석,7편,74,standard,table_or_structured_data,True,False,0.95,M3_STAT_PT008::M3_STAT_CROSS_SET
M3_STAT_150_S03_Q019,019,5,44,중앙값의 뜻과 성질,M3_STAT_PT008,중앙값의 뜻과 성질 - 계산·해석,choice:2,53,advanced,table_or_structured_data,True,False,0.95,M3_STAT_PT008::M3_STAT_CROSS_SET
M3_STAT_150_S03_Q020,020,5,44,중앙값의 뜻과 성질,M3_STAT_PT008,중앙값의 뜻과 성질 - 계산·해석,choice:3,91,core,symbolic_or_text,False,False,0.95,M3_STAT_PT008::M3_STAT_CROSS_SET
M3_STAT_150_S03_Q021,021,6,44,중앙값의 뜻과 성질,M3_STAT_PT008,중앙값의 뜻과 성질 - 계산·해석,choice:3,58,advanced,graph,True,False,0.95,M3_STAT_PT008::M3_STAT_CROSS_SET
M3_STAT_150_S03_Q022,022,6,44,최빈값의 뜻과 성질,M3_STAT_PT011,최빈값의 뜻과 성질 - 계산·해석,choice:4,87,core,table_or_structured_data,True,False,0.95,M3_STAT_PT011::M3_STAT_CROSS_SET
M3_STAT_150_S03_Q023,023,6,44,여러 가지 자료에서의 대푯값,M3_STAT_PT014,여러 가지 자료에서의 대푯값 - 계산·해석,choice:2,84,core,table_or_structured_data,True,False,0.95,M3_STAT_PT014::M3_STAT_CROSS_SET
M3_STAT_150_S03_Q024,024,7,45,여러 가지 자료에서의 대푯값,M3_STAT_PT014,여러 가지 자료에서의 대푯값 - 계산·해석,20,57,advanced,table_or_structured_data,True,True,0.95,M3_STAT_PT014::M3_STAT_CROSS_SET
M3_STAT_150_S03_Q025,025,7,45,여러 가지 자료에서의 대푯값,M3_STAT_PT014,여러 가지 자료에서의 대푯값 - 계산·해석,40,85,core,table_or_structured_data,True,False,0.95,M3_STAT_PT014::M3_STAT_CROSS_SET
M3_STAT_150_S03_Q026,026,7,45,여러 가지 자료에서의 대푯값,M3_STAT_PT014,여러 가지 자료에서의 대푯값 - 계산·해석,choice:5,66,standard,graph,True,False,0.95,M3_STAT_PT014::M3_STAT_CROSS_SET
M3_STAT_150_S03_Q027,027,7,45,여러 가지 자료에서의 대푯값,M3_STAT_PT014,여러 가지 자료에서의 대푯값 - 계산·해석,choice:2,84,core,graph,True,False,0.95,M3_STAT_PT014::M3_STAT_CROSS_SET
M3_STAT_150_S03_Q028,028,8,45,여러 가지 자료에서의 대푯값,M3_STAT_PT014,여러 가지 자료에서의 대푯값 - 계산·해석,choice:4,81,core,table_or_structured_data,True,False,0.95,M3_STAT_PT014::M3_STAT_CROSS_SET
M3_STAT_150_S03_Q029,029,8,45,여러 가지 자료에서의 대푯값,M3_STAT_PT014,여러 가지 자료에서의 대푯값 - 계산·해석,choice:4,84,core,graph,True,False,0.95,M3_STAT_PT014::M3_STAT_CROSS_SET
M3_STAT_150_S03_Q030,030,8,45,대푯값을 이용하여 변량 구하기(1); 평균이 주어진 경우,M3_STAT_PT017,대푯값을 이용하여 변량 구하기(1); 평균이 주어진 경우 - 계산·해석,choice:4,78,standard,symbolic_or_text,False,False,0.95,M3_STAT_PT017::M3_STAT_CROSS_SET
M3_STAT_150_S03_Q031,031,8,46,대푯값을 이용하여 변량 구하기(1); 평균이 주어진 경우,M3_STAT_PT017,대푯값을 이용하여 변량 구하기(1); 평균이 주어진 경우 - 계산·해석,15분,67,standard,table_or_structured_data,True,False,0.95,M3_STAT_PT017::M3_STAT_CROSS_SET
M3_STAT_150_S03_Q032,032,9,46,대푯값을 이용하여 변량 구하기(1); 평균이 주어진 경우,M3_STAT_PT017,대푯값을 이용하여 변량 구하기(1); 평균이 주어진 경우 - 계산·해석,0분,69,standard,table_or_structured_data,True,False,0.95,M3_STAT_PT017::M3_STAT_CROSS_SET
M3_STAT_150_S03_Q033,033,9,46,대푯값을 이용하여 변량 구하기(1); 평균이 주어진 경우,M3_STAT_PT017,대푯값을 이용하여 변량 구하기(1); 평균이 주어진 경우 - 계산·해석,choice:4,78,standard,symbolic_or_text,False,False,0.95,M3_STAT_PT017::M3_STAT_CROSS_SET
M3_STAT_150_S03_Q034,034,9,46,대푯값을 이용하여 변량 구하기(1); 평균이 주어진 경우,M3_STAT_PT017,대푯값을 이용하여 변량 구하기(1); 평균이 주어진 경우 - 계산·해석,choice:4,71,standard,table_or_structured_data,True,False,0.95,M3_STAT_PT017::M3_STAT_CROSS_SET
M3_STAT_150_S03_Q035,035,9,46,대푯값을 이용하여 변량 구하기(1); 평균이 주어진 경우,M3_STAT_PT017,대푯값을 이용하여 변량 구하기(1); 평균이 주어진 경우 - 계산·해석,24,77,standard,table_or_structured_data,True,False,0.95,M3_STAT_PT017::M3_STAT_CROSS_SET
M3_STAT_150_S03_Q036,036,10,47,대푯값을 이용하여 변량 구하기(1); 평균이 주어진 경우,M3_STAT_PT017,대푯값을 이용하여 변량 구하기(1); 평균이 주어진 경우 - 계산·해석,0분,69,standard,table_or_structured_data,True,False,0.95,M3_STAT_PT017::M3_STAT_CROSS_SET
M3_STAT_150_S03_Q037,037,10,47,대푯값을 이용하여 변량 구하기(2); 중앙값이 주어진 경우,M3_STAT_PT020,대푯값을 이용하여 변량 구하기(2); 중앙값이 주어진 경우 - 계산·해석,choice:3,87,core,symbolic_or_text,False,False,0.95,M3_STAT_PT020::M3_STAT_CROSS_SET
M3_STAT_150_S03_Q038,038,10,47,대푯값을 이용하여 변량 구하기(2); 중앙값이 주어진 경우,M3_STAT_PT020,대푯값을 이용하여 변량 구하기(2); 중앙값이 주어진 경우 - 계산·해석,170cm,84,core,symbolic_or_text,False,False,0.95,M3_STAT_PT020::M3_STAT_CROSS_SET
M3_STAT_150_S03_Q039,039,10,47,대푯값을 이용하여 변량 구하기(2); 중앙값이 주어진 경우,M3_STAT_PT020,대푯값을 이용하여 변량 구하기(2); 중앙값이 주어진 경우 - 계산·해석,7,63,standard,symbolic_or_text,False,True,0.95,M3_STAT_PT020::M3_STAT_CROSS_SET
M3_STAT_150_S03_Q040,040,11,48,대푯값을 이용하여 변량 구하기(2); 중앙값이 주어진 경우,M3_STAT_PT020,대푯값을 이용하여 변량 구하기(2); 중앙값이 주어진 경우 - 계산·해석,7,50,advanced,table_or_structured_data,True,True,0.95,M3_STAT_PT020::M3_STAT_CROSS_SET
M3_STAT_150_S03_Q041,041,11,48,대푯값을 이용하여 변량 구하기(2); 중앙값이 주어진 경우,M3_STAT_PT020,대푯값을 이용하여 변량 구하기(2); 중앙값이 주어진 경우 - 계산·해석,6,51,advanced,table_or_structured_data,True,True,0.95,M3_STAT_PT020::M3_STAT_CROSS_SET
M3_STAT_150_S03_Q042,042,11,48,대푯값을 이용하여 변량 구하기(2); 중앙값이 주어진 경우,M3_STAT_PT020,대푯값을 이용하여 변량 구하기(2); 중앙값이 주어진 경우 - 계산·해석,choice:4,76,standard,table_or_structured_data,True,False,0.95,M3_STAT_PT020::M3_STAT_CROSS_SET
M3_STAT_150_S03_Q043,043,11,49,대푯값을 이용하여 변량 구하기(2); 중앙값이 주어진 경우,M3_STAT_PT020,대푯값을 이용하여 변량 구하기(2); 중앙값이 주어진 경우 - 계산·해석,12,77,standard,table_or_structured_data,True,False,0.95,M3_STAT_PT020::M3_STAT_CROSS_SET
M3_STAT_150_S03_Q044,044,12,49,대푯값을 이용하여 변량 구하기(3); 최빈값이 주어진 경우,M3_STAT_PT023,대푯값을 이용하여 변량 구하기(3); 최빈값이 주어진 경우 - 계산·해석,74,74,standard,table_or_structured_data,True,False,0.95,M3_STAT_PT023::M3_STAT_CROSS_SET
M3_STAT_150_S03_Q045,045,12,49,대푯값을 이용하여 변량 구하기(3); 최빈값이 주어진 경우,M3_STAT_PT023,대푯값을 이용하여 변량 구하기(3); 최빈값이 주어진 경우 - 계산·해석,-1,82,core,table_or_structured_data,True,False,0.95,M3_STAT_PT023::M3_STAT_CROSS_SET
M3_STAT_150_S03_Q046,046,12,49,대푯값을 이용하여 변량 구하기(3); 최빈값이 주어진 경우,M3_STAT_PT023,대푯값을 이용하여 변량 구하기(3); 최빈값이 주어진 경우 - 계산·해석,5,89,core,table_or_structured_data,True,False,0.95,M3_STAT_PT023::M3_STAT_CROSS_SET
M3_STAT_150_S03_Q047,047,12,49,대푯값을 이용하여 변량 구하기(3); 최빈값이 주어진 경우,M3_STAT_PT023,대푯값을 이용하여 변량 구하기(3); 최빈값이 주어진 경우 - 계산·해석,4,85,core,table_or_structured_data,True,False,0.95,M3_STAT_PT023::M3_STAT_CROSS_SET
M3_STAT_150_S03_Q048,048,13,49,대푯값을 이용하여 변량 구하기(3); 최빈값이 주어진 경우,M3_STAT_PT023,대푯값을 이용하여 변량 구하기(3); 최빈값이 주어진 경우 - 계산·해석,18,80,core,symbolic_or_text,False,False,0.95,M3_STAT_PT023::M3_STAT_CROSS_SET
M3_STAT_150_S03_Q049,049,13,50,대푯값을 이용하여 변량 구하기(3); 최빈값이 주어진 경우,M3_STAT_PT023,대푯값을 이용하여 변량 구하기(3); 최빈값이 주어진 경우 - 계산·해석,16,33,advanced,table_or_structured_data,True,False,0.95,M3_STAT_PT023::M3_STAT_CROSS_SET
M3_STAT_150_S03_Q050,050,13,50,대푯값을 이용하여 변량 구하기(3); 최빈값이 주어진 경우,M3_STAT_PT023,대푯값을 이용하여 변량 구하기(3); 최빈값이 주어진 경우 - 계산·해석,choice:3,52,advanced,table_or_structured_data,True,True,0.95,M3_STAT_PT023::M3_STAT_CROSS_SET
M3_STAT_150_S03_Q051,051,13,50,적절한 대푯값 찾기,M3_STAT_PT026,적절한 대푯값 찾기 - 계산·해석,choice:2,83,core,symbolic_or_text,False,False,0.95,M3_STAT_PT026::M3_STAT_CROSS_SET
M3_STAT_150_S03_Q052,052,14,50,편차의 뜻과 성질,M3_STAT_PT029,편차의 뜻과 성질 - 계산·해석,choice:4,86,core,table_or_structured_data,True,False,0.95,M3_STAT_PT029::M3_STAT_CROSS_SET
M3_STAT_150_S03_Q053,053,14,50,편차의 뜻과 성질,M3_STAT_PT029,편차의 뜻과 성질 - 계산·해석,choice:2,89,core,table_or_structured_data,True,False,0.95,M3_STAT_PT029::M3_STAT_CROSS_SET
M3_STAT_150_S03_Q054,054,14,50,편차의 뜻과 성질,M3_STAT_PT029,편차의 뜻과 성질 - 계산·해석,choice:5,89,core,table_or_structured_data,True,False,0.95,M3_STAT_PT029::M3_STAT_CROSS_SET
M3_STAT_150_S03_Q055,055,14,51,편차의 뜻과 성질,M3_STAT_PT029,편차의 뜻과 성질 - 계산·해석,choice:1,92,core,table_or_structured_data,True,False,0.95,M3_STAT_PT029::M3_STAT_CROSS_SET
M3_STAT_150_S03_Q056,056,15,51,편차의 뜻과 성질,M3_STAT_PT029,편차의 뜻과 성질 - 계산·해석,choice:5,87,core,table_or_structured_data,True,False,0.95,M3_STAT_PT029::M3_STAT_CROSS_SET
M3_STAT_150_S03_Q057,057,15,51,편차의 뜻과 성질,M3_STAT_PT029,편차의 뜻과 성질 - 계산·해석,choice:4,90,core,table_or_structured_data,True,False,0.95,M3_STAT_PT029::M3_STAT_CROSS_SET
M3_STAT_150_S03_Q058,058,15,51,편차의 뜻과 성질,M3_STAT_PT029,편차의 뜻과 성질 - 계산·해석,choice:3,85,core,table_or_structured_data,True,False,0.95,M3_STAT_PT029::M3_STAT_CROSS_SET
M3_STAT_150_S03_Q059,059,15,51,편차를 이용하여 변량 구하기,M3_STAT_PT032,편차를 이용하여 변량 구하기 - 계산·해석,choice:2,89,core,table_or_structured_data,True,False,0.95,M3_STAT_PT032::M3_STAT_CROSS_SET
M3_STAT_150_S03_Q060,060,16,51,편차를 이용하여 변량 구하기,M3_STAT_PT032,편차를 이용하여 변량 구하기 - 계산·해석,choice:3,91,core,table_or_structured_data,True,False,0.95,M3_STAT_PT032::M3_STAT_CROSS_SET
M3_STAT_150_S03_Q061,061,16,51,편차를 이용하여 변량 구하기,M3_STAT_PT032,편차를 이용하여 변량 구하기 - 계산·해석,73점,83,core,table_or_structured_data,True,False,0.95,M3_STAT_PT032::M3_STAT_CROSS_SET
M3_STAT_150_S03_Q062,062,16,51,편차를 이용하여 변량 구하기,M3_STAT_PT032,편차를 이용하여 변량 구하기 - 계산·해석,80점,84,core,table_or_structured_data,True,False,0.95,M3_STAT_PT032::M3_STAT_CROSS_SET
M3_STAT_150_S03_Q063,063,16,51,편차를 이용하여 변량 구하기,M3_STAT_PT032,편차를 이용하여 변량 구하기 - 계산·해석,68점,84,core,table_or_structured_data,True,False,0.95,M3_STAT_PT032::M3_STAT_CROSS_SET
M3_STAT_150_S03_Q064,064,17,51,편차를 이용하여 변량 구하기,M3_STAT_PT032,편차를 이용하여 변량 구하기 - 계산·해석,159,76,standard,table_or_structured_data,True,False,0.95,M3_STAT_PT032::M3_STAT_CROSS_SET
M3_STAT_150_S03_Q065,065,17,52,편차를 이용하여 변량 구하기,M3_STAT_PT032,편차를 이용하여 변량 구하기 - 계산·해석,choice:2,85,core,table_or_structured_data,True,False,0.95,M3_STAT_PT032::M3_STAT_CROSS_SET
M3_STAT_150_S03_Q066,066,17,52,편차를 이용하여 변량 구하기,M3_STAT_PT032,편차를 이용하여 변량 구하기 - 계산·해석,choice:2,89,core,table_or_structured_data,True,False,0.95,M3_STAT_PT032::M3_STAT_CROSS_SET
M3_STAT_150_S03_Q067,067,17,52,편차를 이용하여 변량 구하기,M3_STAT_PT032,편차를 이용하여 변량 구하기 - 계산·해석,choice:2,87,core,table_or_structured_data,True,False,0.95,M3_STAT_PT032::M3_STAT_CROSS_SET
M3_STAT_150_S03_Q068,068,18,52,분산과 표준편차(1),M3_STAT_PT035,분산과 표준편차(1) - 계산·해석,1,63,standard,graph,True,False,0.95,M3_STAT_PT035::M3_STAT_CROSS_SET
M3_STAT_150_S03_Q069,069,18,53,분산과 표준편차(1),M3_STAT_PT035,분산과 표준편차(1) - 계산·해석,6,49,advanced,symbolic_or_text,False,False,0.95,M3_STAT_PT035::M3_STAT_CROSS_SET
M3_STAT_150_S03_Q070,070,18,53,분산과 표준편차(1),M3_STAT_PT035,분산과 표준편차(1) - 계산·해석,35/3,53,advanced,diagram,True,False,0.95,M3_STAT_PT035::M3_STAT_CROSS_SET
M3_STAT_150_S03_Q071,071,18,53,분산과 표준편차(1),M3_STAT_PT035,분산과 표준편차(1) - 계산·해석,29,57,advanced,table_or_structured_data,True,False,0.95,M3_STAT_PT035::M3_STAT_CROSS_SET
M3_STAT_150_S03_Q072,072,19,53,분산과 표준편차(1),M3_STAT_PT035,분산과 표준편차(1) - 계산·해석,2,77,standard,diagram,True,False,0.95,M3_STAT_PT035::M3_STAT_CROSS_SET
M3_STAT_150_S03_Q073,073,19,54,분산과 표준편차(1),M3_STAT_PT035,분산과 표준편차(1) - 계산·해석,1.8,71,standard,diagram,True,False,0.95,M3_STAT_PT035::M3_STAT_CROSS_SET
M3_STAT_150_S03_Q074,074,19,54,분산과 표준편차(1),M3_STAT_PT035,분산과 표준편차(1) - 계산·해석,"choices:2,4",52,advanced,table_or_structured_data,True,False,0.95,M3_STAT_PT035::M3_STAT_CROSS_SET
M3_STAT_150_S03_Q075,075,19,54,분산과 표준편차(1),M3_STAT_PT035,분산과 표준편차(1) - 계산·해석,choice:4,82,core,symbolic_or_text,False,False,0.95,M3_STAT_PT035::M3_STAT_CROSS_SET
M3_STAT_150_S03_Q076,076,20,54,분산과 표준편차(1),M3_STAT_PT035,분산과 표준편차(1) - 계산·해석,choice:4,56,advanced,table_or_structured_data,True,True,0.95,M3_STAT_PT035::M3_STAT_CROSS_SET
M3_STAT_150_S03_Q077,077,20,55,분산과 표준편차(1),M3_STAT_PT035,분산과 표준편차(1) - 계산·해석,choice:5,53,advanced,table_or_structured_data,True,True,0.95,M3_STAT_PT035::M3_STAT_CROSS_SET
M3_STAT_150_S03_Q078,078,20,55,분산과 표준편차(2); 자료가 일부 주어지지 않은 경우,M3_STAT_PT038,분산과 표준편차(2); 자료가 일부 주어지지 않은 경우 - 계산·해석,6권,54,advanced,table_or_structured_data,True,False,0.95,M3_STAT_PT038::M3_STAT_CROSS_SET
M3_STAT_150_S03_Q079,079,20,55,분산과 표준편차(2); 자료가 일부 주어지지 않은 경우,M3_STAT_PT038,분산과 표준편차(2); 자료가 일부 주어지지 않은 경우 - 계산·해석,4.8,51,advanced,symbolic_or_text,False,False,0.95,M3_STAT_PT038::M3_STAT_CROSS_SET
M3_STAT_150_S03_Q080,080,21,55,분산과 표준편차(2); 자료가 일부 주어지지 않은 경우,M3_STAT_PT038,분산과 표준편차(2); 자료가 일부 주어지지 않은 경우 - 계산·해석,choice:5,92,core,symbolic_or_text,False,False,0.95,M3_STAT_PT038::M3_STAT_CROSS_SET
M3_STAT_150_S03_Q081,081,21,56,분산과 표준편차(2); 자료가 일부 주어지지 않은 경우,M3_STAT_PT038,분산과 표준편차(2); 자료가 일부 주어지지 않은 경우 - 계산·해석,6권,57,advanced,table_or_structured_data,True,False,0.95,M3_STAT_PT038::M3_STAT_CROSS_SET
M3_STAT_150_S03_Q082,082,21,56,분산과 표준편차(2); 자료가 일부 주어지지 않은 경우,M3_STAT_PT038,분산과 표준편차(2); 자료가 일부 주어지지 않은 경우 - 계산·해석,5.2,78,standard,symbolic_or_text,False,False,0.95,M3_STAT_PT038::M3_STAT_CROSS_SET
M3_STAT_150_S03_Q083,083,21,56,분산과 표준편차(2); 자료가 일부 주어지지 않은 경우,M3_STAT_PT038,분산과 표준편차(2); 자료가 일부 주어지지 않은 경우 - 계산·해석,4,79,standard,symbolic_or_text,False,False,0.95,M3_STAT_PT038::M3_STAT_CROSS_SET
M3_STAT_150_S03_Q084,084,22,56,분산과 표준편차(2); 자료가 일부 주어지지 않은 경우,M3_STAT_PT038,분산과 표준편차(2); 자료가 일부 주어지지 않은 경우 - 계산·해석,choice:3,83,core,symbolic_or_text,False,False,0.95,M3_STAT_PT038::M3_STAT_CROSS_SET
M3_STAT_150_S03_Q085,085,22,56,대푯값과 산포도의 이해,M3_STAT_PT041,대푯값과 산포도의 이해 - 계산·해석,choice:4,82,core,symbolic_or_text,False,False,0.95,M3_STAT_PT041::M3_STAT_CROSS_SET
M3_STAT_150_S03_Q086,086,22,56,대푯값과 산포도의 이해,M3_STAT_PT041,대푯값과 산포도의 이해 - 계산·해석,choice:2,87,core,symbolic_or_text,False,False,0.95,M3_STAT_PT041::M3_STAT_CROSS_SET
M3_STAT_150_S03_Q087,087,22,56,평균과 분산을 이용하여 식의 값 구하기,M3_STAT_PT044,평균과 분산을 이용하여 식의 값 구하기 - 계산·해석,65,64,standard,symbolic_or_text,False,False,0.95,M3_STAT_PT044::M3_STAT_CROSS_SET
M3_STAT_150_S03_Q088,088,23,56,평균과 분산을 이용하여 식의 값 구하기,M3_STAT_PT044,평균과 분산을 이용하여 식의 값 구하기 - 계산·해석,100,65,standard,table_or_structured_data,True,False,0.95,M3_STAT_PT044::M3_STAT_CROSS_SET
M3_STAT_150_S03_Q089,089,23,57,평균과 분산을 이용하여 식의 값 구하기,M3_STAT_PT044,평균과 분산을 이용하여 식의 값 구하기 - 계산·해석,33,58,advanced,symbolic_or_text,False,False,0.95,M3_STAT_PT044::M3_STAT_CROSS_SET
M3_STAT_150_S03_Q090,090,23,57,평균과 분산을 이용하여 식의 값 구하기,M3_STAT_PT044,평균과 분산을 이용하여 식의 값 구하기 - 계산·해석,14,66,standard,symbolic_or_text,False,False,0.95,M3_STAT_PT044::M3_STAT_CROSS_SET
M3_STAT_150_S03_Q091,091,23,57,평균과 분산을 이용하여 식의 값 구하기,M3_STAT_PT044,평균과 분산을 이용하여 식의 값 구하기 - 계산·해석,choice:3,59,advanced,symbolic_or_text,False,False,0.95,M3_STAT_PT044::M3_STAT_CROSS_SET
M3_STAT_150_S03_Q092,092,24,57,평균과 분산을 이용하여 식의 값 구하기,M3_STAT_PT044,평균과 분산을 이용하여 식의 값 구하기 - 계산·해석,56,67,standard,symbolic_or_text,False,False,0.95,M3_STAT_PT044::M3_STAT_CROSS_SET
M3_STAT_150_S03_Q093,093,24,58,평균과 분산을 이용하여 식의 값 구하기,M3_STAT_PT044,평균과 분산을 이용하여 식의 값 구하기 - 계산·해석,choice:3,77,standard,symbolic_or_text,False,False,0.95,M3_STAT_PT044::M3_STAT_CROSS_SET
M3_STAT_150_S03_Q094,094,24,58,변화된 변량의 평균과 표준편차,M3_STAT_PT047,변화된 변량의 평균과 표준편차 - 계산·해석,24,65,standard,symbolic_or_text,False,False,0.95,M3_STAT_PT047::M3_STAT_CROSS_SET
M3_STAT_150_S03_Q095,095,24,58,변화된 변량의 평균과 표준편차,M3_STAT_PT047,변화된 변량의 평균과 표준편차 - 계산·해석,7/2,43,advanced,table_or_structured_data,True,True,0.95,M3_STAT_PT047::M3_STAT_CROSS_SET
M3_STAT_150_S03_Q096,096,25,59,변화된 변량의 평균과 표준편차,M3_STAT_PT047,변화된 변량의 평균과 표준편차 - 계산·해석,6,63,standard,symbolic_or_text,False,False,0.95,M3_STAT_PT047::M3_STAT_CROSS_SET
M3_STAT_150_S03_Q097,097,25,59,변화된 변량의 평균과 표준편차,M3_STAT_PT047,변화된 변량의 평균과 표준편차 - 계산·해석,choice:4,76,standard,symbolic_or_text,False,False,0.95,M3_STAT_PT047::M3_STAT_CROSS_SET
M3_STAT_150_S03_Q098,098,25,59,변화된 변량의 평균과 표준편차,M3_STAT_PT047,변화된 변량의 평균과 표준편차 - 계산·해석,choice:4,79,standard,symbolic_or_text,False,False,0.95,M3_STAT_PT047::M3_STAT_CROSS_SET
M3_STAT_150_S03_Q099,099,25,59,변화된 변량의 평균과 표준편차,M3_STAT_PT047,변화된 변량의 평균과 표준편차 - 계산·해석,choice:3,68,standard,symbolic_or_text,False,False,0.95,M3_STAT_PT047::M3_STAT_CROSS_SET
M3_STAT_150_S03_Q100,100,26,60,변화된 변량의 평균과 표준편차,M3_STAT_PT047,변화된 변량의 평균과 표준편차 - 계산·해석,9,73,standard,symbolic_or_text,False,False,0.95,M3_STAT_PT047::M3_STAT_CROSS_SET
M3_STAT_150_S03_Q101,101,26,60,두 집단 전체의 평균,M3_STAT_PT050,두 집단 전체의 평균 - 계산·해석,3/4,63,standard,symbolic_or_text,False,False,0.95,M3_STAT_PT050::M3_STAT_CROSS_SET
M3_STAT_150_S03_Q102,102,26,60,두 집단 전체의 평균,M3_STAT_PT050,두 집단 전체의 평균 - 계산·해석,154cm,51,advanced,symbolic_or_text,False,False,0.95,M3_STAT_PT050::M3_STAT_CROSS_SET
