management_no,volume,pdf_book_no,source_pdf,title,author,publisher,existing_book_id,existing_source_id,stage1_decision,keywords,related_subjects,related_majors,summary_or_notes,mini_use_note,source_zip
11,1,11,9-14.pdf,국화와 칼,루스 베네딕트,현대지성,book_011,booksrc_0011,duplicate_existing_active_card,,사회 | 국어 | 도덕 | 생활 일본어,문화인류학과 | 일본학과 | 국제학과 | 사회학과 | 심리학과 | 정치외교학과,"일본 문화의 양면성과 위계, 수치문화, 체면의 구조를 분석하며 타문화를 이해하는 관점을 제시하는 문화인류학 고전이다.",,book_pdf_9_14_stage1_result.zip
12,1,12,9-14.pdf,그리스 비극 걸작선,소포클레스 외,숲,book_012,booksrc_0012,duplicate_existing_active_card,,국어 | 역사 | 도덕 | 미술 | 음악 | 영어,고고미술사학과 | 문예창작학과 | 윤리학과 | 역사학과 | 연극영화학과 | 영어영문학과 | 철학과,"오이디푸스와 안티고네 등 그리스 비극을 통해 인간의 운명, 자유의지, 도덕적 선택, 정의와 법의 갈등을 탐구하게 하는 고전 작품집이다.",,book_pdf_9_14_stage1_result.zip
13,1,13,9-14.pdf,난장이가 쏘아올린 작은 공,조세희,이성과힘,book_013,booksrc_0013,duplicate_existing_active_card,,국어 | 사회 | 역사 | 도덕 | 환경,문예창작학과 | 사회학과 | 사회복지학과 | 도시공학과 | 행정학과 | 정치외교학과 | 언론정보학과,"1970년대 산업화와 도시 빈민의 삶을 통해 불평등, 주거권, 노동, 가족 해체 문제를 비판적으로 보여주는 연작소설이다.",,book_pdf_9_14_stage1_result.zip
14,1,14,9-14.pdf,누구나 한번쯤 읽어야 할 목민심서,미리내공방,청민미디어,book_014,booksrc_0014,duplicate_existing_active_card,,국어 | 사회 | 역사 | 도덕,행정학과 | 정치외교학과 | 윤리학과 | 사회학과 | 사회복지학과 | 교육학과 | 법학과,"정약용의 목민 정신을 바탕으로 공직자의 청렴, 애민, 리더십, 제도적 책임을 현대 행정 윤리와 연결해 읽을 수 있는 책이다.",,book_pdf_9_14_stage1_result.zip
15,1,15,15-20.pdf,닥터스 씽킹,제롬 그루프먼,해냄출판사,book_doctorsignal,booksrc_0015,duplicate_existing_active_card,,국어 | 사회 | 도덕 | 과학 | 보건,의학과 | 간호학과 | 심리학과 | 생명과학과 | 보건학과,"의사가 환자를 진단하고 치료하는 과정에서 발생할 수 있는 사고 오류와 인지 편향을 다루며, 의학적 판단에서 직관과 근거 기반 데이터가 어떻게 균형을 이루어야 하는지 생각하게 하는 책이다.",,book_pdf_15_20_stage1_result.zip
16,1,16,15-20.pdf,데미안,헤르만 헤세,민음사,book_demian,booksrc_0016,duplicate_existing_active_card,,국어 | 사회 | 역사 | 도덕 | 진로와 직업,심리학과 | 철학과 | 국어국문학과 | 문예창작학과 | 상담심리학과,"싱클레어의 성장 과정을 통해 선과 악의 이분법, 자아 탐색, 내면의 갈등과 통합을 다루는 성장소설이다.",,book_pdf_15_20_stage1_result.zip
17,1,17,15-20.pdf,돈으로 살 수 없는 것들,마이클 샌델,와이즈베리,book_017,booksrc_0017,duplicate_existing_active_card,,국어 | 사회 | 도덕 | 진로와 직업,경제학과 | 경영학과 | 정치외교학과 | 사회학과 | 행정학과 | 윤리교육과,"시장의 논리가 삶의 여러 영역으로 확장될 때, 돈으로 사고팔 수 없는 가치와 공공선이 어떻게 훼손될 수 있는지 질문하는 책이다.",,book_pdf_15_20_stage1_result.zip
18,1,18,15-20.pdf,동방견문록,마르코 폴로,동서문화사,book_018,booksrc_0018,duplicate_existing_active_card,,국어 | 사회 | 역사 | 도덕,고고미술사학과 | 문화인류학과 | 역사학과 | 국제학과 | 무역학과 | 지리학과,"13세기 유럽인이 아시아를 바라본 기록을 통해 동서 문명 교류, 여행과 무역, 타문화 인식과 문화적 오해를 함께 살펴볼 수 있는 책이다.",,book_pdf_15_20_stage1_result.zip
19,1,19,15-20.pdf,루쉰 소설전집,루쉰,을유문화사,,,new_candidate_not_found_in_current_210_or_active_card,,국어 | 사회 | 역사 | 도덕 | 한문,중어중문학과 | 국어국문학과 | 문예창작학과 | 사회학과 | 역사학과 | 문화인류학과,"근대 중국 사회의 모순과 인간의 무기력, 봉건적 구습, 지식인의 자기비판을 소설로 드러내며 사회 변화를 위한 문학의 역할을 생각하게 하는 작품집이다.",,book_pdf_15_20_stage1_result.zip
20,1,20,15-20.pdf,마음,나쓰메 소세키,현암사,book_020,booksrc_0020,duplicate_existing_active_card,,국어 | 사회 | 역사 | 도덕 | 상담심리학,국어국문학과 | 일본학과 | 문예창작학과 | 심리학과 | 상담심리학과,"나와 선생님의 관계를 통해 근대 전환기 개인의 고독, 죄책감, 양심, 인간관계의 불안을 다루는 일본 근대문학 작품이다.",,book_pdf_15_20_stage1_result.zip
21,1,21,21-25.pdf,맹자,맹자,휴머니스트,book_021,booksrc_0021,duplicate_existing_active_card,,국어 | 사회 | 역사 | 도덕 | 한문,정치외교학과 | 법학과 | 행정학과 | 사회학과 | 철학과 | 역사학과 | 사회복지학과,"인간 본성의 선함과 민본정치, 왕도정치, 혁명론을 통해 통치자의 책임과 백성의 삶을 함께 생각하게 하는 고전이다. 오늘날 인권, 민주주의, 국제 분쟁과 연결해 탐구하기 좋다.",고전 정치사상을 현대 사회 문제 분석의 기준으로 제공하는 근거 도서,book_pdf_21_25_stage1_result.zip
22,1,22,21-25.pdf,무정,이광수,민음사,book_022,booksrc_0022,duplicate_existing_active_card,,국어 | 사회 | 역사 | 도덕 | 한문,국어국문학과 | 문예창작학과 | 역사학과 | 사회학과 | 정치외교학과 | 교육학과,"일제강점기 초기의 근대화, 신교육, 자유연애, 민족개조론을 다룬 한국 근대소설이다. 개인의 사랑과 사회적 계몽, 근대적 가치가 충돌하는 지점을 분석하기 좋다.",한국 근대문학을 통해 개인의 가치관 변화와 사회 구조 변화를 분석하는 근거 도서,book_pdf_21_25_stage1_result.zip
23,1,23,21-25.pdf,문학과 예술의 사회사,아르놀트 하우저,창비,book_023,booksrc_0023,duplicate_existing_active_card,,국어 | 사회 | 역사 | 도덕 | 음악 | 미술,미술사학과 | 국어국문학과 | 문예창작학과 | 문화콘텐츠학과 | 사회학과 | 역사학과 | 예술학과,"문학과 예술을 개인의 창작물로만 보지 않고, 사회 구조와 경제적 맥락 속에서 해석하는 책이다. 예술의 양식 변화, 예술가의 지위, 대중문화와 창작의 관계를 탐구하기 좋다.",예술을 사회 구조와 시대 변화 속에서 해석하는 이론적 근거 도서,book_pdf_21_25_stage1_result.zip
24,1,24,21-25.pdf,미디어의 이해,마셜 맥루언,민음사,book_024,booksrc_0024,duplicate_existing_active_card,,국어 | 사회 | 기술·가정 | 정보,미디어커뮤니케이션학과 | 언론정보학과 | 문화콘텐츠학과 | 정보사회학과 | 심리학과 | 컴퓨터공학과,"미디어를 단순한 정보 전달 도구가 아니라 인간의 감각과 사회 구조를 바꾸는 환경으로 이해하게 하는 책이다. '미디어는 메시지다'라는 관점을 AI, 플랫폼, 디지털 미디어 문제와 연결할 수 있다.",현대 미디어 환경과 인공지능 플랫폼 문제를 해석하는 이론적 근거 도서,book_pdf_21_25_stage1_result.zip
25,1,25,21-25.pdf,반지성주의,강준만,인물과사상사,book_025,booksrc_0025,duplicate_existing_active_card,,국어 | 사회 | 역사 | 도덕 | 정보,정치외교학과 | 사회학과 | 언론정보학과 | 심리학과 | 법학과 | 행정학과,"지식과 전문가에 대한 불신, 가짜뉴스, 음모론, 정치적 양극화가 민주주의의 합리적 판단을 어떻게 흔드는지 분석하는 책이다. 미디어 플랫폼과 시민의 의사결정 문제로 확장하기 좋다.",미디어 환경과 민주주의 의사결정 문제를 연결하는 사회 쟁점 근거 도서,book_pdf_21_25_stage1_result.zip
26,1,26,26-31.pdf,백범일지,김구,매일경제신문사,book_026,booksrc_0026,duplicate_existing_active_card,,국어 | 사회 | 역사 | 도덕,교육학과 | 국어국문학과 | 사학과 | 사회교육과 | 윤리교육과 | 정치외교학과 | 행정학과 | 사회학과,"김구의 독립운동과 삶을 통해 청년 세대의 사회참여, 문화국가 이상, 국가 정체성, 공동체적 책임을 연결해 탐구할 수 있는 자서전이다.",,book_pdf_26_31_stage1_result.zip
27,1,27,26-31.pdf,변신,프란츠 카프카,서울,book_027,booksrc_0027,duplicate_existing_active_card,,국어 | 사회 | 도덕 | 역사 | 진로와 직업 | 한문 | 미술 | 영어,국어국문학과 | 독어독문학과 | 사회학과 | 철학과 | 심리학과 | 사회복지학과,"그레고르의 변신과 가족의 반응을 통해 인간의 가치가 생산성, 역할, 유용성으로 평가되는 사회 문제를 탐구하게 하는 문학 작품이다.",,book_pdf_26_31_stage1_result.zip
28,1,28,26-31.pdf,부분과 전체,베르너 하이젠베르크,서커스출판상회,book_028,booksrc_0028,duplicate_existing_active_card,,과학 | 도덕 | 사회 | 진로와 직업 | 역사 | 수학,물리학과 | 철학과 | 과학교육과 | 수학교육과 | 컴퓨터공학과 | 공학계열,"양자역학 형성 과정과 과학자의 대화를 통해 과학적 발견이 자연관, 윤리, 철학적 사고와 어떻게 연결되는지 보여 주는 과학 고전이다.",,book_pdf_26_31_stage1_result.zip
29,1,29,26-31.pdf,빌러비드,토니 모리슨,문학동네,book_029,booksrc_0029,duplicate_existing_active_card,,국어 | 사회 | 역사 | 도덕 | 영어 | 진로와 직업 | 미술 | 음악,국어국문학과 | 영어영문학과 | 사회학과 | 심리학과 | 역사학과 | 인문학계열,"노예제의 폭력과 기억, 트라우마, 공동체의 역할을 통해 개인의 상처가 사회적 역사와 어떻게 연결되는지 탐구하게 하는 문학 작품이다.",,book_pdf_26_31_stage1_result.zip
30,1,30,26-31.pdf,"사람아, 아 사람아!",다이허우잉,다섯수레,book_030,booksrc_0030,duplicate_existing_active_card,,국어 | 도덕 | 역사 | 사회 | 진로와 직업 | 한문 | 문학 | 미술,중국어중문학과 | 사회학과 | 정치외교학과 | 윤리학과 | 철학과 | 인문학계열,"문화대혁명이라는 시대적 격변 속에서 개인의 신념, 양심, 지식인의 책임, 공동체 규범의 충돌을 탐구할 수 있는 작품이다.",,book_pdf_26_31_stage1_result.zip
31,1,31,26-31.pdf,삼국유사,일연,아르테,,,new_book_candidate_pending_review,,국어 | 사회 | 도덕 | 역사 | 한문 | 진로와 직업 | 미술 | 기술·가정 | 음악,국어국문학과 | 사학과 | 한국사학과 | 문화재학과 | 문화콘텐츠학과 | 인문학계열,"고대 한국의 역사와 설화, 신화가 함께 담긴 고전으로, 신화와 역사 해석의 경계, 문화정체성, 역사교육 자료의 의미를 탐구하기 좋다.",,book_pdf_26_31_stage1_result.zip
32,1,32,32-36.pdf,서유견문,유길준,박이정출판사,book_032,booksrc_0032,duplicate_existing_active_card,,국어 | 사회 | 역사 | 도덕 | 진로와 직업 | 한문 | 기술·가정 | 음악 | 미술,국어국문학과 | 사학과 | 사회학과 | 정치외교학과 | 행정학과 | 문화인류학과 | 국제학과,"개화기 지식인이 서구 문명과 근대 제도를 어떻게 받아들이고 번역했는지를 통해 지식 수용, 문화 변동, 근대 국가 인식, 선택적 수용의 의미를 탐구할 수 있는 고전이다.",,book_pdf_32_36_stage1_result.zip
33,1,33,32-36.pdf,성의 역사 1,미셸 푸코,나남,book_033,booksrc_0033,duplicate_existing_active_card,,국어 | 사회 | 역사 | 도덕 | 한문 | 진로와 직업 | 기술·가정 | 음악 | 미술,사회학과 | 심리학과 | 철학과 | 정치외교학과 | 문화인류학과 | 미디어커뮤니케이션학과,"성 담론이 개인의 사적인 문제가 아니라 근대 권력, 규범, 지식 체계와 연결되어 형성된다는 관점을 통해 개인의 자유와 사회적 통제의 관계를 탐구할 수 있는 인문사회 고전이다.",,book_pdf_32_36_stage1_result.zip
34,1,34,32-36.pdf,성호사설,이익,동서문화사,book_034,booksrc_0034,duplicate_existing_active_card,,국어 | 사회 | 역사 | 도덕 | 과학 | 한문 | 진로와 직업 | 기술·가정 | 미술,국어국문학과 | 사학과 | 사회학과 | 행정학과 | 철학과 | 경제학과 | 정치외교학과,"조선 후기 실학자의 지식관과 사회 비판을 통해 실용적 지식, 제도 개혁, 지역사회 문제 해결, 지식인의 사회적 책임을 탐구할 수 있는 고전이다.",,book_pdf_32_36_stage1_result.zip
35,1,35,32-36.pdf,수호전,시내암,글항아리,book_035,booksrc_0035,duplicate_existing_active_card,,국어 | 사회 | 도덕 | 역사 | 한문 | 진로와 직업 | 기술·가정 | 미술 | 음악,국어국문학과 | 사학과 | 사회학과 | 법학과 | 정치외교학과 | 행정학과 | 중어중문학과,"영웅 집단의 형성과 해체, 의리와 정의, 공동체 질서를 둘러싼 갈등을 통해 집단행동, 정의의 실현, 폭력의 정당성 문제를 토론형 탐구로 확장할 수 있는 고전 소설이다.",,book_pdf_32_36_stage1_result.zip
36,1,36,32-36.pdf,슬픈 열대,클로드 레비스트로스,한길사,book_036,booksrc_0036,duplicate_existing_active_card,,국어 | 사회 | 역사 | 도덕 | 과학 | 미술 | 영어 | 기술·가정 | 환경,문화인류학과 | 사회학과 | 사학과 | 철학과 | 국제학과 | 환경학과 | 지리학과,"인류학자의 현장 경험을 바탕으로 문명과 야만의 이분법을 비판하고, 문화 상대주의와 문화 다양성, 인권, 사회통합의 문제를 탐구할 수 있는 인문사회 고전이다.",,book_pdf_32_36_stage1_result.zip
37,1,37,37-42.pdf,시학,아리스토텔레스,길,book_037,booksrc_0037,기존 active 카드 보강 후보,,국어 | 사회 | 역사 | 도덕 | 음악 | 미술 | 한문 | 진로와 직업,국어국문학과 | 독어독문학과 | 문예창작학과 | 문화콘텐츠학과 | 미디어커뮤니케이션학과 | 미학과 | 심리학과 | 언어학과 | 영어영문학과,"고대 그리스의 문학 이론을 통해 비극과 서사시의 구조, 플롯, 인물, 감정 몰입의 원리를 살피며 오늘날 예술·문학·콘텐츠 분석 기준까지 확장할 수 있는 고전이다.",,book_pdf_37_42_stage1_result.zip
38,1,38,37-42.pdf,신약의 탄생,윤태진,바다출판사,book_038,booksrc_0038,기존 active 카드 보강 후보,,국어 | 사회 | 도덕 | 수학 | 과학 | 기술·가정 | 영어 | 보건 | 진로와 직업,간호학과 | 약학과 | 생명공학과 | 생명과학과 | 의학과 | 임상병리학과 | 화학과 | 화학공학과 | 제약공학과 | 종교학과,"CAR-T, 프로탁, ADC, RNA 치료제 등 차세대 신약 개발 기술을 통해 질병 치료 방식의 변화와 인공지능·바이오기술·임상시험의 사회적 의미를 탐구할 수 있는 과학·보건 융합 도서다.",,book_pdf_37_42_stage1_result.zip
39,1,39,37-42.pdf,실낙원,존 밀턴,더북스,book_039,booksrc_0039,기존 active 카드 보강 후보,,국어 | 도덕 | 미술 | 사회 | 역사 | 영어,영어영문학과 | 철학과 | 종교학과 | 미디어학과 | 인문학과 | 문예창작학과 | 심리학과 | 사회학과,"타락한 천사와 인간의 이야기를 통해 자유의지, 선과 악, 복종과 저항, 인간의 본질을 탐구하는 서사시로, 윤리·철학·종교·문학 분석에 활용할 수 있다.",,book_pdf_37_42_stage1_result.zip
40,1,40,37-42.pdf,아라비안 나이트,리처드 F. 버턴,시대의창,book_040,booksrc_0040,기존 active 카드 보강 후보,,국어 | 도덕 | 미술 | 사회 | 역사 | 음악 | 정보,중동학과 | 국어국문학과 | 문예창작학과 | 문화콘텐츠학과 | 미디어커뮤니케이션학과 | 사학과 | 인문학과,"셰에라자드의 이야기 전략을 통해 이야기의 힘, 생존, 저항, 지혜, 환상과 현실의 관계를 탐구하고 문학·문화콘텐츠·서사 전략으로 확장할 수 있는 고전이다.",,book_pdf_37_42_stage1_result.zip
41,1,41,37-42.pdf,아함경,작자 미상,담마아카데미,book_041,booksrc_0041,기존 active 카드 보강 후보,,국어 | 기술·가정 | 도덕 | 사회 | 역사 | 진로와 직업 | 윤리,불교학과 | 철학과 | 한문학과 | 윤리교육과 | 심리학과 | 사회복지학과 | 정치외교학과,"무아와 연기 사상을 중심으로 인간의 고통, 자아, 집착, 관계의 문제를 탐구하며 현대 사회의 자아정체성·심리·윤리 문제와 연결할 수 있는 불교 경전이다.",,book_pdf_37_42_stage1_result.zip
42,1,42,37-42.pdf,앵무새 죽이기,하퍼 리,미메시스,book_042,booksrc_0042,기존 active 카드 보강 후보,,국어 | 도덕 | 사회 | 역사,법학과 | 사회학과 | 영어영문학과 | 인류학과 | 정치외교학과 | 윤리교육과 | 역사학과,"1930년대 미국 남부의 인종차별 사회를 배경으로 편견, 정의, 용기, 성장의 문제를 다루며 법과 사회, 차별, 공동체 윤리를 분석할 수 있는 소설이다.",,book_pdf_37_42_stage1_result.zip
43,1,43,43-48.pdf,어둠의 속,조셉 콘래드,문예출판사,book_043,booksrc_0043,기존 카드 보강 후보 / 제목 alias 보정 필요,고립 | 윤리 | 인간 내면의 어둠 | 제국주의 | 타자화 | 탐욕,국어 | 도덕 | 사회 | 영어 | 역사,국어국문학과 | 문예창작학과 | 영어영문학과 | 사회학과 | 정치외교학과 | 국제학과,"제국주의 시대 아프리카를 배경으로 인간 내면의 어둠, 문명화 담론의 폭력성, 타자화의 시선을 비판적으로 살피는 고전이다.",,book_pdf_43_48_stage1_result.zip
44,1,44,43-48.pdf,역사,헤로도토스,숲,book_044,booksrc_0044,기존 카드 보강 후보,고대기반 서사 | 권력 | 민주주의 | 역설 | 이야기식 역사 | 인간,국어 | 도덕 | 사회 | 역사,사학과 | 철학과 | 정치외교학과 | 사회학과 | 문화인류학과 | 국제학과,"그리스와 페르시아 전쟁을 중심으로 다양한 민족과 사건을 서술하며 역사 서술의 방식, 사실과 이야기의 관계를 생각하게 하는 고전이다.",,book_pdf_43_48_stage1_result.zip
45,1,45,43-48.pdf,역사와 계급의식,게오르그 루카치,지식을만드는지식,book_045,booksrc_0045,기존 카드 보강 후보,계급의식 | 변증법 | 사물화 | 소외 | 자본주의 | 총체성,도덕 | 사회 | 역사,사회학과 | 정치외교학과 | 철학과 | 경제학과 | 사회복지학과,"자본주의 사회에서 계급의식과 물화 현상을 분석하며 인간 소외, 사회 구조, 역사 변화의 조건을 탐구하게 하는 사회철학 고전이다.",,book_pdf_43_48_stage1_result.zip
46,1,46,43-48.pdf,영국 노동계급의 형성,E.P. 톰슨,창작과비평,book_046,booksrc_0046,기존 카드 보강 후보,경험 | 계급의식 | 노동계급 | 문화와 언어 | 산업혁명 | 역사적 주체성,도덕 | 사회 | 역사,사학과 | 사회학과 | 정치외교학과 | 경제학과 | 사회복지학과,산업혁명기 영국의 노동자들이 하나의 계급으로 형성되는 과정을 사회·경제·문화의 변화 속에서 분석한 역사사회학 고전이다.,,book_pdf_43_48_stage1_result.zip
47,1,47,43-48.pdf,오리엔탈리즘,에드워드 사이드,교보문고,book_047,booksrc_0047,기존 카드 보강 후보,권력과 지식 | 담론 | 문화적 식민주의 | 재현의 정치성 | 타자화,국어 | 도덕 | 사회 | 역사,사회학과 | 정치외교학과 | 국제학과 | 문화인류학과 | 미디어커뮤니케이션학과 | 영어영문학과,서구가 동양을 재현하고 지배하는 담론 구조를 비판하며 문화적 타자화와 지식 권력의 문제를 탐구하게 하는 대표 저작이다.,,book_pdf_43_48_stage1_result.zip
48,1,48,43-48.pdf,왜 세계의 절반은 굶주리는가,장 지글러,갈라파고스,book_048,booksrc_0048,기존 카드 보강 후보,구조적 폭력 | 국제기구 | 다국적 기업 | 분배 문제 | 식량 불평등 | 식량 주권,도덕 | 사회 | 역사 | 지리 | 경제,경제학과 | 국제학과 | 정치외교학과 | 사회복지학과 | 식품공학과,세계 식량은 충분하지만 굶주림이 지속되는 구조적 원인을 정치·경제·국제기구·다국적 기업의 관점에서 분석하는 사회문제 탐구 도서이다.,,book_pdf_43_48_stage1_result.zip
49,1,49,49-54.pdf,우리 시대의 영웅,미하일 레르몬토프,작가와비평,book_049,booksrc_0049,기존 카드 보강 후보,고독 | 권태 | 염세주의 | 잉여인간 | 자유의지 | 허무,국어 | 도덕 | 사회 | 역사,국어국문학과 | 문예창작학과 | 러시아어학과 | 사회학과 | 심리학과 | 철학과,"19세기 러시아 문학을 통해 자기 파괴적 삶, 자유의지, 사회적 책임, 시대적 허무를 탐구할 수 있는 고전이다.",,book_pdf_49_54_stage1_result.zip
50,1,50,49-54.pdf,위대하고 위험한 약 이야기,정진호,푸른숲,book_050,booksrc_0050,기존 카드 보강 후보,공중보건 | 독성 | 약의 양면성 | 윤리적 딜레마 | 인류의 딜레마 | 질병,과학 | 도덕 | 사회 | 보건 | 화학,의예과 | 약학과 | 간호학과 | 생명공학과 | 화학과 | 보건행정학과 | 수의예과,"의약품의 개발, 효과, 부작용, 오남용, 규제와 윤리 문제를 함께 다룰 수 있는 과학·보건 융합 도서다.",,book_pdf_49_54_stage1_result.zip
51,1,51,49-54.pdf,의무론,키케로,현대지성,book_051,booksrc_0051,기존 카드 보강 후보,공동선 | 덕 | 도덕적 선 | 의무 | 자유권 | 정의,국어 | 도덕 | 사회 | 역사,철학과 | 윤리교육과 | 정치외교학과 | 사회학과 | 법학과 | 행정학과,"개인의 이익, 공동체의 공익, 자유권, 도덕적 의무의 균형을 고전 윤리 관점에서 탐구할 수 있는 책이다.",,book_pdf_49_54_stage1_result.zip
52,1,52,49-54.pdf,의사와 수의사가 만나다,캐스린 바워스 외,모멘토,book_052,booksrc_0052,기존 카드 보강 후보,공중보건 | 생명윤리 | 수의학 | 원헬스 | 주비퀴티 | 학제 간 협력,국어 | 사회 | 도덕 | 과학 | 생명 | 보건,의예과 | 수의예과 | 간호학과 | 생명과학과 | 보건학과 | 생명공학과,"인간, 동물, 생태계의 건강이 서로 연결되어 있다는 원헬스 관점에서 생명윤리와 공중보건을 탐구할 수 있는 책이다.",,book_pdf_49_54_stage1_result.zip
53,1,53,49-54.pdf,이기적 유전자,리처드 도킨스,을유문화사,book_053,booksrc_0053,기존 카드 보강 후보,밈 | 유전자 | 유전자 중심 진화론 | 이타적 행동 | 진화 | 포괄적 적응도,국어 | 사회 | 도덕 | 과학 | 생명 | 진로와 직업,생명과학과 | 생명공학과 | 심리학과 | 윤리학과 | 사회학과 | 철학과,"유전자의 관점에서 생명체의 행동과 진화를 해석하며, 이타적 행동과 도덕성의 근거를 과학·윤리적으로 탐구할 수 있는 책이다.",,book_pdf_49_54_stage1_result.zip
